
[00:00:00.000 --> 00:00:04.020]  在你旁邊的是耶穌所揀選的精兵,是嗎?
[00:00:04.020 --> 00:00:07.560]  我們有一幫精兵,我們多謝耶穌
[00:00:07.560 --> 00:00:12.740]  精兵的開始其實就是由使徒行傳
[00:00:12.740 --> 00:00:14.740]  一個很生命的見證的開始
[00:00:14.740 --> 00:00:18.220]  上次我們已經開始踏入使徒行傳了
[00:00:18.220 --> 00:00:21.780]  上次呢,朱傳道就提醒我們
[00:00:21.780 --> 00:00:25.540]  留心主耶穌的祝福
[00:00:25.540 --> 00:00:27.540]  耶穌的教訓
[00:00:27.540 --> 00:00:31.040]  這一句就是一個說話
[00:00:31.040 --> 00:00:33.660]  在耶穌留給我們的
[00:00:33.660 --> 00:00:38.140]  就是"聖靈降臨在你們身上,就必得着能力
[00:00:38.140 --> 00:00:45.260]  由我們的家,由大全地,撒瑪利亞,直到地極
[00:00:45.260 --> 00:00:47.260]  做什麼?
[00:00:47.260 --> 00:00:49.260]  作我的見證"
[00:00:49.260 --> 00:00:51.260]  希望大家都可以背在腦裏
[00:00:51.260 --> 00:00:54.260]  我們要作耶穌的見證
[00:00:54.260 --> 00:00:58.260]  這是大家上次去呼喚、去回應的主
[00:00:58.260 --> 00:01:00.260]  我們現在都是在作見證
[00:01:00.260 --> 00:01:02.260]  今天大家一起的時候,是在做一件事,知道嗎?
[00:01:02.260 --> 00:01:04.260]  在做見證
[00:01:04.260 --> 00:01:06.260]  有一幫人被耶穌揀選的,在這裏
[00:01:06.260 --> 00:01:08.260]  我們敬拜神,我們在做見證
[00:01:08.260 --> 00:01:10.260]  我們今天在當中裏面
[00:01:10.260 --> 00:01:12.260]  我們會看另一個題目
[00:01:12.260 --> 00:01:16.260]  就是生命的轉化
[00:01:16.260 --> 00:01:18.260]  生命的轉化
[00:01:18.260 --> 00:01:22.260]  大家看到這幅圖畫的時候
[00:01:22.260 --> 00:01:25.260]  是在自然界其中一種現象
[00:01:25.260 --> 00:01:28.260]  有人叫做對變,有人叫做退變
[00:01:28.260 --> 00:01:31.260]  或者在神學上,或者在聖經裏面
[00:01:31.260 --> 00:01:34.260]  本來就是用更生而變化
[00:01:34.260 --> 00:01:38.260]  在自然界,這個現象叫做metamorphosis
[00:01:38.260 --> 00:01:40.260]  是一些物質的轉變
[00:01:40.260 --> 00:01:42.260]  大家看看這幅圖畫的時候
