
[00:00:00.000 --> 00:00:04.780]  我們讀兩節的聖經,在哥林多後書第二章十四節
[00:00:04.780 --> 00:00:08.680]  保留在這裡說,感謝神堂率領我們在基督裡跨盛
[00:00:08.680 --> 00:00:14.020]  並藉著我們在各處顯揚那因認識基督而有的香氣
[00:00:14.020 --> 00:00:17.560]  第二節聖經在約翰福音十六章三十三節
[00:00:17.560 --> 00:00:20.360]  主在這裡說,我將這些話告訴你們
[00:00:20.360 --> 00:00:23.040]  是要叫你們在我裡面有平安
[00:00:23.040 --> 00:00:25.400]  在世上你們有苦難
[00:00:25.400 --> 00:00:29.040]  但你們可以放心,我已經勝了世界
[00:00:29.040 --> 00:00:31.040]  我們就讀到這裡
[00:00:31.040 --> 00:00:33.040]  明天是國慶日
[00:00:33.040 --> 00:00:35.040]  在這裡預先祝賀大家
[00:00:35.040 --> 00:00:37.040]  國慶日非常非常快樂
[00:00:37.040 --> 00:00:39.040]  Amen, hallelujah
[00:00:39.040 --> 00:00:41.040]  你知道今天我們生活在美國
[00:00:41.040 --> 00:00:43.040]  一方面我們真的是要來感謝神
[00:00:43.040 --> 00:00:47.040]  神讓我們能夠生活在這樣一個富裕的國家
[00:00:47.040 --> 00:00:49.040]  享受神一切的恩典
[00:00:49.040 --> 00:00:51.040]  而且能夠自由地在這裡敬拜
[00:00:51.040 --> 00:00:53.040]  廣傳福音到萬民
[00:00:53.040 --> 00:00:59.040]  另一方面我想我們也看見美國已經漸漸遠離了基督教的信仰
[00:00:59.040 --> 00:01:05.040]  無論是在道德觀價值觀偏離了聖經的原則
[00:01:05.040 --> 00:01:09.040]  以至於現在我們看見整個社會次序
[00:01:09.040 --> 00:01:11.040]  我們的生活環境
[00:01:11.040 --> 00:01:15.040]  常常落入在一種混亂跟恐慌當中
[00:01:15.040 --> 00:01:20.040]  的確今天我們真的面對一個危機的時刻
[00:01:20.040 --> 00:01:25.040]  做一個基督徒我們怎麼面對這樣一種危機的時刻呢
[00:01:25.040 --> 00:01:27.040]  首先我們一定要很清楚明白
[00:01:27.040 --> 00:01:29.040]  神從來沒有硬許我們
[00:01:29.040 --> 00:01:33.040]  在地上一定能夠過一個安舒的日子
[00:01:33.040 --> 00:01:37.040]  所以在約翰福音16章33節剛才讀的聖經裡面
[00:01:37.040 --> 00:01:41.040]  主很清楚說在世上你們是有苦難
[00:01:41.040 --> 00:01:46.040]  換句話說我們不需要驚訝這些事情在發生
[00:01:46.040 --> 00:01:48.040]  事實上主很清楚講到說
