
[00:00:00.000 --> 00:00:06.660]  我自己做牧師做了十多年
[00:00:06.660 --> 00:00:10.700]  那麼前幾年我是靜心會的牧師
[00:00:10.700 --> 00:00:13.100]  那麼靜心會牧師我記得那個時候
[00:00:13.100 --> 00:00:14.600]  我的主任牧師
[00:00:14.600 --> 00:00:18.800]  他最常常掛到嘴上的一句經文
[00:00:18.800 --> 00:00:21.800]  就是約翰福音三章十六節
[00:00:21.800 --> 00:00:24.600]  各位都會背吧
[00:00:24.600 --> 00:00:28.200]  神愛世人 甚至將他的獨生子賜給他們
[00:00:28.200 --> 00:00:32.600]  叫一切信他的 不至滅亡 反得永生
[00:00:32.600 --> 00:00:34.600]  但是您知道嗎
[00:00:34.600 --> 00:00:37.800]  其實這句話非常好 是不是
[00:00:37.800 --> 00:00:41.500]  哇 我有永生 神愛我
[00:00:41.500 --> 00:00:44.100]  但是你如果看三章十八節
[00:00:44.100 --> 00:00:48.300]  他說不信的 罪已經被定了
[00:00:48.300 --> 00:00:51.000]  所以我們要注意到
[00:00:51.000 --> 00:00:54.000]  我後來做了靈陽堂的牧師
[00:00:54.000 --> 00:00:56.800]  除了約翰福音三章十六節
[00:00:56.800 --> 00:01:00.700]  我們又進入到路加福音四章十八節
[00:01:00.700 --> 00:01:03.000]  主耶和華的靈在我身上
[00:01:03.000 --> 00:01:07.000]  祂要高高我 叫我傳福音給貧窮的人
[00:01:07.000 --> 00:01:11.400]  才將我報告被虜的德釋放 瞎眼的德看見
[00:01:11.400 --> 00:01:14.200]  報告神悅納人的喜憐
[00:01:14.200 --> 00:01:15.800]  也是好棒 不是嗎
[00:01:15.800 --> 00:01:19.000]  也是傳福音 但是它多了幾項
[00:01:19.000 --> 00:01:23.200]  譬如說為人醫治 為人釋放
[00:01:23.200 --> 00:01:27.000]  還有為人禱告等等
[00:01:27.000 --> 00:01:30.100]  基本上是同樣一個真理
[00:01:30.100 --> 00:01:32.100]  就是要有永生
[00:01:32.100 --> 00:01:35.800]  那是神的福音
[00:01:35.800 --> 00:01:41.400]  同樣這句話也有一個很有意思的一點
[00:01:41.400 --> 00:01:45.900]  就是它是從以賽亞書出來的
[00:01:45.900 --> 00:01:50.400]  但是有一句話以賽亞書有 它這邊沒有了
[00:01:50.400 --> 00:01:55.000]  以賽亞書說 報告神悅納人的喜憐
[00:01:55.000 --> 00:01:59.600]  還有神報仇的日子
[00:01:59.600 --> 00:02:01.200]  喜憐就是恩憐
[00:02:01.200 --> 00:02:03.400]  The year of favour
[00:02:03.400 --> 00:02:07.000]  你的債務要除清
[00:02:07.000 --> 00:02:12.400]  你的咒詛要變成祝福
[00:02:12.400 --> 00:02:19.000]  還有說你的身體的病痛要得到痊癒
[00:02:19.000 --> 00:02:23.600]  甚至於奴隸可以因此而還俗 而得自由
[00:02:23.600 --> 00:02:26.600]  所以這是喜憐 多麼棒
[00:02:26.600 --> 00:02:29.800]  當我們宣告神的喜憐的時候
[00:02:29.800 --> 00:02:33.600]  這一些通通都要走開了
[00:02:33.600 --> 00:02:37.000]  但是約翰福音三章十六節
[00:02:37.000 --> 00:02:40.200]  跟路加福音四章十八節
[00:02:40.200 --> 00:02:43.000]  唯一差別最大的地方
[00:02:43.000 --> 00:02:45.200]  就是在我們常常喜歡講的
[00:02:45.200 --> 00:02:47.600]  也是很多人不願意講的
[00:02:47.600 --> 00:02:51.000]  就是叫做恩賜跟恩高
[00:02:51.000 --> 00:02:53.400]  因為你叫瞎眼的得看見
[00:02:53.400 --> 00:02:55.800]  叫瘸腿起來走路
[00:02:55.800 --> 00:02:58.400]  叫大麻風竭盡
[00:02:58.400 --> 00:03:01.000]  甚至於叫死人復活
[00:03:01.000 --> 00:03:03.600]  聖經上面在在都有
[00:03:03.600 --> 00:03:06.600]  這個是聖靈的恩賜
[00:03:06.600 --> 00:03:09.800]  也牽涉到所謂的恩高
[00:03:09.800 --> 00:03:13.800]  恩高跟恩賜差多遠呢
[00:03:13.800 --> 00:03:17.800]  恩高在英文是叫anointing
[00:03:17.800 --> 00:03:21.000]  恩賜英文叫做gift
[00:03:21.000 --> 00:03:23.000]  有的時候加上一個s
[00:03:23.000 --> 00:03:25.600]  因為恩賜有很多種
[00:03:25.600 --> 00:03:27.000]  聖經上面說是
