
[00:00:00.000 --> 00:00:01.420]  好 請姐妹們早晨
[00:00:01.420 --> 00:00:03.420]  我們再一次低頭祈禱
[00:00:03.420 --> 00:00:05.480]  天父 求祢帶領我們
[00:00:05.480 --> 00:00:08.200]  將今天我們要聽到的華語
[00:00:08.200 --> 00:00:10.540]  教我們的手中 願祢教導我們
[00:00:10.540 --> 00:00:12.540]  讓我們明白到日光之下
[00:00:12.540 --> 00:00:14.140]  真是有很多事情
[00:00:14.140 --> 00:00:18.240]  可能都不是我們想看到的
[00:00:18.240 --> 00:00:19.740]  一個如意的世界
[00:00:19.740 --> 00:00:21.240]  但是我們在當中
[00:00:21.240 --> 00:00:23.580]  我們是學習用什麼態度
[00:00:23.580 --> 00:00:25.000]  來到去在面前
[00:00:25.000 --> 00:00:26.880]  在神的面前過生活的時候
[00:00:26.880 --> 00:00:28.280]  願祢都是提醒我們
[00:00:28.280 --> 00:00:30.280]  祖基督的名義是靠祂們
[00:00:30.280 --> 00:00:35.200]  繼續看《傳道書》第五章的時候
[00:00:35.200 --> 00:00:37.460]  今天都講了幾件事情
[00:00:37.460 --> 00:00:40.700]  都是在日光之下的生活當中
[00:00:40.700 --> 00:00:43.060]  一個幾重要
[00:00:43.060 --> 00:00:47.640]  或者都幾令我們值得深思的事情
[00:00:47.640 --> 00:00:49.920]  第一個就是
[00:00:49.920 --> 00:00:51.680]  究竟我們在神面前
[00:00:51.680 --> 00:00:54.680]  敬拜的態度是如何呢?
[00:00:54.680 --> 00:00:56.200]  其實這個是很少有
[00:00:56.200 --> 00:01:01.680]  《傳道書》當中講到關於神的事情
[00:01:01.680 --> 00:01:03.680]  《傳道書》很多人的感覺
[00:01:03.680 --> 00:01:05.200]  或者你自己讀的時候
[00:01:05.200 --> 00:01:06.960]  你都會有印象就是
[00:01:06.960 --> 00:01:09.480]  很多時候他講很多其他的事情
[00:01:09.480 --> 00:01:11.480]  好像提到神的事情
[00:01:11.480 --> 00:01:14.480]  都是比較隱晦
