
[00:00:00.000 --> 00:00:02.000]  假如有朝一日
[00:00:02.000 --> 00:00:04.000]  假如有一天
[00:00:04.000 --> 00:00:06.000]  我們祖懷安息
[00:00:06.000 --> 00:00:08.000]  我們祖懷安息
[00:00:08.000 --> 00:00:10.000]  那我們就做一個墓碑
[00:00:10.000 --> 00:00:12.000]  我們做一個墓碑
[00:00:12.000 --> 00:00:14.000]  這個墓碑上你會寫什麼字呢?
[00:00:14.000 --> 00:00:18.000]  在這個墓碑上你會寫什麼字呢?
[00:00:18.000 --> 00:00:20.000]  大家有沒有事先想定呢?
[00:00:20.000 --> 00:00:22.000]  有沒有事先想定你怎麼寫
[00:00:22.000 --> 00:00:24.000]  自己的或者生平
[00:00:24.000 --> 00:00:26.000]  或者一些的形容詞呢?
[00:00:26.000 --> 00:00:28.000]  大家有沒有事先去想
[00:00:28.000 --> 00:00:31.000]  到時候我們會怎麼樣寫我們的生平呢?
[00:00:31.000 --> 00:00:34.000]  怎麼樣描述我們自己呢?
[00:00:34.000 --> 00:00:39.000]  不如我們試一下為兩個人物去想一下
[00:00:39.000 --> 00:00:42.000]  設計下一個墓志銘
[00:00:42.000 --> 00:00:45.000]  我們試一下為兩位人物想一下
[00:00:45.000 --> 00:00:48.000]  設計一下他的墓志銘怎麼樣寫
[00:00:48.000 --> 00:00:52.000]  如果你是為使徒保羅寫墓志銘
[00:00:52.000 --> 00:00:56.000]  如果你為使徒保羅寫墓志銘的時候
[00:00:56.000 --> 00:00:58.000]  你會怎麼寫呢?
[00:00:58.000 --> 00:01:01.000]  那你要想一想保羅是一個什麼樣的人
[00:01:01.000 --> 00:01:04.000]  你會想保羅是一個什麼樣子的人
[00:01:04.000 --> 00:01:07.000]  那我就設計了一個墓志銘
[00:01:07.000 --> 00:01:09.000]  我設計了一個墓志銘
[00:01:09.000 --> 00:01:11.000]  就是怎樣呢?
[00:01:11.000 --> 00:01:12.000]  就是這樣的
[00:01:12.000 --> 00:01:15.000]  拼命傳福音的罪魁
[00:01:15.000 --> 00:01:19.000]  就是一個拼命傳福音的罪魁
[00:01:19.000 --> 00:01:21.000]  這個不是我說的
[00:01:21.000 --> 00:01:22.000]  這個不是我說的
[00:01:22.000 --> 00:01:24.000]  這個是保羅自己說的
[00:01:24.000 --> 00:01:25.000]  這是保羅自己說的
[00:01:25.000 --> 00:01:31.000]  如果我是叫大家為摩西去寫一個墓志銘
[00:01:31.000 --> 00:01:34.000]  如果想請大家為摩西寫一個墓志銘的話
[00:01:34.000 --> 00:01:37.000]  這樣我們會寫什麼呢?
[00:01:37.000 --> 00:01:39.000]  我們會怎麼樣寫呢?
