
[00:00:00.000 --> 00:00:06.520]  我們今天要講的題目是單身一族 年輕夫婦
[00:00:06.520 --> 00:00:11.280]  我今天會主重在單身一族上面
[00:00:11.280 --> 00:00:15.900]  我也覺得單身一族其實對於我自己作為一個目者
[00:00:15.900 --> 00:00:17.960]  是其中一個最大的負擔
[00:00:17.960 --> 00:00:22.600]  我覺得最關鍵性就是你在仍然是單身的時候
[00:00:22.600 --> 00:00:26.960]  你怎麼樣建立你的屬靈生命 以至你的一生
[00:00:26.960 --> 00:00:33.320]  無論你結不結婚 都是會成為一個合乎上帝使用的人
[00:00:33.320 --> 00:00:34.960]  如果你這樣看我這個圖表
[00:00:34.960 --> 00:00:38.660]  左邊是I am single 右邊就好像結了婚
[00:00:38.660 --> 00:00:43.660]  但是你不要覺得信耶穌是令你好像由單身
[00:00:43.660 --> 00:00:46.380]  變成有拖拍 然後又結婚
[00:00:46.380 --> 00:00:50.620]  我想這個不是我的用意來的 不是由左去右的
[00:00:50.620 --> 00:00:55.060]  不是那個十字架帶你去 有很多人有這樣的誤會
[00:00:55.060 --> 00:00:58.620]  而是相反的 無論是單身 在主耶穌基督裡面
[00:00:58.620 --> 00:01:04.780]  或者是婚姻 其實都是上帝為我們預備的一個美好的禮物
[00:01:04.780 --> 00:01:08.220]  其實今天錄這段的時候
[00:01:08.220 --> 00:01:11.160]  也是令我想起在2月9號的時候
[00:01:11.160 --> 00:01:15.860]  很想那時候預備了這個訪談 或者正在預備這個訪談
[00:01:15.860 --> 00:01:19.520]  結果就COVID-19(新冠肺炎)殺到 就沒有了
[00:01:19.520 --> 00:01:24.100]  那個訪談一直想講的 以後也都希望有機會講
[00:01:24.100 --> 00:01:28.700]  有很長時間講的 《Singleness, Marriage and the Glory of God》
[00:01:28.700 --> 00:01:31.900]  中文是單身、婚嫁、傳賢為你
[00:01:31.900 --> 00:01:35.200]  所以你明白了 我的意思是無論你是單身
[00:01:35.200 --> 00:01:39.780]  無論你是結婚 其實最後都是傳賢為上帝
[00:01:39.780 --> 00:01:43.900]  這個是那個最終的目標來的
[00:01:43.900 --> 00:01:47.680]  如果你剛剛過去的那個禮拜有聽我講到的時候
[00:01:47.680 --> 00:01:51.120]  你會聽到到最後我應用的時候
[00:01:51.120 --> 00:01:54.440]  就說我們 如果要成為一個使命之民
[00:01:54.440 --> 00:01:56.140]  當然這個是我們的呼召
[00:01:56.140 --> 00:01:59.800]  不是我們選擇做不做 是我們沒有得選擇的
[00:01:59.800 --> 00:02:03.340]  耶穌是這樣呼召我們 我們要面對一個世界
[00:02:03.340 --> 00:02:06.340]  這個世界裡面有三個極大的隱憂
[00:02:06.340 --> 00:02:12.800]  這個世界 這麼說 從古以前的初期教會到現在都是這樣
[00:02:12.800 --> 00:02:15.160]  那個羅馬那個世界的文化
[00:02:15.160 --> 00:02:18.360]  Money, sex and power 金錢
[00:02:18.360 --> 00:02:30.400]  權力和sex 我們翻譯做你的情慾
[00:02:30.400 --> 00:02:33.160]  所以金錢、權力和情慾
[00:02:33.160 --> 00:02:36.840]  我們抗衡這三個Money, sex and power
[00:02:36.840 --> 00:02:39.320]  就是Money, sex and power 的反面
[00:02:39.320 --> 00:02:41.860]  Money, sex and power 的反面
[00:02:41.860 --> 00:02:44.440]  我就給了一個名堂叫GPS
[00:02:44.440 --> 00:02:48.200]  就是我們人生的導航系統
[00:02:48.200 --> 00:02:49.480]  就是抗衡這三樣
[00:02:49.480 --> 00:02:52.240]  這三樣是什麼呢?就是Generosity 慷慨
[00:02:52.240 --> 00:02:55.840]  一個是錢財 一個是慷慨
[00:02:55.840 --> 00:02:59.140]  Against sex 的是Purity 聖潔
[00:02:59.140 --> 00:03:02.900]  最後是權力是馴服
[00:03:02.900 --> 00:03:06.640]  這三樣東西其實我們看到在耶穌的身上
[00:03:06.640 --> 00:03:08.780]  是完全展露出來
[00:03:08.780 --> 00:03:11.200]  耶穌的一生是Boundless Generosity
[00:03:11.200 --> 00:03:16.660]  祂完全沒有無限量的慷慨 無盡的慷慨
[00:03:16.660 --> 00:03:19.920]  Spotless Purity 祂是完全的聖潔
[00:03:19.920 --> 00:03:21.920]  最後是Selfless Submission
[00:03:21.920 --> 00:03:24.840]  在我們教會我們要成為一個使命教會的時候
[00:03:24.840 --> 00:03:26.180]  我們需要有這三樣東西
[00:03:26.180 --> 00:03:29.760]  你發現其實在過去的一段日子
