
[00:00:00.000 --> 00:00:04.760]  有位美國的牧者叫做George Guthrie
[00:00:04.760 --> 00:00:08.200]  他也有很多識經書也會出版
[00:00:08.200 --> 00:00:11.600]  他就說有一次在教會裡有一對夫婦
[00:00:11.600 --> 00:00:13.520]  叫John和Brenda
[00:00:13.520 --> 00:00:16.960]  他們突然間有一次意外
[00:00:16.960 --> 00:00:19.080]  那個房子被燒了
[00:00:19.080 --> 00:00:21.080]  很突然
[00:00:21.080 --> 00:00:23.120]  這個房子也是很漂亮的房子
[00:00:23.120 --> 00:00:28.880]  我想裡面也有很多精緻的家具
[00:00:28.880 --> 00:00:31.360]  或者一些擺設
[00:00:31.360 --> 00:00:32.600]  去到這樣的情況
[00:00:32.600 --> 00:00:34.520]  整個房子就這樣燒著
[00:00:34.520 --> 00:00:38.720]  當時George就去到現場
[00:00:38.720 --> 00:00:39.920]  希望給一些支持
[00:00:39.920 --> 00:00:43.160]  給這對夫婦John和Brenda
[00:00:43.160 --> 00:00:46.120]  但是當他去到見到這對夫婦的時候
[00:00:46.120 --> 00:00:47.440]  Brenda就跟他說
[00:00:47.440 --> 00:00:50.120]  George你禱告
[00:00:50.120 --> 00:00:53.360]  為了在這樣的處境
[00:00:53.360 --> 00:00:56.920]  我能夠在我的輪舍裡做一些見證
[00:00:56.920 --> 00:01:00.880]  希望他們都看到神的奇妙的工作
[00:01:00.880 --> 00:01:04.400]  或者在信徒裡面怎麼去經歷這些事情
[00:01:04.400 --> 00:01:06.400]  請你多些禱告
[00:01:06.400 --> 00:01:11.960]  本來牧師就想著這個最需要人支持的
[00:01:11.960 --> 00:01:15.040]  但是他就覺得為了那些輪舍的禱告
[00:01:15.040 --> 00:01:16.840]  那個火就熄滅了
[00:01:16.840 --> 00:01:18.400]  然後有些協助
[00:01:18.400 --> 00:01:23.600]  夠火的就出來講給Brenda和John聽
[00:01:23.600 --> 00:01:25.480]  這次的大火很嚴重
[00:01:25.480 --> 00:01:28.600]  你的損失是很大的
[00:01:28.600 --> 00:01:30.200]  然後Brenda怎麼回答呢
[00:01:30.200 --> 00:01:35.880]  就是說所有這些都是物質的東西
[00:01:35.880 --> 00:01:40.520]  看到這對夫婦原來很奇特的一個想法
[00:01:40.520 --> 00:01:45.400]  他覺得人的關係或者是神的角度
[00:01:45.400 --> 00:01:48.560]  是比他自己所擁有的更加重要
[00:01:48.560 --> 00:01:50.120]  他的體重是那些
[00:01:50.120 --> 00:01:54.800]  原來John和Brenda有這些價值的取向
[00:01:54.800 --> 00:01:56.840]  其實都不是一朝一夕的
[00:01:56.840 --> 00:02:00.080]  因為教會裡面有一位單親的母親
[00:02:00.080 --> 00:02:03.600]  這對夫婦又接待她在家裡住
[00:02:03.600 --> 00:02:05.680]  她看到這個夫婦完全都不
[00:02:05.680 --> 00:02:07.280]  就是他們的優先次序
[00:02:07.280 --> 00:02:09.920]  什麼看為重要 什麼看為不重要
[00:02:09.920 --> 00:02:13.600]  她看到完全很清楚
[00:02:13.600 --> 00:02:16.000]  她看到一個眼界
[00:02:16.000 --> 00:02:19.200]  看到一個屬天的眼界
[00:02:19.200 --> 00:02:21.200]  神在永恆的角度
[00:02:21.200 --> 00:02:23.680]  依照地上的事情
[00:02:23.680 --> 00:02:25.360]  當然我們要關注
[00:02:25.360 --> 00:02:27.760]  但是這些不會成為了
[00:02:27.760 --> 00:02:31.440]  這些世界裡面不完全的挑戰
[00:02:31.440 --> 00:02:33.360]  例如意外等等這些
