
[00:00:00.000 --> 00:00:06.380]  這段時間大家可能都聽過DBS的查經、讀經的方式
[00:00:06.380 --> 00:00:10.980]  我這半年都經常用這個方式
[00:00:10.980 --> 00:00:15.440]  跟小嫂、弟兄姊妹分享聖經的時候
[00:00:15.440 --> 00:00:18.840]  或者初信、微信主的朋友
[00:00:18.840 --> 00:00:23.500]  都用DBS來跟他們讀聖經、分享聖經
[00:00:23.500 --> 00:00:26.480]  彼此建立,甚至門徒造就
[00:00:26.480 --> 00:00:27.880]  都是用這個方法
[00:00:27.880 --> 00:00:31.960]  即是甚麼呢?今天讀經的時候,我不用大家讀
[00:00:31.960 --> 00:00:36.220]  如果你在床上,請你起身
[00:00:36.220 --> 00:00:40.320]  精神一點,打起精神,聽一聽
[00:00:40.320 --> 00:00:42.960]  聽的時候,我們介紹一下大家
[00:00:42.960 --> 00:00:44.260]  用一下DBS的方法
[00:00:44.260 --> 00:00:46.800]  即是甚麼來的?其實很簡單
[00:00:46.800 --> 00:00:54.240]  就是從聖經裡面,對上帝你會有甚麼發現呢?
[00:00:54.240 --> 00:00:57.040]  對人,你又會有甚麼發現呢?
[00:00:57.040 --> 00:00:59.320]  其實就是這麼簡單
[00:00:59.320 --> 00:01:02.480]  DBS就是Discovery Bible Studies
[00:01:02.480 --> 00:01:06.820]  你自己去發現上帝認識人
[00:01:06.820 --> 00:01:11.640]  最後就是我怎樣去實踐神的教導呢?
[00:01:11.640 --> 00:01:15.320]  所以現在預備MP3給大家聽
[00:01:15.320 --> 00:01:17.720]  聽的時候,你將兩個焦點
[00:01:17.720 --> 00:01:19.640]  第一,放在上帝裡面
[00:01:19.640 --> 00:01:21.720]  上帝做過甚麼
[00:01:21.720 --> 00:01:24.200]  第二個焦點就是放在人身上
[00:01:24.200 --> 00:01:27.120]  那些人又做過甚麼呢?
[00:01:27.120 --> 00:01:30.280]  第三,就是對你有甚麼影響呢?
[00:01:30.280 --> 00:01:32.680]  這個就很簡單,這個就叫做DBS
[00:01:32.680 --> 00:01:35.200]  我們實踐一下,聽聖經的時候
[00:01:35.200 --> 00:01:39.360]  我們一起用DBS的角度去看聖經
[00:01:39.360 --> 00:01:42.400]  預備好就可以播放MP3了
[00:01:42.400 --> 00:01:43.840]  大家可以聽一下
[00:01:43.840 --> 00:01:48.120]  啊,等等,這個是只給大家看第四章
[00:01:48.120 --> 00:01:52.400]  因為大家對若拿書不知道你有沒有認識
[00:01:52.400 --> 00:02:00.640]  若拿書的第一章是講若拿逃離上帝,即是逃跑
[00:02:00.640 --> 00:02:09.120]  第二章是講若拿在魚肚裡面吞拿魚,即是吞了若拿
[00:02:09.120 --> 00:02:13.680]  第三章是講若拿在利利尾城裡面
[00:02:13.680 --> 00:02:16.800]  他終於都少少屈服
[00:02:16.800 --> 00:02:20.640]  去利利尾城宣講神悔改的信息
[00:02:20.640 --> 00:02:27.120]  第四章是講若拿和上帝之間的對話
[00:02:27.120 --> 00:02:31.880]  有少少簡介,我們可以聽第四章了
[00:02:50.640 --> 00:02:54.080]  有憐憫的上帝,你不輕易發怒
[00:02:54.080 --> 00:03:00.640]  有豐盛的慈愛,是會回心轉意,不降災難的上帝
[00:03:00.640 --> 00:03:08.960]  主啊,我現在生不如死,求你收回我的性命
[00:03:08.960 --> 00:03:16.640]  主回答他,你發怒是合理的嗎?
[00:03:16.640 --> 00:03:21.280]  若拿走出城外,在城東面坐下
[00:03:21.280 --> 00:03:25.200]  他為自己搭了個棚,坐在棚的陰下
[00:03:25.200 --> 00:03:28.640]  要看利利尾城的命運
[00:03:28.640 --> 00:03:33.280]  上帝安排了一棵碑馬,很快地長高過若拿
[00:03:33.280 --> 00:03:37.520]  為他的頭遮陰,解除他的不舒服
[00:03:37.520 --> 00:03:41.840]  若拿對這棵碑馬很滿意
[00:03:41.840 --> 00:03:47.040]  第二天的黎明,上帝安排一條蟲來咬爛這棵碑馬
[00:03:47.040 --> 00:03:49.280]  讓它枯萎了
[00:03:49.280 --> 00:03:53.600]  太陽出來的時候,上帝又安排炎熱的東風
[00:03:53.600 --> 00:03:56.640]  加上太陽猛曬著若拿的頭
[00:03:56.640 --> 00:04:00.400]  使得他頭昏腦脹,他實在想死
[00:04:00.400 --> 00:04:05.440]  就說了,我還是死了比生存好
[00:04:05.440 --> 00:04:12.480]  上帝對若拿說,你為這棵碑馬而發怒是合理的嗎?
