
[00:00:00.000 --> 00:00:03.420]  士士記的十六章
[00:00:03.420 --> 00:00:08.160]  今天我們要講參宣最後的故事
[00:00:08.160 --> 00:00:10.080]  我給他的題目是
[00:00:10.080 --> 00:00:16.360]  「參宣歷位大菌殿,自知死地而後生」
[00:00:16.360 --> 00:00:19.520]  為什麼說「自知死地而後生」?
[00:00:19.520 --> 00:00:22.800]  我們知道參宣一生人做錯很多事
[00:00:22.800 --> 00:00:25.000]  但他去到最後臨死的時候
[00:00:25.000 --> 00:00:30.160]  他也可以回轉浪子回頭
[00:00:30.160 --> 00:00:33.200]  能夠再一次與神和好
[00:00:33.200 --> 00:00:35.360]  以致神給他有力量
[00:00:35.360 --> 00:00:38.120]  能夠擊敗他的敵人
[00:00:38.120 --> 00:00:40.200]  所以我說「自知死地而後生」
[00:00:40.200 --> 00:00:41.760]  因為我們看到
[00:00:41.760 --> 00:00:44.480]  參宣的名字在書「希伯來書」
[00:00:44.480 --> 00:00:46.920]  「龍虎榜上榜上有名」
[00:00:46.920 --> 00:00:48.480]  最後
[00:00:48.480 --> 00:00:51.600]  我們不妨看看參宣
[00:00:51.600 --> 00:00:54.720]  他真是一個很奇怪的人物
[00:00:54.720 --> 00:00:57.200]  從屬靈的眼光來看
[00:00:57.200 --> 00:00:59.920]  他是一個拿世異人
[00:00:59.920 --> 00:01:04.680]  他是有神的使者來宣佈他的誕生
[00:01:04.680 --> 00:01:07.880]  但他不斷地被他肉體的情慾
[00:01:07.880 --> 00:01:09.760]  來玷污自己
[00:01:09.760 --> 00:01:14.320]  來玷污他拿世異人的誓言
[00:01:14.320 --> 00:01:16.920]  拿世異人的誓言就是
[00:01:16.920 --> 00:01:22.120]  他要自己分別為聖為神所用
[00:01:22.120 --> 00:01:24.240]  他是蒙神呼召
[00:01:24.240 --> 00:01:26.080]  來帶領以色列人
[00:01:26.080 --> 00:01:29.280]  他也有聖靈在他身上
[00:01:29.280 --> 00:01:30.920]  但當我們
[00:01:30.920 --> 00:01:33.760]  小心地來看參宣的一生
[00:01:33.760 --> 00:01:34.760]  我們發覺
[00:01:34.760 --> 00:01:38.080]  他是沒有號召到以色列人
[00:01:38.080 --> 00:01:42.960]  帶領以色列人來對抗敵人
[00:01:42.960 --> 00:01:47.320]  他亦沒有為以色列人作出很大的貢獻
[00:01:47.320 --> 00:01:51.000]  他只是很多時自己單打獨鬥
[00:01:51.000 --> 00:01:54.440]  去擊敗菲律師人
[00:01:54.440 --> 00:01:57.560]  我們看到更加大的問題
[00:01:57.560 --> 00:02:01.160]  就是他時時被敵人的女子
[00:02:01.160 --> 00:02:02.720]  菲律師人的女子
[00:02:02.720 --> 00:02:05.320]  來迷惑他自己
[00:02:05.320 --> 00:02:08.280]  但是參宣他一生有兩件事
[00:02:08.280 --> 00:02:10.640]  很值得我們學習
[00:02:10.640 --> 00:02:13.760]  第一件事我上次也跟大家說過
[00:02:13.760 --> 00:02:17.440]  就是當以色列沒有人願意站出來
[00:02:17.440 --> 00:02:19.040]  為主作功的時候
[00:02:19.040 --> 00:02:21.000]  參宣願意
[00:02:21.000 --> 00:02:23.400]  在《聖經》裡兩次說到
[00:02:23.400 --> 00:02:27.840]  他是成為以色列人的使師二十年
[00:02:27.840 --> 00:02:29.400]  還有一樣
[00:02:29.400 --> 00:02:31.760]  我們上次也已經看到
[00:02:31.760 --> 00:02:34.320]  每當參宣遇見困難
[00:02:34.320 --> 00:02:37.320]  他都會求神來幫助他
[00:02:37.320 --> 00:02:40.360]  他都會仰望神
[00:02:40.360 --> 00:02:42.040]  這個很重要
[00:02:42.040 --> 00:02:44.600]  我上次說到當他
[00:02:44.600 --> 00:02:46.320]  戰敗了菲律師人
[00:02:46.320 --> 00:02:50.960]  是用雷仔這個惡骨殺死了一千個菲律師人
[00:02:50.960 --> 00:02:52.400]  他的身體有需要
[00:02:52.400 --> 00:02:54.360]  他覺得口渴
[00:02:54.360 --> 00:02:57.360]  他就立刻向神來禱告
[00:02:57.360 --> 00:03:00.000]  這個是他身體的需要
[00:03:00.000 --> 00:03:01.760]  但是我們今天會看到
[00:03:01.760 --> 00:03:04.120]  當他靈裡面有需要的時候
[00:03:04.120 --> 00:03:07.160]  他一樣是向神來禱告
[00:03:07.160 --> 00:03:09.840]  來仰望神
[00:03:09.840 --> 00:03:14.000]  我們今天要說參宣的三件事
[00:03:14.000 --> 00:03:18.640]  第一件事就是他不斷地試探他自己
[00:03:18.640 --> 00:03:23.680]  加薩是一個很重要海港旁邊的市鎮
[00:03:23.680 --> 00:03:27.120]  距離參宣的家鄉索拉
[00:03:27.120 --> 00:03:30.040]  大概是四十里的路程
[00:03:30.040 --> 00:03:31.720]  《聖經》沒有告訴我們
[00:03:31.720 --> 00:03:35.440]  為什麼參宣要去到這個地方
[00:03:35.440 --> 00:03:38.240]  參宣到達了加薩之後
