
[00:00:00.000 --> 00:00:02.000]  各位親愛的兄弟姊妹
[00:00:02.000 --> 00:00:04.000]  願你們生活幸福
[00:00:04.000 --> 00:00:06.000]  我不知道你們
[00:00:06.000 --> 00:00:09.000]  覺不覺得自己是一個快樂的人
[00:00:09.000 --> 00:00:12.000]  你會不會自覺自己是一個很幸福的人
[00:00:12.000 --> 00:00:15.000]  我不認識你們多數的人
[00:00:15.000 --> 00:00:17.000]  不過我估計
[00:00:17.000 --> 00:00:20.000]  看上去大家都無穿無難
[00:00:20.000 --> 00:00:21.000]  樣子很好
[00:00:21.000 --> 00:00:23.000]  榮光煥發
[00:00:23.000 --> 00:00:29.000]  理論上我們應該沒有生活的基本困難
[00:00:30.000 --> 00:00:33.000]  還有我剛才聽姊妹的見證
[00:00:33.000 --> 00:00:35.000]  我都很深信
[00:00:35.000 --> 00:00:41.000]  耶穌基督既然是你們的信仰的對象
[00:00:41.000 --> 00:00:44.000]  祂已經整治了你們的家庭
[00:00:44.000 --> 00:00:49.000]  你們應該都有一個比較幸福的家庭
[00:00:49.000 --> 00:00:51.000]  我要說
[00:00:51.000 --> 00:00:56.000]  在香港這是一個人上人的情況
[00:00:56.000 --> 00:01:01.000]  不過我仍然問一個你們不需要回答的問題
[00:01:01.000 --> 00:01:03.000]  你們是否很快樂
[00:01:03.000 --> 00:01:05.000]  你們是否自覺很幸福
[00:01:05.000 --> 00:01:09.000]  通常在手上的東西
[00:01:09.000 --> 00:01:11.000]  即是有的東西
[00:01:11.000 --> 00:01:14.000]  我們很少會特別留意它
[00:01:14.000 --> 00:01:15.000]  會珍惜它
[00:01:15.000 --> 00:01:18.000]  跟大家說個有趣的小笑話
[00:01:18.000 --> 00:01:22.000]  我兩年前在加拿大一間教會
[00:01:22.000 --> 00:01:24.000]  講退休會
[00:01:24.000 --> 00:01:27.000]  那間也算是一間中產的教會
[00:01:27.000 --> 00:01:29.000]  聖公會很少不中產的
