
[00:00:00.000 --> 00:00:02.720]  不知道大家喜不喜歡「想當年」
[00:00:02.720 --> 00:00:05.320]  或者是喜不喜歡「一得閒」
[00:00:05.320 --> 00:00:07.040]  就說「想當年」
[00:00:07.040 --> 00:00:08.040]  如果大家有這樣的習慣
[00:00:08.040 --> 00:00:10.160]  或者喜歡「想當年」的話
[00:00:10.160 --> 00:00:13.320]  大概也有差不多一年多了
[00:00:13.320 --> 00:00:16.240]  因為少年人不會想過去的
[00:00:16.240 --> 00:00:18.080]  是想將來的
[00:00:18.080 --> 00:00:21.320]  青年人也忙於想現在
[00:00:21.320 --> 00:00:23.680]  哪有時間想過去
[00:00:23.680 --> 00:00:24.720]  就算想想
[00:00:24.720 --> 00:00:26.600]  也不會有太多過去給他們想
[00:00:26.600 --> 00:00:27.680]  是不是
[00:00:27.680 --> 00:00:29.920]  那你說「想當年」是好還是不好
[00:00:29.920 --> 00:00:31.320]  沒有說好不好
[00:00:31.320 --> 00:00:34.640]  如果我們有正面積極的思想的時候
[00:00:34.640 --> 00:00:37.320]  我們回想我們過去可以幫助我們
[00:00:37.320 --> 00:00:39.720]  懂得去數算神的恩典
[00:00:39.720 --> 00:00:44.320]  又或者我們可以將我們累積回來的人生經驗
[00:00:44.320 --> 00:00:45.960]  不要再犯錯了
[00:00:45.960 --> 00:00:48.120]  又或者可以比過我們的下一代
[00:00:48.120 --> 00:00:50.640]  讓他們更加有智慧地生活
[00:00:50.640 --> 00:00:51.960]  不過
[00:00:51.960 --> 00:00:55.640]  如果我們的心態是很負面的話
[00:00:55.640 --> 00:00:57.880]  當我們每一次想到過去
[00:00:57.880 --> 00:01:00.640]  很有可能、很大機會
[00:01:00.640 --> 00:01:03.160]  我們的過去反而成為一個監獄
[00:01:03.160 --> 00:01:05.080]  牢籠了我們
[00:01:05.080 --> 00:01:08.080]  以致我們不能夠健康地、積極地
[00:01:08.080 --> 00:01:10.320]  有效地活在當下
[00:01:10.320 --> 00:01:11.520]  這個就是那個問題
[00:01:11.520 --> 00:01:13.960]  今天我們剛才所讀的經文
[00:01:13.960 --> 00:01:16.240]  給我們看到一個圖畫是怎樣的
[00:01:16.240 --> 00:01:20.800]  是整個以色列文集體在想當年
[00:01:20.800 --> 00:01:23.400]  而這個想當年的結果是怎樣的
[00:01:23.400 --> 00:01:26.080]  令到他們意志消沉
[00:01:26.080 --> 00:01:30.240]  不想再開工重建聖殿
[00:01:30.240 --> 00:01:31.600]  讓我們一重看一看
[00:01:31.600 --> 00:01:35.080]  究竟當日發生了甚麼事情
[00:01:35.080 --> 00:01:38.400]  有甚麼功課我們可以從中學習
[00:01:38.400 --> 00:01:39.600]  如果大家記得的話
[00:01:39.600 --> 00:01:41.120]  上個星期我們說到
[00:01:41.120 --> 00:01:43.720]  神的話語臨到這一班
[00:01:43.720 --> 00:01:47.120]  回歸耶路撒冷的以色列人
[00:01:47.120 --> 00:01:48.080]  他們怎樣
[00:01:48.080 --> 00:01:51.840]  他們不想在安逸的生活中
[00:01:51.840 --> 00:01:55.040]  不想再重建聖殿
[00:01:55.040 --> 00:01:57.520]  但是神的話語臨到他們當中的時候
[00:01:57.520 --> 00:02:02.040]  重燃起他們心中的盼望
[00:02:02.040 --> 00:02:03.480]  所以聖經告訴他們
[00:02:03.480 --> 00:02:07.920]  他們就聽這個哈該的先知的說話
[00:02:07.920 --> 00:02:12.120]  就重新去建造神的聖殿
[00:02:12.120 --> 00:02:14.760]  心裡還充滿了敬畏神的心
[00:02:14.760 --> 00:02:17.480]  留意經文是甚麼日子
[00:02:17.480 --> 00:02:21.640]  那個是大理烏王第二年的六月二十四日
[00:02:21.640 --> 00:02:25.440]  很清楚地說到當時的日期
[00:02:25.440 --> 00:02:26.200]  好了
[00:02:26.200 --> 00:02:28.600]  我們剛才所說的經文是第二章
[00:02:28.600 --> 00:02:29.920]  來到第二章的時候
[00:02:29.920 --> 00:02:31.520]  大家看看日期
[00:02:31.520 --> 00:02:34.280]  是七月二十一日
[00:02:34.280 --> 00:02:36.320]  即是未到一個月
[00:02:36.320 --> 00:02:39.560]  神的話語再一次臨到這個先知哈該
[00:02:39.560 --> 00:02:41.120]  神的話語說些甚麼
[00:02:41.120 --> 00:02:42.040]  它說
[00:02:42.040 --> 00:02:45.360]  你們中間存留的
[00:02:45.360 --> 00:02:48.760]  有誰見過這殿從前的榮耀呢
[00:02:48.760 --> 00:02:51.480]  現在你們看著如何
[00:02:51.480 --> 00:02:56.440]  豈不在眼中看如無有嗎
[00:02:56.440 --> 00:02:57.800]  這句話是甚麼意思
[00:02:57.800 --> 00:02:58.920]  意思就是說
[00:02:58.920 --> 00:03:05.640]  很明顯當時仍然在場的很多年老的以色列人
[00:03:05.640 --> 00:03:08.560]  他們曾經見過
[00:03:08.560 --> 00:03:12.480]  第一次所羅門王所建的聖殿
[00:03:12.480 --> 00:03:19.000]  而在他們見過這些從前聖殿的榮耀的時候
[00:03:19.000 --> 00:03:24.360]  再一次看回剛剛建好聖殿的根基的時候
[00:03:24.360 --> 00:03:28.480]  覺得簡直如同無物
[00:03:28.480 --> 00:03:29.880]  如同無物
[00:03:29.880 --> 00:03:35.200]  如果我們看回以色列的第三章的時候
[00:03:35.200 --> 00:03:36.960]  那裡告訴我們甚麼
[00:03:36.960 --> 00:03:39.200]  以色列的第三章他們說
