
[00:00:00.000 --> 00:00:03.780]  不知大家最近一聽到BB會想到甚麼
[00:00:03.780 --> 00:00:07.820]  可能有些人就想翠玉BB
[00:00:07.820 --> 00:00:11.060]  嘉欣BB 不是說那些
[00:00:11.060 --> 00:00:14.940]  如果是的話 如果大家想那些就中毒太深了
[00:00:14.940 --> 00:00:19.420]  BB呢 一想到BB 好像最近過去兩個星期
[00:00:19.420 --> 00:00:21.500]  好多事發生都關BB事
[00:00:21.500 --> 00:00:24.420]  有甚麼 巨B
[00:00:24.420 --> 00:00:26.380]  知不知道 上海有個巨B 幾多磅
[00:00:26.380 --> 00:00:29.980]  13磅 想起都害怕
[00:00:30.440 --> 00:00:34.180]  好彩我兩個不是那麼厲害 13磅很重要
[00:00:34.180 --> 00:00:37.840]  另外還有甚麼 再早一點
[00:00:37.840 --> 00:00:40.980]  有兩個BB 做甚麼 遇害
[00:00:40.980 --> 00:00:45.920]  無端端 不知道為甚麼 就沒了他們的生命
[00:00:45.920 --> 00:00:49.480]  又或者有一單大家不太知道
[00:00:49.480 --> 00:00:52.360]  原來在上海 有一個
[00:00:52.360 --> 00:00:55.460]  碎嶺的BB
[00:00:55.460 --> 00:00:58.660]  他被一個十一二歲的
[00:00:58.800 --> 00:01:00.780]  小女孩打
[00:01:00.780 --> 00:01:04.620]  打完還要扔他 有25樓扔他下街
[00:01:04.620 --> 00:01:07.840]  真是 想到都真是有點心寒
[00:01:07.840 --> 00:01:11.740]  不論我們想
[00:01:11.740 --> 00:01:14.380]  在腦海裏想BB是怎樣
[00:01:14.380 --> 00:01:17.280]  其實BB給我們的感覺都是很脆弱
[00:01:17.280 --> 00:01:19.340]  很需要我們保護
[00:01:19.340 --> 00:01:23.060]  我記得上星期看到一則懶知識
[00:01:23.060 --> 00:01:24.260]  原來呢
[00:01:24.260 --> 00:01:27.100]  BB不吃蜜糖 知不知道 大家知不知道
[00:01:27.100 --> 00:01:29.420]  有BB那些都可能不知道
[00:01:29.420 --> 00:01:33.000]  不關蜜糖事的 原來蜜糖
[00:01:33.000 --> 00:01:35.120]  很容易有細菌在裏面
[00:01:35.120 --> 00:01:37.880]  衛生署說原來有七成的蜜糖
[00:01:37.880 --> 00:01:41.020]  都有一些細菌 令到小朋友
[00:01:41.020 --> 00:01:44.040]  不舒服 生病 出事
[00:01:44.040 --> 00:01:46.960]  甚至有BB因為吃蜜糖
[00:01:46.960 --> 00:01:50.500]  腸胃不舒服 發病 甚至會死
[00:01:50.500 --> 00:01:52.280]  我們都不知道
[00:01:52.280 --> 00:01:55.760]  BB就是那麼脆弱 跟大人相比真的很不同
[00:01:55.760 --> 00:01:58.660]  大人吃蜜糖沒有事 很溫和
[00:01:58.660 --> 00:02:01.760]  我都要來這裏之前喝一杯熱檸蜜
[00:02:01.760 --> 00:02:03.820]  小朋友不行
[00:02:03.820 --> 00:02:07.320]  小朋友BB真的很脆弱
[00:02:07.320 --> 00:02:10.580]  很需要我們去愛護
[00:02:10.580 --> 00:02:12.420]  很需要我們去親
[00:02:12.420 --> 00:02:16.140]  會不會隔壁的BB在點頭
[00:02:16.140 --> 00:02:18.900]  你隔壁的BB是不是在點頭
[00:02:18.900 --> 00:02:20.400]  要親的BB
[00:02:23.680 --> 00:02:27.260]  我們從來都不會奢望一個BB
[00:02:27.260 --> 00:02:30.980]  可以去改變這個世界
[00:02:30.980 --> 00:02:33.720]  因為BB只會
[00:02:33.720 --> 00:02:36.200]  改變他爸爸媽媽的世界
[00:02:36.200 --> 00:02:40.140]  將他爸爸媽媽變成安安和佳佳
[00:02:40.140 --> 00:02:43.520]  但是踏入十二月的時間
[00:02:43.520 --> 00:02:47.620]  我們就會想起 原來真的有一個BB
[00:02:47.620 --> 00:02:49.680]  耶穌BB
[00:02:49.680 --> 00:02:53.240]  他就是這樣來到我們中間
[00:02:54.220 --> 00:02:57.060]  自從他降生那一刻開始
[00:02:57.060 --> 00:03:02.880]  這個世界 整個世界就被反轉了
[00:03:02.880 --> 00:03:05.780]  不能夠自救的人
[00:03:05.780 --> 00:03:08.360]  就一次的得著盼望
[00:03:08.360 --> 00:03:13.160]  而這個盼望 正正就是因為他願意虛己
[00:03:13.160 --> 00:03:14.800]  道成肉身
[00:03:14.800 --> 00:03:17.040]  取了奴僕的形象
[00:03:17.040 --> 00:03:18.460]  成為人的樣式
[00:03:18.460 --> 00:03:20.080]  卑微 馴服
[00:03:20.080 --> 00:03:23.220]  以至於死 且死在
[00:03:23.700 --> 00:03:24.980]  十字架上
[00:03:24.980 --> 00:03:28.480]  這個行動
[00:03:28.480 --> 00:03:31.780]  救贖的行動所換來的一份盼望
[00:03:31.780 --> 00:03:38.900]  聖經裏面其實記載耶穌出生的事情
[00:03:38.900 --> 00:03:43.520]  其實只有兩道經文有講到
[00:03:43.520 --> 00:03:46.280]  今天要讀的經文
[00:03:46.280 --> 00:03:48.460]  就是其中的一段
[00:03:48.460 --> 00:03:52.320]  就是《路加福音》二章一至二十節
[00:03:53.560 --> 00:03:55.820]  這段經文其實裏面
[00:03:55.820 --> 00:03:57.680]  含有很豐富的訊息
[00:03:57.680 --> 00:03:59.920]  我今天可能會比較概括
[00:03:59.920 --> 00:04:02.100]  要和大家思想三個
[00:04:02.100 --> 00:04:05.940]  我認為真的很有戲劇性的地方
[00:04:05.940 --> 00:04:08.820]  而去到明天的崇拜
[00:04:08.820 --> 00:04:09.820]  我會有另一個Pastor
[00:04:09.820 --> 00:04:11.080]  Pastor Fanny去分享
[00:04:11.080 --> 00:04:13.680]  她會更加深入去講
[00:04:13.680 --> 00:04:17.240]  牧羊人帶給我們的提醒
[00:04:17.240 --> 00:04:18.280]  所以如果有興趣
[00:04:18.280 --> 00:04:20.280]  你想知道更多
[00:04:20.280 --> 00:04:22.480]  更加深入去理解
[00:04:22.480 --> 00:04:25.260]  牧羊人的那一段經文
[00:04:25.260 --> 00:04:29.320]  大家可以在網上聽聽
[00:04:29.320 --> 00:04:30.720]  或者你有時間的話
[00:04:30.720 --> 00:04:32.740]  歡迎你回到崇拜裏面
[00:04:32.740 --> 00:04:34.980]  去聽Pastor Fanny講
[00:04:34.980 --> 00:04:38.240]  今天我們先來看這段經文
[00:04:38.240 --> 00:04:40.500]  《路加福音》二章一至四節
[00:04:40.500 --> 00:04:41.220]  我們一起讀出號碼
[00:04:41.220 --> 00:04:42.480]  預備起
[00:04:42.480 --> 00:04:44.200]  我愛耶穌
[00:04:44.200 --> 00:04:46.320]  我尊敬祂的祖宗
[00:04:46.320 --> 00:04:47.820]  祂旨以下
[00:04:47.820 --> 00:04:50.880]  叫天下人民都報名上山
[00:04:50.880 --> 00:04:55.000]  這是居尼瓏佐敘利亞巡撫的時候
[00:04:55.000 --> 00:04:58.060]  頭一次行報名上策的事
[00:04:58.060 --> 00:05:00.740]  眾人各歸各城
[00:05:00.740 --> 00:05:02.360]  報名上策
[00:05:02.360 --> 00:05:05.520]  日失不從加里利的亞瑟拉城
[00:05:05.520 --> 00:05:07.080]  上猶太去
[00:05:07.080 --> 00:05:08.780]  到了大衛的城
[00:05:08.780 --> 00:05:10.460]  名叫伯利恆
[00:05:10.460 --> 00:05:14.080]  引開本是大衛一族一家的人
[00:05:14.080 --> 00:05:14.960]  不知道大家還記不記得
[00:05:14.960 --> 00:05:16.640]  上星期Pastor John
[00:05:16.640 --> 00:05:19.000]  和大家分享什麼訊息
[00:05:19.000 --> 00:05:21.480]  聖誕前傳
[00:05:21.480 --> 00:05:22.380]  講瑪利亞
[00:05:22.380 --> 00:05:23.600]  記不記得三點
[00:05:23.600 --> 00:05:25.300]  C E O
[00:05:25.300 --> 00:05:28.760]  C是反覆思想
[00:05:28.760 --> 00:05:32.720]  E不怕干擾
[00:05:32.720 --> 00:05:37.260]  O單純信服
[00:05:37.260 --> 00:05:39.600]  其實由瑪利亞
[00:05:39.600 --> 00:05:43.640]  到耶穌出生的那段日子
[00:05:43.640 --> 00:05:45.900]  在上星期Pastor John
[00:05:45.900 --> 00:05:47.480]  講的背景
[00:05:47.480 --> 00:05:49.600]  其實沒什麼大的不同
[00:05:49.600 --> 00:05:52.720]  上星期Pastor John沒有講到一件事
[00:05:52.720 --> 00:05:54.500]  這裡經文提醒
[00:05:54.500 --> 00:05:56.920]  原來那時候
[00:05:56.920 --> 00:05:58.960]  羅馬帝國有一個皇帝
[00:05:58.960 --> 00:06:00.800]  也是第一位皇帝統治
[00:06:00.800 --> 00:06:04.040]  他就是阿古士督
[00:06:04.040 --> 00:06:05.400]  蓋撒
[00:06:05.400 --> 00:06:08.040]  蓋撒是羅馬皇帝的稱號
[00:06:08.040 --> 00:06:10.320]  而阿古士督為什麼會叫阿古士督呢
[00:06:10.320 --> 00:06:12.320]  他原名不是叫阿古士督
[00:06:12.320 --> 00:06:14.920]  原來阿古士督是上議院
[00:06:14.920 --> 00:06:18.080]  去給皇帝一個奉稱
[00:06:18.080 --> 00:06:19.680]  意思是什麼呢
[00:06:19.680 --> 00:06:21.960]  當被尊敬
[00:06:21.960 --> 00:06:25.560]  超乎人所當得的人
[00:06:25.560 --> 00:06:28.760]  嘩 很累贅
[00:06:28.760 --> 00:06:30.480]  繞了一大圈
[00:06:30.480 --> 00:06:32.440]  原來是說他是神
[00:06:32.440 --> 00:06:33.520]  當他是神
