
[00:00:00.000 --> 00:00:03.200]  今日是父親節的主日
[00:00:03.200 --> 00:00:09.600]  先祝各位父親身體健康 生活愉快 心情暢快
[00:00:09.600 --> 00:00:13.600]  特別在這樣的年代 這樣的日子
[00:00:13.600 --> 00:00:18.000]  戴著口罩之下 要心情暢快都不容易
[00:00:18.000 --> 00:00:21.400]  不多不少 我們都有很多的限制
[00:00:21.400 --> 00:00:24.800]  今日我想跟大家分享這段經文的時候
[00:00:24.800 --> 00:00:28.600]  我會從這段經文本身的情節鋪排
[00:00:28.600 --> 00:00:36.600]  來發掘出波亞斯這個人的生命素質的幾個重要的地方
[00:00:36.600 --> 00:00:39.600]  我會透過這個整個場景的描述
[00:00:39.600 --> 00:00:44.800]  兩個人的對話 來引導大家去思考
[00:00:44.800 --> 00:00:48.200]  路德記想要講的是什麼東西
[00:00:48.200 --> 00:00:53.200]  他提醒我們的是什麼重要的訊息
[00:00:53.200 --> 00:00:59.800]  我會先引導大家去認識如何讀《舊約聖經》
[00:00:59.800 --> 00:01:04.800]  《舊約聖經》的記載經常我們會看到很多故事性
[00:01:04.800 --> 00:01:10.800]  我們看到很多時候情節會多樣化 主題又很豐富
[00:01:10.800 --> 00:01:16.000]  猶太人對於記載敘事的手法有他的特色
[00:01:16.000 --> 00:01:21.800]  特色是他著重情節 著重意義
[00:01:21.800 --> 00:01:30.200]  因為他帶著立場 帶著眼光去看整個人生的故事
[00:01:30.200 --> 00:01:37.000]  而這個立場就是他用上帝的律法來判斷事情的價值
[00:01:37.000 --> 00:01:40.200]  有上帝的眼光來看人生
[00:01:40.200 --> 00:01:44.000]  這就是《舊約聖經》所做的功夫
[00:01:44.000 --> 00:01:49.400]  承傳著上帝與人的互動的故事
[00:01:49.400 --> 00:01:52.800]  而這一段經文所發生的背景
[00:01:52.800 --> 00:02:00.200]  也涉及著以色列人的文化當中兩個很重要的條例
[00:02:00.200 --> 00:02:06.000]  就是屬業的責任和遞取輕傷的條例
[00:02:06.000 --> 00:02:09.600]  故事發生的背景是一個稱為「黑暗時期」
[00:02:09.600 --> 00:02:14.200]  一個以色列人黑暗時期的時代叫做「時施時期」
[00:02:14.200 --> 00:02:19.000]  當時的人失去了對上帝的忠誠
[00:02:19.000 --> 00:02:23.400]  各人行自己以為正確的事的時代
[00:02:23.400 --> 00:02:27.200]  沒有王冠 沒有法紀的年代
[00:02:27.200 --> 00:02:29.600]  而在這個年代之下
[00:02:29.600 --> 00:02:34.600]  一對寡婦 婆媳
[00:02:34.600 --> 00:02:39.800]  由摩亞地 這個外國地方
[00:02:39.800 --> 00:02:47.000]  昔日因為避過饑荒而離開本國的一對婆媳
[00:02:47.000 --> 00:02:54.000]  在失去丈夫 失去兒子的淒涼光景之下
[00:02:54.000 --> 00:03:04.800]  老倒落魄地回到伯利恆尋求幫助的一個遭遇的故事
[00:03:04.800 --> 00:03:07.600]  在這個遭遇當中 這個故事裏面
[00:03:07.600 --> 00:03:13.000]  展示出上帝如何照顧那些孤苦的人
[00:03:13.000 --> 00:03:16.400]  這就是整個《路德記》的重心所在
[00:03:16.400 --> 00:03:19.400]  而今天我想和大家講的情節
[00:03:19.400 --> 00:03:23.600]  就是在求助的過程當中
[00:03:23.600 --> 00:03:32.800]  看到律法如何塑造了波亞斯一個美麗的形象
[00:03:32.800 --> 00:03:35.000]  美麗的性格
[00:03:35.000 --> 00:03:40.000]  我們一起來同心圖告
[00:03:40.000 --> 00:03:48.400]  求祢靈引導我們的心在聖經當中發掘真理 發掘出祢給我們的鼓勵
[00:03:48.400 --> 00:03:53.800]  讓我們一起來經歷主祢的引導 更新我們的心思意念
[00:03:53.800 --> 00:03:57.800]  我們祈禱奉耶穌基督 生命祈求 阿門
[00:03:57.800 --> 00:04:00.200]  我的題目叫做「真的漢子」
[00:04:00.200 --> 00:04:03.800]  這個和林子祥是沒有關係的
[00:04:03.800 --> 00:04:06.900]  雖然這首歌可能對於
[00:04:06.900 --> 00:04:11.700]  這麼上下年紀的人有種親切感
[00:04:11.700 --> 00:04:16.900]  不知道這幾個字有沒有帶來一種壓力的感覺
[00:04:16.900 --> 00:04:20.300]  很累而已 又要承擔
[00:04:20.300 --> 00:04:25.200]  有很多很多鼓勵的說話
[00:04:25.200 --> 00:04:31.400]  有時候男人的眼淚都很珍貴
[00:04:31.400 --> 00:04:34.600]  男人的眼淚有時候是製造不出來的
[00:04:34.600 --> 00:04:39.600]  不是他沒有 他未必能夠容易釋放
[00:04:39.600 --> 00:04:44.500]  男人的壓力來源是在我們的職責上面
[00:04:44.500 --> 00:04:46.800]  在我們的角色上面
[00:04:46.800 --> 00:04:50.600]  我們是別人的兒子
[00:04:50.600 --> 00:04:56.200]  我們是父親 我們是丈夫
[00:04:56.200 --> 00:05:00.200]  甚至乎在社會上面我們有我們的角色
[00:05:00.200 --> 00:05:06.300]  可能我們是老師 是一些CEO
[00:05:06.300 --> 00:05:08.200]  甚至乎可以這麼說
