
[00:00:00.000 --> 00:00:03.600]  好多謝主給我們今日這樣的機會
[00:00:03.600 --> 00:00:07.200]  坐在這個堂裏面
[00:00:07.200 --> 00:00:09.600]  經歷過一種安靜
[00:00:09.600 --> 00:00:13.600]  實在是我們很大的福氣
[00:00:13.600 --> 00:00:16.200]  我想有些弟兄姊妹可能
[00:00:16.200 --> 00:00:20.200]  不是很習慣這麼安靜
[00:00:20.200 --> 00:00:23.400]  不過很感恩我們真的可以安靜得到
[00:00:23.400 --> 00:00:26.200]  還有今天我們真的從頭到尾
[00:00:26.200 --> 00:00:29.600]  沒有其他的雜音來騷擾
[00:00:29.600 --> 00:00:32.400]  真是這個豐盛生命堂
[00:00:32.400 --> 00:00:34.800]  是一個很好的群體
[00:00:34.800 --> 00:00:38.000]  今日我想大家聽完這個經文
[00:00:38.000 --> 00:00:41.800]  可能你最熟悉的是哪一句
[00:00:41.800 --> 00:00:48.400]  會不會是以基督耶穌的心為心那一句
[00:00:48.400 --> 00:00:50.800]  今日我們看著這個十字架
[00:00:50.800 --> 00:00:54.400]  我們聽施班和我們獻唱這一首
[00:00:54.400 --> 00:00:56.200]  Via Dolorosa
[00:00:56.200 --> 00:00:59.000]  我們思想耶穌基督的十字架
[00:00:59.000 --> 00:01:00.800]  在這一段時間
[00:01:00.800 --> 00:01:03.200]  我覺得主是恩待我們
[00:01:03.200 --> 00:01:07.600]  今日是另外一個很重要的角度
[00:01:07.600 --> 00:01:11.200]  來思想這個十字架
[00:01:11.200 --> 00:01:12.200]  其實這個十字架
[00:01:12.200 --> 00:01:15.200]  和我們自己本身息息相關
[00:01:15.200 --> 00:01:19.400]  或者今日都是我們一個喚心的日子
[00:01:19.400 --> 00:01:25.000]  我們需要一顆由基督耶穌那裡來的心
[00:01:25.000 --> 00:01:27.000]  我今日講的經文
[00:01:27.000 --> 00:01:31.200]  除了修明執事幫我們讀的這幾節之外
[00:01:31.200 --> 00:01:33.600]  其實我還加多幾節
[00:01:33.600 --> 00:01:38.600]  就是由第一節到第十八節
[00:01:38.600 --> 00:01:40.000]  為什麼呢
[00:01:40.000 --> 00:01:42.800]  因為這段經文其實好像今日
[00:01:42.800 --> 00:01:46.200]  是請大家吃一個漢堡包
[00:01:46.200 --> 00:01:47.800]  開始一層
[00:01:47.800 --> 00:01:51.200]  中間就是那個氣慾
[00:01:51.200 --> 00:01:55.200]  接下來是另外的一層
[00:01:55.200 --> 00:01:57.200]  這一段經文是保羅
[00:01:57.200 --> 00:02:01.000]  對這個菲律賓教會的怨念
[00:02:01.000 --> 00:02:02.800]  大家可能對菲律賓教會
[00:02:02.800 --> 00:02:05.000]  都有一個不錯的印象
[00:02:05.000 --> 00:02:06.800]  特別是菲律賓書你最熟的
[00:02:06.800 --> 00:02:09.400]  可能就是說要常常喜樂
[00:02:09.400 --> 00:02:12.000]  我再說你們要喜樂
[00:02:12.000 --> 00:02:14.400]  應當一無掛慮等等
[00:02:14.400 --> 00:02:16.800]  你好像覺得這個教會
[00:02:16.800 --> 00:02:20.000]  都應該是很快樂很好
[00:02:20.000 --> 00:02:23.400]  其實可能剛剛相反
[00:02:23.400 --> 00:02:26.000]  有時候曾經講過一些話
[00:02:26.000 --> 00:02:31.000]  就正正是應對著那個群體的需要
[00:02:31.000 --> 00:02:33.400]  在當時菲律賓的教會
[00:02:33.400 --> 00:02:34.800]  他們面對的
[00:02:34.800 --> 00:02:37.600]  有外憂內患
[00:02:37.600 --> 00:02:40.400]  外面異教的文化
[00:02:40.400 --> 00:02:42.400]  異教的價值觀念
[00:02:42.400 --> 00:02:45.400]  俗世的壓力
[00:02:45.400 --> 00:02:49.000]  甚至可能是逼迫歧視
[00:02:49.000 --> 00:02:51.000]  是割離等等
[00:02:51.000 --> 00:02:56.000]  都令到教會是面對著不少的壓力
