
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹你好
[00:00:02.000 --> 00:00:04.000]  在這個疫情很嚴重的時候
[00:00:04.000 --> 00:00:07.000]  我們更加需要彼此去守望
[00:00:07.000 --> 00:00:09.000]  一起在神的話語裏面學習
[00:00:09.000 --> 00:00:11.000]  我們首先有個禱告
[00:00:11.000 --> 00:00:13.000]  天父我們多謝你
[00:00:13.000 --> 00:00:16.000]  因為我們在這個艱難的時候
[00:00:16.000 --> 00:00:18.000]  我們知道有出路
[00:00:18.000 --> 00:00:20.000]  我們在禱告裏面
[00:00:20.000 --> 00:00:22.000]  你帶領著我們
[00:00:22.000 --> 00:00:24.000]  更加尋到你的心意
[00:00:24.000 --> 00:00:26.000]  以致我們怎樣去在這個時代
[00:00:26.000 --> 00:00:30.000]  我們怎樣去在你的旨意裏面活著
[00:00:30.000 --> 00:00:32.000]  憑著你自己的力量
[00:00:32.000 --> 00:00:34.000]  求主你幫助我們
[00:00:34.000 --> 00:00:36.000]  祈禱奉主耶穌基督的名
[00:00:36.000 --> 00:00:38.000]  阿門
[00:00:38.000 --> 00:00:40.000]  大家都很緊張
[00:00:40.000 --> 00:00:44.000]  很多疫症的肆虐非常嚴重
[00:00:44.000 --> 00:00:50.000]  連續幾天破了五萬確診的數字
[00:00:50.000 --> 00:00:54.000]  也有一些連續幾天過百的死亡
[00:00:54.000 --> 00:00:56.000]  我們特別擔心的是
[00:00:56.000 --> 00:01:02.000]  在一些院舍已經有72%的安老院
[00:01:02.000 --> 00:01:06.000]  有些長者的院友染了疫
[00:01:06.000 --> 00:01:08.000]  我們會發覺很擔心
[00:01:08.000 --> 00:01:10.000]  我們又看到
[00:01:10.000 --> 00:01:14.000]  聽到一些公立的醫院
[00:01:14.000 --> 00:01:16.000]  有一些護士說
[00:01:16.000 --> 00:01:18.000]  看到都很擔心
[00:01:18.000 --> 00:01:20.000]  令人憂慮
[00:01:20.000 --> 00:01:22.000]  因為很多染疫的朋友
[00:01:22.000 --> 00:01:24.000]  去到醫院裏面
[00:01:24.000 --> 00:01:28.000]  有超過400的病者
