
[00:00:00.000 --> 00:00:05.480]  (主席) 剛才競拜裏面有一首詩篇
[00:00:05.480 --> 00:00:07.000]  (主席) 剛才我想起的
[00:00:07.000 --> 00:00:09.540]  (主席) 鼓勵大家 我也讀一次給大家聽
[00:00:09.540 --> 00:00:11.000]  (主席) 不是今天說的
[00:00:11.000 --> 00:00:13.080]  (主席) 詩篇第九十一篇
[00:00:13.080 --> 00:00:17.560]  (主席) 如果大家可以聽聽這首詩篇
[00:00:17.560 --> 00:00:19.320]  (主席) 還沒到這裏之前
[00:00:19.320 --> 00:00:23.640]  (主席) 我希望也成為我們此時此刻的鼓勵
[00:00:23.640 --> 00:00:27.560]  (主席) 詩篇第九十一篇是這樣說的
[00:00:27.560 --> 00:00:30.440]  (主席) 那裏說 住在最高階隱密處的
[00:00:30.440 --> 00:00:32.920]  (主席) 必住在全能者的任下
[00:00:32.920 --> 00:00:34.640]  (主席) 我要論道耶路華說
[00:00:34.640 --> 00:00:38.040]  (主席) 他是我的避難所 是我的山寨 是我的神
[00:00:38.040 --> 00:00:39.640]  (主席) 是我所倚靠的
[00:00:39.640 --> 00:00:44.720]  (主席) 他必救你脫離無了人的網絡和毒害的瘟疫
[00:00:44.720 --> 00:00:47.320]  (主席) 他必用自己的零毛遮蔽你
[00:00:47.320 --> 00:00:49.960]  (主席) 你要投靠在他的翅膀底下
[00:00:49.960 --> 00:00:53.000]  (主席) 他的誠實是大小的盾牌
[00:00:53.000 --> 00:00:57.000]  (主席) 你必不怕黑夜的驚嚇 或是白日非的箭
[00:00:57.000 --> 00:01:02.520]  (主席) 也不怕黑夜行的瘟疫 或是五間滅人的毒病
[00:01:02.520 --> 00:01:07.040]  (主席) 雖有千人撲倒在你旁邊 萬人撲倒在你右邊
[00:01:07.040 --> 00:01:09.400]  (主席) 這災卻不得臨近你
[00:01:09.400 --> 00:01:13.160]  (主席) 你唯親眼觀看 見惡人遭捕
[00:01:13.160 --> 00:01:15.160]  (主席) 耶路華是我的避難所
[00:01:15.160 --> 00:01:17.960]  (主席) 你已將至高者當你的居所
[00:01:17.960 --> 00:01:19.720]  (主席) 禍患必不臨到你
[00:01:19.720 --> 00:01:22.800]  (主席) 災害也不靠近你的帳篷
[00:01:22.800 --> 00:01:25.600]  (主席) 因他要為你吩咐他的使者
[00:01:25.600 --> 00:01:28.240]  (主席) 在你所行的一切道路上 保護你
[00:01:28.240 --> 00:01:29.360]  (主席) 十二節
[00:01:29.360 --> 00:01:34.000]  (主席) 他要用手托著你 免得你的腳碰在石頭上
[00:01:34.000 --> 00:01:37.160]  (主席) 你要喘在獅子和鬼蛇的身上
[00:01:37.160 --> 00:01:40.160]  (主席) 踐踏少壯獅子和大蛇
[00:01:40.160 --> 00:01:43.880]  (主席) 神說 因為他專心愛我 我就要答救他
[00:01:43.880 --> 00:01:47.920]  (主席) 因為他知道我的名 我要把他安置在高處
[00:01:47.920 --> 00:01:50.160]  (主席) 他若求告我 我就應運他
[00:01:50.160 --> 00:01:52.600]  (主席) 他在急難中 我要與他同在
[00:01:52.600 --> 00:01:55.200]  (主席) 我要答救他 使他尊貴
[00:01:55.200 --> 00:01:57.440]  (主席) 我要使他足享長壽
[00:01:57.440 --> 00:02:01.160]  (主席) 將我的救恩顯明給他
[00:02:01.160 --> 00:02:02.560]  (主席) 是否很安慰?
[00:02:02.560 --> 00:02:04.080]  (主席) 這是一首詩篇
[00:02:04.080 --> 00:02:08.120]  (主席) 它講述了很多神所做的事
[00:02:08.120 --> 00:02:09.800]  (主席) 九成都是神所做的事
[00:02:09.800 --> 00:02:12.440]  (主席) 但有一件事 祂邀請我們做的
[00:02:12.440 --> 00:02:14.920]  (主席) 你猜猜是甚麼事?
[00:02:14.920 --> 00:02:18.600]  (主席) 就是第十四節
[00:02:18.600 --> 00:02:20.920]  (主席) 十四節
[00:02:20.920 --> 00:02:23.240]  (主席) 十四節是怎樣說的?
[00:02:23.240 --> 00:02:27.240]  (主席) 祂說「神說 因為祂尊心愛我
[00:02:27.240 --> 00:02:29.800]  (主席) 我就要答救祂
[00:02:29.800 --> 00:02:32.520]  (主席) 因為祂尊心愛我 我就要答救祂
[00:02:32.520 --> 00:02:35.280]  (主席) 在各種困難 禍患之中
[00:02:35.280 --> 00:02:37.880]  (主席) 即是千人瀑倒在我旁邊
[00:02:37.880 --> 00:02:39.440]  (主席) 大神都會拯救
[00:02:39.440 --> 00:02:47.160]  (主席) 我覺得這是成為我們的鼓勵
[00:02:47.160 --> 00:02:50.160]  (主席) 疫情是令人擔心的
[00:02:50.160 --> 00:02:53.760]  (主席) 特別是很多有家庭 有兒子的
[00:02:53.760 --> 00:02:56.720]  (主席) 特別是容易會有憂慮
[00:02:56.720 --> 00:02:59.320]  (主席) 政府都說 現在疫情的狀況
[00:02:59.320 --> 00:03:03.320]  (主席) 比起之前三、四月更加激烈
[00:03:03.320 --> 00:03:05.840]  (主席) 更加嚴重
[00:03:05.840 --> 00:03:08.880]  (主席) 因為病毒的傳播力好像強了很多
[00:03:08.880 --> 00:03:10.720]  (主席) 可能有變種
[00:03:10.720 --> 00:03:15.280]  (主席) 所以很多世事我們預料不到的事
[00:03:15.280 --> 00:03:18.720]  (主席) 以為香港應該很安定 相對安全一點
[00:03:18.720 --> 00:03:22.160]  (主席) 誰知一下子就很快有變化
[00:03:22.160 --> 00:03:25.040]  (主席) 世局都是我們不能夠掌握的
[00:03:25.040 --> 00:03:27.320]  (主席) 所以仰望神
[00:03:27.320 --> 00:03:31.160]  (主席) 疫情其實都是反映這個世代的不安定
[00:03:31.160 --> 00:03:34.560]  (主席) 社會的環境和政治的氛圍
[00:03:34.560 --> 00:03:36.880]  (主席) 都令我們覺得低沉
[00:03:36.880 --> 00:03:38.680]  (主席) 不知道你會不會有這種心情
[00:03:38.680 --> 00:03:41.160]  (主席) 剛剛過去的這兩個星期
[00:03:41.160 --> 00:03:46.360]  (主席) 放眼世界 天災、疫情、政治
[00:03:46.360 --> 00:03:48.960]  (主席) 和國際間都充滿了張力
[00:03:48.960 --> 00:03:50.560]  (主席) 如果你看闊一點
[00:03:50.560 --> 00:03:54.920]  (主席) 疫情包括了 或者說災難包括了
[00:03:54.920 --> 00:03:58.080]  (主席) 最近又看到大陸長江的水患
[00:03:58.080 --> 00:04:01.760]  (主席) 很厲害的水災
[00:04:01.760 --> 00:04:03.680]  (主席) 所有的事情都告訴我們
[00:04:03.680 --> 00:04:05.840]  (主席) 有一樣東西將會發生的
[00:04:05.840 --> 00:04:07.240]  (主席) 耶穌都講過的
[00:04:07.240 --> 00:04:09.480]  (主席) 就是祂回來的日子近
[00:04:09.480 --> 00:04:13.360]  (主席) 在祂預告自己回來之前
[00:04:13.360 --> 00:04:16.520]  (主席) 會發生很多天災、災難
[00:04:16.520 --> 00:04:21.600]  (主席) 國與國之間的攻擊
[00:04:21.600 --> 00:04:26.120]  (主席) 甚至有逼迫
[00:04:26.120 --> 00:04:29.160]  (主席) 還有異端的出現
[00:04:29.160 --> 00:04:30.560]  (主席) 那怎麼辦呢
[00:04:30.560 --> 00:04:32.160]  (主席) 所以今天我預備的時候
[00:04:32.160 --> 00:04:33.160]  (主席) 這個星期我預備了
