
[00:00:00.000 --> 00:00:04.000]  愛是包括犧牲和付出
[00:00:04.000 --> 00:00:13.000]  但愛的犧牲和付出不是為了成就你犯罪的機會
[00:00:13.000 --> 00:00:21.000]  荷西亞書來到第二章
[00:00:21.000 --> 00:00:27.000]  我們進入一個很長篇幅的書信
[00:00:30.000 --> 00:00:36.000]  根據我的研讀看到這是一篇情書
[00:00:36.000 --> 00:00:42.000]  上帝在這篇情書裏面
[00:00:42.000 --> 00:00:49.000]  告訴我們他如何思想和經歷和以色列人的關係
[00:00:49.000 --> 00:00:55.000]  使我們學會如何愛上帝
[00:00:57.000 --> 00:01:02.000]  因為你和我本身不是真正懂得去愛的一個人
[00:01:02.000 --> 00:01:07.000]  今天基督教講愛
[00:01:07.000 --> 00:01:12.000]  我們聽的時代曲都很多講愛
[00:01:12.000 --> 00:01:18.000]  但什麼才是真正聖經裏面講愛的定義呢?
[00:01:18.000 --> 00:01:24.000]  我們很多時候未必全面了解
[00:01:26.000 --> 00:01:27.000]  甚至誤會
[00:01:27.000 --> 00:01:31.000]  因為受太多不同類型的所謂愛的定義影響著我們
[00:01:31.000 --> 00:01:38.000]  當我們對愛的定義不清楚的時候
[00:01:38.000 --> 00:01:44.000]  就可能做出愚蠢的行為
[00:01:44.000 --> 00:01:53.000]  先不講荷西亞書怎麼講愛
[00:01:53.000 --> 00:01:56.000]  我們看看今日的人怎麼看愛
[00:01:56.000 --> 00:02:01.000]  牧師你講愛是一種犧牲是一種付出
[00:02:01.000 --> 00:02:06.000]  但在我的輔導過程裏面
[00:02:06.000 --> 00:02:10.000]  常常被人將軍
[00:02:10.000 --> 00:02:17.000]  用我說的話來攻擊我
[00:02:17.000 --> 00:02:22.000]  你說愛是付出
[00:02:23.000 --> 00:02:25.000]  牧師我現在有個困難
[00:02:25.000 --> 00:02:28.000]  我很愛一個男生
[00:02:28.000 --> 00:02:34.000]  這個男生我非常喜歡
[00:02:34.000 --> 00:02:38.000]  於是乎我連我身體都願意付出給他
[00:02:38.000 --> 00:02:42.000]  但當我付出給他之後
[00:02:42.000 --> 00:02:45.000]  他竟然拋棄我
[00:02:45.000 --> 00:02:48.000]  牧師你教我怎麼去做
[00:02:48.000 --> 00:02:51.000]  付出
[00:02:53.000 --> 00:02:55.000]  我做牧者這麼多年
[00:02:55.000 --> 00:03:03.000]  最擔心的就是信徒
[00:03:03.000 --> 00:03:05.000]  聽牧者講道斷章取義
[00:03:05.000 --> 00:03:12.000]  沒錯愛是要付出的
[00:03:12.000 --> 00:03:16.000]  但愛的付出到某一個階段
[00:03:16.000 --> 00:03:19.000]  是有它特定付出的層次
[00:03:24.000 --> 00:03:26.000]  當你未到那個階段
[00:03:26.000 --> 00:03:28.000]  未到那個層次的愛的時候
[00:03:28.000 --> 00:03:32.000]  你付出的層次是有不同的
[00:03:32.000 --> 00:03:36.000]  所以當我們回去看
[00:03:36.000 --> 00:03:39.000]  這個可西亞先知書的時候
[00:03:39.000 --> 00:03:43.000]  我們去了解神
[00:03:43.000 --> 00:03:46.000]  他寫這封情書給以色列民知道
[00:03:46.000 --> 00:03:50.000]  誰寫這封情書讓以色列民知道
[00:03:50.000 --> 00:03:52.000]  其實上帝和以色列民的關係
[00:03:53.000 --> 00:03:55.000]  可以說是像夫妻的關係
[00:03:55.000 --> 00:03:59.000]  上帝和以色列民的關係
[00:03:59.000 --> 00:04:01.000]  就如同夫妻的關係一樣
[00:04:01.000 --> 00:04:03.000]  但當他們對愛在這個情況
[00:04:03.000 --> 00:04:05.000]  這個關係裏面仍然有誤解的話
[00:04:05.000 --> 00:04:08.000]  如果在愛裏面有誤解的話
[00:04:08.000 --> 00:04:10.000]  這個傷害帶來很大的
[00:04:10.000 --> 00:04:12.000]  這個傷害帶來很大的
[00:04:12.000 --> 00:04:15.000]  所以我們接下來講會有兩堂崇拜
[00:04:15.000 --> 00:04:17.000]  叫做改變的進程
[00:04:17.000 --> 00:04:20.000]  接下來有兩堂講到叫改變的進程
