
[00:00:00.000 --> 00:00:02.920]  我們開始的時候,我們先離大去低頭,我們禱告媽
[00:00:02.920 --> 00:00:07.280]  父親我們懇求你,離大去祝福我們每一個人
[00:00:07.280 --> 00:00:10.180]  幫助我們一個漢暮追求你華語的心
[00:00:10.180 --> 00:00:13.360]  讓你的華語成為我們生命的幫助和激勵
[00:00:13.360 --> 00:00:17.060]  有時我們要承認我們對舊約的認識不是很舊
[00:00:17.060 --> 00:00:18.560]  因為我覺得和我們很遙遠
[00:00:18.560 --> 00:00:22.380]  但亦都讓我們看到,原來你的華語是永存的
[00:00:22.380 --> 00:00:25.020]  透過你的華語都成為我們的提醒和幫助
[00:00:25.020 --> 00:00:27.420]  祝福我們每一個人,帶領我們以後的時間
[00:00:27.580 --> 00:00:30.180]  祈禱難逢主,得聖一命,Amen
[00:00:30.180 --> 00:00:31.980]  好,我們會看《拿紅書》
[00:00:31.980 --> 00:00:35.220]  但是記不記得我在說約拿書的時候
[00:00:35.220 --> 00:00:38.780]  就是約拿向哪個城來帶去傳訊息
[00:00:38.780 --> 00:00:41.180]  利尼眉,嘩,大家都很厲害
[00:00:41.180 --> 00:00:45.220]  但是很厲害的,說了一天就全城的人悔改
[00:00:45.220 --> 00:00:48.640]  記不記得我說約拿為什麼不想去利尼眉城
[00:00:48.640 --> 00:00:53.220]  就是因為他見到這個大國崛起
[00:00:53.220 --> 00:00:57.780]  他預計到這個國家會成為他們國家的一個要脅
[00:00:57.780 --> 00:01:00.860]  所以他不想這個國家崛起
[00:01:00.860 --> 00:01:03.860]  但是其實人看的有時很短暫
[00:01:03.860 --> 00:01:08.180]  後來約拿終於來向利尼眉城傳訊息的時候
[00:01:08.180 --> 00:01:10.180]  這個城的人是信了的
[00:01:10.180 --> 00:01:13.380]  其實是幫了自己國家
[00:01:13.380 --> 00:01:17.660]  約拿書和《拿紅書》相隔了多久你知不知道
[00:01:17.660 --> 00:01:19.820]  是一百五十年
[00:01:19.820 --> 00:01:22.420]  是相隔了一百五十年
[00:01:22.420 --> 00:01:26.500]  就是正正因為約拿來帶去傳這個訊息的時候
