
[00:00:00.000 --> 00:00:06.000]  去到今晚的訊息 去到YS年尾的最後一個系列
[00:00:06.000 --> 00:00:08.000]  Same God
[00:00:08.000 --> 00:00:14.000]  是在說我們今年說自己的性情和上帝的屬性
[00:00:14.000 --> 00:00:17.000]  去到最後這個系列 說Same God的時候
[00:00:17.000 --> 00:00:21.000]  就是在說神的信實
[00:00:21.000 --> 00:00:27.000]  當在說上帝的信實的時候 我就會想什麼呢
[00:00:27.000 --> 00:00:31.000]  出個power point 吧 麻煩
[00:00:31.000 --> 00:00:34.000]  我就想 信實
[00:00:34.000 --> 00:00:43.000]  我們信耶穌的時候 我很喜歡用信和信仰這個字
[00:00:43.000 --> 00:00:48.000]  我們所信的上帝 我們的信仰不是一個宗教
[00:00:48.000 --> 00:00:52.000]  不是一套行為的規矩 是一個關係
[00:00:52.000 --> 00:00:54.000]  是和這個永恆的主的一個關係
[00:00:54.000 --> 00:00:58.000]  既是一個個人的關係 也是一個群體的關係
[00:00:58.000 --> 00:01:01.000]  而這個信仰呢
[00:01:01.000 --> 00:01:05.000]  不只是信 不是頭腦知道這個上帝是怎樣
[00:01:05.000 --> 00:01:09.000]  你和祂是 因為這個關係 所以你有個信心
[00:01:09.000 --> 00:01:12.000]  你也有個信任在這個上帝 和這個上帝
[00:01:12.000 --> 00:01:17.000]  而這個信實呢
[00:01:17.000 --> 00:01:21.000]  就是同樣在這個信的裏面
[00:01:21.000 --> 00:01:24.000]  今天我們說信實
[00:01:24.000 --> 00:01:27.000]  信實是怎樣的一回事呢
[00:01:27.000 --> 00:01:30.000]  你怎樣才能信得過一個人呢
[00:01:30.000 --> 00:01:32.000]  你怎樣才能信得過他呢
[00:01:32.000 --> 00:01:35.000]  聖經用了一個詞語 就是信實
[00:01:35.000 --> 00:01:38.000]  信實用在上帝裏面 特別是聖經的用法
[00:01:38.000 --> 00:01:41.000]  很特別 原來的文字不是純粹說
[00:01:41.000 --> 00:01:43.000]  你信得過 我不只是這樣
[00:01:43.000 --> 00:01:52.000]  原來的文字是說 信實還有一種是很穩妥 堅定
[00:01:52.000 --> 00:01:55.000]  很firm 很secure的那種
[00:01:55.000 --> 00:01:57.000]  不是純粹說你信得過
[00:01:57.000 --> 00:02:00.000]  是說你很穩妥 很firm的
[00:02:00.000 --> 00:02:02.000]  我剛才在後面敬拜的時候 我在想
[00:02:02.000 --> 00:02:04.000]  假設而已 假設布林站在這裏
[00:02:04.000 --> 00:02:06.000]  你有沒有玩過那些team building的game
[00:02:06.000 --> 00:02:08.000]  那些不知道是不是站在桌上
[00:02:08.000 --> 00:02:13.000]  跌下去 瞇著眼睛這樣跌下去
[00:02:13.000 --> 00:02:15.000]  你聽不聽到後面的聲音
[00:02:15.000 --> 00:02:18.000]  上網聽的那些 你聽不明白的
[00:02:18.000 --> 00:02:20.000]  你不知道誰在這裏 我一看就看到
[00:02:20.000 --> 00:02:24.000]  如果布林瞇著眼睛在這裏
[00:02:24.000 --> 00:02:27.000]  他說跌了 那我就跌
[00:02:27.000 --> 00:02:30.000]  那他怕不怕呢
[00:02:30.000 --> 00:02:32.000]  這裏 我說這裏
[00:02:32.000 --> 00:02:33.000]  我覺得他不怕
[00:02:33.000 --> 00:02:34.000]  不怕是甚麼呢
[00:02:34.000 --> 00:02:36.000]  不是因為阿南在這裏
[00:02:36.000 --> 00:02:37.000]  不是因為我在這裏
[00:02:37.000 --> 00:02:41.000]  他知道一定會有人接住他的
[00:02:41.000 --> 00:02:42.000]  你明不明白我的意思
[00:02:42.000 --> 00:02:45.000]  所謂信實不是純粹說他信得過
[00:02:45.000 --> 00:02:49.000]  而是他知道有一樣東西是很firm的
[00:02:49.000 --> 00:02:51.000]  很firm 很secure的
[00:02:51.000 --> 00:02:56.000]  如果說 我看一些解釋
[00:02:56.000 --> 00:02:58.000]  去到一個甚麼位置呢
[00:02:58.000 --> 00:03:02.000]  就是媽媽抱著一個嬰兒
[00:03:02.000 --> 00:03:04.000]  那個嬰兒覺得媽媽的擁抱
[00:03:04.000 --> 00:03:08.000]  是一個很secure 很firm的那種
[00:03:08.000 --> 00:03:11.000]  信實不是純粹說他信得過
[00:03:11.000 --> 00:03:12.000]  不是就是這樣
[00:03:12.000 --> 00:03:14.000]  當聖經說信實這個字的時候
[00:03:14.000 --> 00:03:15.000]  這個詞語的時候
[00:03:15.000 --> 00:03:16.000]  它形容的是上帝有這種
[00:03:16.000 --> 00:03:19.000]  很firm 很secure的意思
[00:03:19.000 --> 00:03:20.000]  所以當我們說了信仰
