
[00:00:00.000 --> 00:00:05.000]  各位大宣傳媒 早安 主佑你們平安
[00:00:05.000 --> 00:00:07.000]  這樣的陣營去講道
[00:00:07.000 --> 00:00:10.000]  真是在今年才第一次去遇到
[00:00:10.000 --> 00:00:12.000]  世紀的學習
[00:00:12.000 --> 00:00:13.000]  我們經常說
[00:00:13.000 --> 00:00:17.000]  這個大逆 在這個大流行底下
[00:00:17.000 --> 00:00:19.000]  除了很多不方便
[00:00:19.000 --> 00:00:22.000]  我們怎樣思想上帝的工作
[00:00:22.000 --> 00:00:27.000]  在當中 我想這裡是一個很值得我們去思考的課題
[00:00:27.000 --> 00:00:29.000]  今天跟大家分享的主題
[00:00:29.000 --> 00:00:33.000]  怎樣成為一個敬畏上帝的人
[00:00:33.000 --> 00:00:38.000]  敬畏神在基督徒生命當中
[00:00:38.000 --> 00:00:40.000]  我們講了很多年
[00:00:40.000 --> 00:00:43.000]  我們嘗試怎樣在詩篇裡面
[00:00:43.000 --> 00:00:47.000]  去讀出怎樣作為一個敬畏上帝的人
[00:00:47.000 --> 00:00:49.000]  所以在開始的時候
[00:00:49.000 --> 00:00:51.000]  我們做一個簡單的祈禱
[00:00:51.000 --> 00:00:55.000]  將時間交給我們的主
[00:00:55.000 --> 00:00:59.000]  我們主我們的神 我們在祢面前心存著敬畏
[00:00:59.000 --> 00:01:02.000]  但同時仰望祢 求祢自己的幫助
[00:01:02.000 --> 00:01:05.000]  讓我們真的在行為生活上
[00:01:05.000 --> 00:01:07.000]  在意志心態上
[00:01:07.000 --> 00:01:10.000]  是作為一個完完全全敬畏祢的人
[00:01:10.000 --> 00:01:12.000]  主要知道這條路是不容易去走
[00:01:12.000 --> 00:01:14.000]  但是恩典的足夠
[00:01:14.000 --> 00:01:17.000]  幫助我們今天早上從祢的話語當中去領受
[00:01:17.000 --> 00:01:20.000]  求聖靈在當中親自去作供
[00:01:20.000 --> 00:01:22.000]  奉耶穌名祈禱
[00:01:22.000 --> 00:01:25.000]  阿門
[00:01:25.000 --> 00:01:28.000]  在這裡和在座的弟兄姊妹打個招呼
[00:01:28.000 --> 00:01:31.000]  和家裡的弟兄姊妹打個招呼
[00:01:31.000 --> 00:01:33.000]  我們今天玩一個遊戲
[00:01:33.000 --> 00:01:34.000]  什麼遊戲呢
[00:01:34.000 --> 00:01:36.000]  就是一個集中力的遊戲
[00:01:36.000 --> 00:01:40.000]  特別是在電腦面前敬拜弟兄姊妹
[00:01:40.000 --> 00:01:42.000]  其實也是一種挑戰
[00:01:42.000 --> 00:01:44.000]  要集中是不容易的
[00:01:44.000 --> 00:01:45.000]  因為過去半年我的工作
[00:01:45.000 --> 00:01:47.000]  都是在電腦上面
[00:01:47.000 --> 00:01:49.000]  朝九晚六晚七
[00:01:49.000 --> 00:01:51.000]  都是對著電腦去做
[00:01:51.000 --> 00:01:53.000]  其實是一件不容易的事
[00:01:53.000 --> 00:01:55.000]  我們一起去翻開聖經好不好
[00:01:55.000 --> 00:01:57.000]  特別是家裡的弟兄姊妹
[00:01:57.000 --> 00:01:58.000]  我們一起去翻開聖經
[00:01:58.000 --> 00:02:01.000]  或者你在電子版的聖經也可以
[00:02:01.000 --> 00:02:04.000]  打開立不開罪的靜音
[00:02:04.000 --> 00:02:06.000]  打開詩篇
[00:02:06.000 --> 00:02:09.000]  103篇這個地方
[00:02:09.000 --> 00:02:13.000]  成為一個敬畏上帝的人
[00:02:13.000 --> 00:02:17.000]  究竟是不是詩篇103篇的主題呢
[00:02:17.000 --> 00:02:19.000]  答案是不是
[00:02:19.000 --> 00:02:20.000]  因為大家都知道
