
[00:00:00.000 --> 00:00:03.080]  今天我們說的題目是「再思重申」
[00:00:03.080 --> 00:00:07.280]  經文是記載在《約翰福音》三章一到十七節
[00:00:07.280 --> 00:00:10.520]  但我們今天會說一至十五節
[00:00:10.520 --> 00:00:12.200]  故事的背景很簡單
[00:00:12.200 --> 00:00:14.560]  所記載的是兩位神學家
[00:00:14.560 --> 00:00:16.720]  一次在神學上的討論
[00:00:16.720 --> 00:00:18.720]  一位是有認證的
[00:00:18.720 --> 00:00:22.040]  是全以色列人的教師尼哥德姆
[00:00:22.040 --> 00:00:24.120]  另一位是沒有認證的
[00:00:24.120 --> 00:00:28.000]  是從神國而來的老師耶穌
[00:00:28.000 --> 00:00:32.160]  在一個晚上可惜淵博的尼哥德姆
[00:00:32.160 --> 00:00:35.400]  在夜間的時分來到耶穌的庚前
[00:00:35.400 --> 00:00:38.160]  徹夜與這位生命的主長談
[00:00:38.160 --> 00:00:40.440]  在約翰勢利的筆下
[00:00:40.440 --> 00:00:43.720]  尼哥德姆與耶穌的對話
[00:00:43.720 --> 00:00:47.480]  被以對話的形式記錄下來
[00:00:47.480 --> 00:00:49.640]  由三個尼哥德姆的提問
[00:00:49.640 --> 00:00:52.400]  和三個耶穌的回答去組成
[00:00:52.400 --> 00:00:54.720]  是約翰在《約翰福音》裡
[00:00:54.720 --> 00:00:58.440]  以問答方式帶出真理的第一個例子
[00:00:58.440 --> 00:01:02.120]  這段經文除了對話是一個特點之外
[00:01:02.120 --> 00:01:05.080]  另一個特色就是在文學上
[00:01:05.080 --> 00:01:08.640]  他用了很多很多對立的詞語
[00:01:08.640 --> 00:01:10.000]  譬如我們會看到
[00:01:10.000 --> 00:01:11.760]  上和下
[00:01:11.760 --> 00:01:13.400]  天和地
[00:01:13.400 --> 00:01:15.280]  從聖靈身
[00:01:15.280 --> 00:01:17.520]  和從肉身身
[00:01:17.520 --> 00:01:20.280]  光明和黑暗
[00:01:20.280 --> 00:01:22.720]  約翰運用這些對比的詞
[00:01:22.720 --> 00:01:26.240]  去建構了一連串的象徵性的隱喻
[00:01:26.240 --> 00:01:29.680]  目的是帶出事物的表象之餘
[00:01:29.680 --> 00:01:33.480]  也都是帶出深一層它的意思
[00:01:33.480 --> 00:01:35.080]  譬如我們在第二節看到
[00:01:35.080 --> 00:01:38.960]  尼哥德姆在夜晚來找耶穌
[00:01:38.960 --> 00:01:41.120]  夜晚按著字面來看
[00:01:41.120 --> 00:01:44.560]  我們可以說是一個晚上的時分
[00:01:44.560 --> 00:01:47.120]  但是如果我們將這個晚上
[00:01:47.120 --> 00:01:49.320]  放在剛才說的全卷
[00:01:49.320 --> 00:01:50.720]  約翰福音去理解
[00:01:50.720 --> 00:01:53.920]  光明與黑暗對立的主題的時候
[00:01:53.920 --> 00:01:56.240]  夜間可以是隱喻為
[00:01:56.240 --> 00:01:58.080]  人在黑暗裡面活著
[00:01:58.080 --> 00:02:01.080]  而不認識上帝的一群人
[00:02:01.080 --> 00:02:02.400]  所以如果這樣理解的時候
[00:02:02.400 --> 00:02:05.000]  在約翰福音三章十九節
[00:02:05.000 --> 00:02:06.800]  那裡約翰有一個結論
[00:02:06.800 --> 00:02:09.440]  他說「光來到世上
[00:02:09.440 --> 00:02:11.280]  世人因為自己的行為
[00:02:11.280 --> 00:02:13.760]  邪惡不愛光
[00:02:13.760 --> 00:02:15.880]  倒愛黑暗
[00:02:15.880 --> 00:02:17.960]  這就是定他們的罪
[00:02:17.960 --> 00:02:20.560]  光明與黑暗」
[00:02:20.560 --> 00:02:23.720]  所以其實經文本身的意思是很豐富的
[00:02:23.720 --> 00:02:25.520]  除了表象說夜間
[00:02:25.520 --> 00:02:26.800]  也可以深一層
[00:02:26.800 --> 00:02:30.520]  是說到信與不信的人
[00:02:30.520 --> 00:02:31.960]  耶穌是世上的光
[00:02:31.960 --> 00:02:34.640]  祂來到世間為我們帶來根深
[00:02:34.640 --> 00:02:36.760]  也都為我們帶來改變
[00:02:36.760 --> 00:02:39.280]  除了帶來根深改變之外
[00:02:39.280 --> 00:02:41.960]  如果對當時的特別是猶太人
[00:02:41.960 --> 00:02:43.520]  耶穌的教導
[00:02:43.520 --> 00:02:45.920]  也都是衝擊了他們的制度
[00:02:45.920 --> 00:02:48.720]  顛覆了他們傳統的思想
[00:02:48.720 --> 00:02:51.360]  文化和價值的觀念
[00:02:51.360 --> 00:02:53.240]  故事裡面的尼哥德姆
[00:02:53.240 --> 00:02:56.320]  他在這次求見耶穌的過程裡面
[00:02:56.320 --> 00:02:58.320]  在他沒有預期的底下
[00:02:58.320 --> 00:03:02.120]  經歷了一次無語倫比的信仰思辯
[00:03:02.120 --> 00:03:06.560]  迫使他重新思考和建構他的信仰
[00:03:06.560 --> 00:03:08.240]  所以今天我們會
[00:03:08.240 --> 00:03:10.280]  用一個信仰重整的角度
[00:03:10.280 --> 00:03:12.080]  去看這一段經文
[00:03:12.080 --> 00:03:14.160]  並且從中我們去認知
[00:03:14.160 --> 00:03:15.920]  三個跟從主
[00:03:15.920 --> 00:03:18.600]  我們很重要的根深
[00:03:18.600 --> 00:03:20.640]  第一個根深是什麼呢?
[00:03:20.640 --> 00:03:24.040]  我們是要根深對神國的理解
[00:03:24.040 --> 00:03:25.680]  我們一起讀第一節
[00:03:25.680 --> 00:03:26.840]  讀到第三節
[00:03:26.840 --> 00:03:28.600]  預備 1 2 3
[00:03:28.600 --> 00:03:30.600]  有一個法尼塞人
[00:03:30.600 --> 00:03:32.400]  名叫尼哥德姆
[00:03:32.400 --> 00:03:34.320]  是猶太人的官
[00:03:34.320 --> 00:03:36.720]  這人夜裡來見耶穌
[00:03:36.720 --> 00:03:37.920]  對他說
[00:03:37.920 --> 00:03:38.800]  拉比
[00:03:38.800 --> 00:03:43.000]  我知道你是由神那裡來作老師的
[00:03:43.000 --> 00:03:45.240]  因為你所行的神蹟
[00:03:45.240 --> 00:03:47.320]  若沒有神同在
[00:03:47.320 --> 00:03:49.120]  無人能行
[00:03:49.120 --> 00:03:50.960]  耶穌回答他說
[00:03:50.960 --> 00:03:53.480]  我實實在在地告訴你
[00:03:53.480 --> 00:03:55.240]  人若不從心
[00:03:55.240 --> 00:03:57.960]  就不能見神的國
[00:03:57.960 --> 00:04:01.520]  經文一開始記載了一個叫尼哥德姆的人
[00:04:01.520 --> 00:04:02.760]  來找耶穌
[00:04:02.760 --> 00:04:04.080]  按照經文的描述
[00:04:04.080 --> 00:04:06.040]  尼哥德姆是什麼人呢?
[00:04:06.040 --> 00:04:08.400]  他是一個法尼塞人
[00:04:08.400 --> 00:04:10.960]  他也是猶太人的官長
[00:04:10.960 --> 00:04:13.400]  如果我們將經文再看後一點
[00:04:13.400 --> 00:04:14.880]  看到第十節的時候
[00:04:14.880 --> 00:04:17.120]  在耶穌對尼哥德姆的稱謂裡面
[00:04:17.120 --> 00:04:18.280]  我們看得見
[00:04:18.280 --> 00:04:20.040]  耶穌稱他是
[00:04:20.040 --> 00:04:22.960]  以色列人的老師
[00:04:22.960 --> 00:04:26.400]  是當時猶太社會裡很著名的老師
[00:04:26.400 --> 00:04:28.480]  如果用現代人的說法
[00:04:28.480 --> 00:04:29.560]  尼哥德姆是什麼呢?
[00:04:29.560 --> 00:04:33.120]  就是當代一個很偉大的神學家
[00:04:33.120 --> 00:04:36.440]  在宗教的知識和教學上
[00:04:36.440 --> 00:04:38.200]  是很享負盛名的
[00:04:38.200 --> 00:04:40.840]  是人眼中最明白
[00:04:40.840 --> 00:04:45.240]  和清楚了解上帝的一個人
[00:04:45.240 --> 00:04:46.840]  在一個不知名的晚上
[00:04:46.840 --> 00:04:49.720]  這位拉比來到見耶穌
[00:04:49.720 --> 00:04:53.560]  尼哥德姆是選擇在夜晚去見耶穌
[00:04:53.560 --> 00:04:55.920]  約翰沒有告訴我們
[00:04:55.920 --> 00:04:58.720]  為什麼他要選擇夜晚
[00:04:58.720 --> 00:05:01.400]  或者我們可以這樣估計
[00:05:01.400 --> 00:05:04.240]  一個可能就是尼哥德姆怕難為情
[00:05:04.240 --> 00:05:06.360]  剛才我講到尼哥德姆是一個
[00:05:06.360 --> 00:05:08.560]  很出名的學者
[00:05:08.560 --> 00:05:10.400]  現在他要求見一個
[00:05:10.400 --> 00:05:13.360]  沒有什麼學養的耶穌
[00:05:13.360 --> 00:05:15.920]  所以他很怕難為情
[00:05:15.920 --> 00:05:18.040]  這是第一個可能的解釋
[00:05:18.040 --> 00:05:21.760]  第二個可能是尼哥德姆出於害怕
[00:05:21.760 --> 00:05:23.640]  如果我們看回在二章的時候
[00:05:23.640 --> 00:05:26.720]  耶穌剛剛拿著鞭子去到什麼?
[00:05:26.720 --> 00:05:28.840]  潔淨聖殿
[00:05:28.840 --> 00:05:30.680]  所以其實對尼哥德姆來說
[00:05:30.680 --> 00:05:34.080]  他會不會害怕別人知道他去找耶穌
[00:05:34.080 --> 00:05:35.320]  當他是什麼?
[00:05:35.320 --> 00:05:38.560]  當他是耶穌那一夥的人
[00:05:38.560 --> 00:05:40.640]  所以他可能是這樣
[00:05:40.640 --> 00:05:44.040]  選擇在夜晚去找耶穌
[00:05:44.040 --> 00:05:46.920]  雖然我們不知道真實的原因是什麼
[00:05:46.920 --> 00:05:49.640]  但是在經文裡面我們確實看到
[00:05:49.640 --> 00:05:51.200]  尼哥德姆是有什麼?
[00:05:51.200 --> 00:05:53.400]  有去找到耶穌
[00:05:53.400 --> 00:05:55.800]  以及和他聊天
[00:05:55.800 --> 00:05:56.960]  在經文第二節
[00:05:56.960 --> 00:06:01.160]  我們見到尼哥德姆對耶穌是相當之尊重的
