
[00:00:00.000 --> 00:00:02.000]  曾經有一個故事,不知是真是假
[00:00:02.000 --> 00:00:04.000]  這個故事提到一對夫婦
[00:00:04.000 --> 00:00:08.000]  這對夫婦各自工作很忙
[00:00:08.000 --> 00:00:10.000]  忙到一個地步
[00:00:10.000 --> 00:00:12.000]  他們夫婦之間沒什麼機會聊天
[00:00:12.000 --> 00:00:14.000]  於是他們覺得
[00:00:14.000 --> 00:00:16.000]  有一天他們覺得不對勁
[00:00:16.000 --> 00:00:18.000]  於是決定他們夫婦
[00:00:18.000 --> 00:00:20.000]  真的要放一個較長的假期
[00:00:20.000 --> 00:00:22.000]  但因為他們太忙
[00:00:22.000 --> 00:00:24.000]  忙到一個地步
[00:00:24.000 --> 00:00:26.000]  他們終於找到一個時間
[00:00:26.000 --> 00:00:28.000]  可以一起放假
[00:00:28.000 --> 00:00:30.000]  但不能同一天出發
[00:00:30.000 --> 00:00:32.000]  丈夫要先去到目的地
[00:00:32.000 --> 00:00:36.000]  而太太第二天才去到目的地
[00:00:36.000 --> 00:00:38.000]  這樣比沒有好
[00:00:38.000 --> 00:00:40.000]  於是他們決定放假
[00:00:40.000 --> 00:00:42.000]  放假那天
[00:00:42.000 --> 00:00:44.000]  丈夫收拾好東西
[00:00:44.000 --> 00:00:46.000]  然後坐飛機
[00:00:46.000 --> 00:00:48.000]  坐飛機去到目的地
[00:00:48.000 --> 00:00:50.000]  然後進了酒店
[00:00:50.000 --> 00:00:52.000]  做了所有手續
[00:00:52.000 --> 00:00:54.000]  然後進了房間
[00:00:54.000 --> 00:00:56.000]  安頓好之後
[00:00:56.000 --> 00:00:58.000]  寫了一封信
[00:00:58.000 --> 00:01:00.000]  寫了一封電郵給太太
[00:01:00.000 --> 00:01:02.000]  報平安
[00:01:02.000 --> 00:01:04.000]  這是一般夫妻都會做的
[00:01:04.000 --> 00:01:06.000]  一個很基本的行動
[00:01:06.000 --> 00:01:08.000]  於是他打開電腦
[00:01:08.000 --> 00:01:10.000]  到電郵寫了一封電郵給太太
[00:01:10.000 --> 00:01:12.000]  但同一天
[00:01:12.000 --> 00:01:14.000]  當他寫電郵的同一天
[00:01:14.000 --> 00:01:16.000]  有另一對夫婦
[00:01:16.000 --> 00:01:18.000]  另一對夫婦的丈夫
[00:01:18.000 --> 00:01:20.000]  幾天前剛離世
[00:01:20.000 --> 00:01:22.000]  死了
[00:01:22.000 --> 00:01:24.000]  亦在那天
[00:01:24.000 --> 00:01:26.000]  丈夫做安息禮拜
[00:01:26.000 --> 00:01:28.000]  所以全日的安息禮拜之後
[00:01:28.000 --> 00:01:30.000]  到傍晚時分
[00:01:30.000 --> 00:01:32.000]  太太帶著疲累的身軀
[00:01:32.000 --> 00:01:34.000]  回家
[00:01:34.000 --> 00:01:36.000]  很累
[00:01:36.000 --> 00:01:38.000]  因為丈夫剛剛離世
[00:01:38.000 --> 00:01:40.000]  亦完成了安息禮拜
[00:01:40.000 --> 00:01:42.000]  回家後
[00:01:42.000 --> 00:01:44.000]  打開電腦
[00:01:44.000 --> 00:01:46.000]  打算用電腦用電郵
[00:01:46.000 --> 00:01:48.000]  多謝那些曾經
[00:01:48.000 --> 00:01:50.000]  安息禮拜有幫助的
[00:01:50.000 --> 00:01:52.000]  有幫忙的親朋戚友
[00:01:52.000 --> 00:01:54.000]  多謝他們
[00:01:54.000 --> 00:01:56.000]  或者看看
[00:01:56.000 --> 00:01:58.000]  有沒有一些朋友
[00:01:58.000 --> 00:02:00.000]  當天沒有空
[00:02:00.000 --> 00:02:02.000]  可能有些電郵
[00:02:02.000 --> 00:02:04.000]  慰問的電郵
[00:02:04.000 --> 00:02:06.000]  這些都是人之常情
[00:02:06.000 --> 00:02:08.000]  於是他打開電腦
[00:02:08.000 --> 00:02:10.000]  到電郵
[00:02:10.000 --> 00:02:12.000]  一打開一封電郵
[00:02:12.000 --> 00:02:14.000]  一看就大叫一聲
[00:02:14.000 --> 00:02:16.000]  然後暈倒了
[00:02:16.000 --> 00:02:18.000]  暈倒在地上
[00:02:18.000 --> 00:02:20.000]  他長大了
[00:02:20.000 --> 00:02:22.000]  大叫一聲
[00:02:22.000 --> 00:02:24.000]  不知道他暈倒了
[00:02:24.000 --> 00:02:26.000]  為何媽媽暈倒了
[00:02:26.000 --> 00:02:28.000]  究竟他看了甚麼
[00:02:28.000 --> 00:02:30.000]  於是他到電腦
[00:02:30.000 --> 00:02:32.000]  看回這封電郵
[00:02:32.000 --> 00:02:34.000]  這封電郵
[00:02:34.000 --> 00:02:36.000]  我們通常有to
[00:02:36.000 --> 00:02:38.000]  from
[00:02:38.000 --> 00:02:40.000]  給誰寫
[00:02:40.000 --> 00:02:42.000]  和主題是甚麼
[00:02:42.000 --> 00:02:44.000]  他看這封電郵
[00:02:44.000 --> 00:02:46.000]  to my loving wife
[00:02:46.000 --> 00:02:48.000]  我所愛的太太
[00:02:48.000 --> 00:02:50.000]  from what
[00:02:50.000 --> 00:02:52.000]  your departed husband
[00:02:52.000 --> 00:02:54.000]  剛剛離開的丈夫
[00:02:54.000 --> 00:02:56.000]  下面的主題是
[00:02:56.000 --> 00:02:58.000]  I've arrived
[00:02:58.000 --> 00:03:00.000]  我剛剛到了
[00:03:00.000 --> 00:03:02.000]  然後下面寫
[00:03:02.000 --> 00:03:04.000]  I have just arrived
[00:03:04.000 --> 00:03:06.000]  and have been checked in
[00:03:06.000 --> 00:03:08.000]  我剛剛到了已經進去了
[00:03:08.000 --> 00:03:10.000]  Everything went very smoothly
[00:03:10.000 --> 00:03:12.000]  每件事都很順利
[00:03:12.000 --> 00:03:14.000]  after my departure
[00:03:14.000 --> 00:03:16.000]  我離開之後很順利
[00:03:16.000 --> 00:03:18.000]  and also verified
[00:03:18.000 --> 00:03:20.000]  that everything has been prepared
[00:03:20.000 --> 00:03:22.000]  for your arrival tomorrow
[00:03:22.000 --> 00:03:24.000]  他說我已經核實了
[00:03:24.000 --> 00:03:26.000]  所有的資料
[00:03:26.000 --> 00:03:28.000]  幫你核實了所有的資料
[00:03:28.000 --> 00:03:30.000]  為你明天的預備
[00:03:30.000 --> 00:03:32.000]  明天你來到我當中
[00:03:32.000 --> 00:03:34.000]  looking forward to seeing you then
[00:03:34.000 --> 00:03:36.000]  我很渴望能夠見到你
[00:03:36.000 --> 00:03:38.000]  然後下面就說
[00:03:38.000 --> 00:03:40.000]  Hope your journey is as eventful as mine
[00:03:40.000 --> 00:03:42.000]  他說希望你的旅程
[00:03:42.000 --> 00:03:44.000]  和我一樣平靜無事
[00:03:44.000 --> 00:03:46.000]  下面有個PS
[00:03:46.000 --> 00:03:48.000]  It sure is hot down here
[00:03:48.000 --> 00:03:50.000]  他說下面真的很熱
[00:03:50.000 --> 00:03:52.000]  (笑聲)
[00:03:52.000 --> 00:03:54.000]  原來
[00:03:54.000 --> 00:03:56.000]  那個丈夫寫的電郵給太太
[00:03:56.000 --> 00:03:58.000]  電郵的地址
[00:03:58.000 --> 00:04:00.000]  寫少一個英文字
[00:04:00.000 --> 00:04:02.000]  寄了去另一個太太那裡
[00:04:02.000 --> 00:04:04.000]  人生可能就是這樣
[00:04:04.000 --> 00:04:06.000]  有時一個時空的交錯
[00:04:06.000 --> 00:04:08.000]  會帶來很多的誤會
[00:04:08.000 --> 00:04:10.000]  今天這個世代
[00:04:10.000 --> 00:04:12.000]  很多的科技很厲害
