
[00:00:00.000 --> 00:00:04.000]  請姐妹平安 讓我們一同禱告
[00:00:04.000 --> 00:00:09.000]  我們感謝親愛天父賜給我們生命氣息
[00:00:09.000 --> 00:00:13.000]  讓我們今天可以自由的
[00:00:13.000 --> 00:00:17.000]  亦都是有健康、有平安回到你的家中
[00:00:17.000 --> 00:00:19.000]  一同來敬拜你
[00:00:19.000 --> 00:00:22.000]  你既然這樣賜恩給我們
[00:00:22.000 --> 00:00:28.000]  就願我們以我們的生命獻上來作為回應
[00:00:28.000 --> 00:00:32.000]  願我們每一次的聚集在你面前蒙你的月亮
[00:00:32.000 --> 00:00:37.000]  我們求主叫我們珍惜你所給我們的機會
[00:00:37.000 --> 00:00:40.000]  珍惜你給我們的時間
[00:00:40.000 --> 00:00:43.000]  我們為了今天早上我們剛才唱的詩歌
[00:00:43.000 --> 00:00:45.000]  我們向你獻上來敬拜
[00:00:45.000 --> 00:00:48.000]  以下時間我們打開你的話語
[00:00:48.000 --> 00:00:50.000]  要學習你自己的心意
[00:00:50.000 --> 00:00:53.000]  你自己的教導
[00:00:53.000 --> 00:00:55.000]  願你賜福給我們
[00:00:55.000 --> 00:00:58.000]  讓我們傳授一個受教的心去領受
[00:00:58.000 --> 00:01:01.000]  並且靠你恩典去進行
[00:01:01.000 --> 00:01:03.000]  我們同心合意祈禱等候
[00:01:03.000 --> 00:01:06.000]  奉賴耶穌基督得性命求
[00:01:06.000 --> 00:01:07.000]  阿門
[00:01:07.000 --> 00:01:09.000]  很感謝主
[00:01:09.000 --> 00:01:12.000]  我們今天叫做「張臨節期」
[00:01:12.000 --> 00:01:15.000]  在今早的課堂來講的時候
[00:01:15.000 --> 00:01:17.000]  還沒有好好看節目表
[00:01:17.000 --> 00:01:20.000]  原來在我們的程序表的封面
[00:01:20.000 --> 00:01:25.000]  呂牧師都寫了張臨期的意義
[00:01:25.000 --> 00:01:30.000]  張臨期是在最後五世紀的時候
[00:01:30.000 --> 00:01:35.000]  教會傳統開始就有這個慶祝
[00:01:35.000 --> 00:01:41.000]  後來多數是西方教會或禮儀教會會採用
[00:01:41.000 --> 00:01:44.000]  為什麼叫做張臨期呢
[00:01:44.000 --> 00:01:47.000]  顧名思義張臨即是再來臨
[00:01:47.000 --> 00:01:53.000]  就是在每年的聖誕節前夕結束
[00:01:53.000 --> 00:01:55.000]  然後數四個主日
[00:01:55.000 --> 00:01:58.000]  那四個主日就叫做張臨期主日
[00:01:58.000 --> 00:02:04.000]  今年的聖誕前夕就是12月24日
