
[00:00:00.000 --> 00:00:04.760]  上個星期我們就看到神的愛怎麼能如此
[00:00:04.760 --> 00:00:06.000]  記不記得這首歌
[00:00:06.000 --> 00:00:08.400]  我們是一個罪人 但是神竟然愛我們
[00:00:08.400 --> 00:00:12.720]  那個愛還是要將耶穌基督為我們來到這個世界
[00:00:12.720 --> 00:00:14.260]  為我們死
[00:00:14.260 --> 00:00:16.720]  還有神的愛是很痛苦的
[00:00:16.720 --> 00:00:18.720]  因為祂經常都單戀
[00:00:18.720 --> 00:00:20.720]  祂很愛我們
[00:00:20.720 --> 00:00:23.460]  但是有時候我們利用祂多過愛祂
[00:00:23.460 --> 00:00:26.520]  我們對神的愛不是這麼深厚
[00:00:26.520 --> 00:00:29.520]  和神的愛是有很大的相距
[00:00:29.520 --> 00:00:33.260]  但是神仍然用不捨不棄的愛愛我們
[00:00:33.260 --> 00:00:34.760]  正如耶利米書說
[00:00:34.760 --> 00:00:36.760]  我要耀永遠的愛愛你
[00:00:36.760 --> 00:00:39.560]  好了 神的愛是我們很熟悉的
[00:00:39.560 --> 00:00:44.260]  而我們基督徒又怎樣去實踐神的愛呢?
[00:00:44.260 --> 00:00:47.260]  所以今天會和大家一起去查一查
[00:00:47.260 --> 00:00:50.260]  我們基督徒應該怎樣去實踐神的愛
[00:00:50.260 --> 00:00:53.260]  我們基督徒的表徵
[00:00:53.260 --> 00:00:56.020]  不只是一齊去敬拜
[00:00:56.020 --> 00:01:01.020]  或者穿一件有教會標誌的衣服
[00:01:01.020 --> 00:01:05.260]  又或者去背十字架
[00:01:05.260 --> 00:01:08.260]  下一章 PowerPoint 我就按不了
[00:01:08.260 --> 00:01:12.260]  就是《約翰福音》第14章第15節
[00:01:12.260 --> 00:01:14.260]  主耶穌說 你們若愛我
[00:01:14.260 --> 00:01:17.260]  就必遵守我的命令
[00:01:17.260 --> 00:01:18.760]  如果你愛一個人
[00:01:18.760 --> 00:01:22.760]  你當然不想違背他良善的心意
[00:01:22.760 --> 00:01:26.760]  你應該會聽他的心意而行
[00:01:26.760 --> 00:01:29.260]  主耶穌說 如果你愛我
[00:01:29.260 --> 00:01:31.260]  你就會遵守我的命令
[00:01:31.260 --> 00:01:33.760]  耶穌基督的命令是什麼呢?
[00:01:33.760 --> 00:01:35.260]  我們很熟悉的
[00:01:35.260 --> 00:01:37.760]  下一章 PowerPoint 就會展示出來
[00:01:37.760 --> 00:01:39.760]  大家就會看到
[00:01:39.760 --> 00:01:42.260]  你們要彼此相愛
[00:01:42.260 --> 00:01:43.760]  像我愛你們一樣
[00:01:43.760 --> 00:01:45.760]  這就是我的命令
[00:01:45.760 --> 00:01:47.760]  我們很熟悉的經文
