
[00:00:00.000 --> 00:00:03.400]  各位弟兄姊妹平安 各位朋友平安
[00:00:03.400 --> 00:00:14.160]  在聖經當我們去看有關主耶穌基督的真理的時候
[00:00:14.160 --> 00:00:16.520]  其中一樣很重要的是在《以弗所書》
[00:00:16.520 --> 00:00:21.640]  其實整本書都講到有關合一的事情
[00:00:21.640 --> 00:00:24.520]  《以弗所》在哪裏?
[00:00:27.600 --> 00:00:30.120]  《以弗所》是一個地區、一個城市
[00:00:30.120 --> 00:00:34.960]  然後這本書看的時候沒有特定的指定人物
[00:00:34.960 --> 00:00:38.600]  保羅要去問安、問好
[00:00:38.600 --> 00:00:43.640]  但是很清楚地說是奉主旨意的保羅寫信
[00:00:43.640 --> 00:00:46.280]  給《以弗所》的眾聖徒
[00:00:46.280 --> 00:00:48.520]  包括這封信
[00:00:48.520 --> 00:00:53.400]  一般會相信是在《以弗所》地區不同的教會傳閱
[00:00:55.880 --> 00:00:59.400]  保羅講到有關合一的時候
[00:00:59.400 --> 00:01:04.320]  在二章第十節作為今天的引言
[00:01:04.320 --> 00:01:10.560]  他說我們是他所做之物
[00:01:10.560 --> 00:01:12.800]  在基督耶穌裏面所創造的
[00:01:12.800 --> 00:01:16.040]  為要使我們行善
[00:01:16.040 --> 00:01:19.280]  這是神早已預備好要我們做的
[00:01:19.280 --> 00:01:21.080]  其實這個很重要
[00:01:21.080 --> 00:01:23.480]  對我們作為一個基督徒的身份
[00:01:25.080 --> 00:01:26.400]  你和我做的事情不一樣
[00:01:26.400 --> 00:01:28.400]  原來每個人在神的裏面都很獨特
[00:01:28.400 --> 00:01:32.040]  這裏說我們是他所做之物
[00:01:32.040 --> 00:01:41.720]  如果在引言裏說我們完事他的工作
[00:01:41.720 --> 00:01:44.280]  有些聖經的翻譯
[00:01:44.280 --> 00:01:48.160]  我們完事他的創作
[00:01:48.160 --> 00:01:51.160]  神創作
[00:01:51.160 --> 00:01:53.320]  再清楚、仔細一點
[00:01:53.720 --> 00:01:57.280]  就是說我們完事他的傑作
[00:01:57.280 --> 00:02:02.560]  你和我都是在神的裏面所創造的
[00:02:02.560 --> 00:02:04.720]  我們是神的藝術品
[00:02:04.720 --> 00:02:06.720]  Workmanship
[00:02:06.720 --> 00:02:09.960]  我們就很清楚
[00:02:09.960 --> 00:02:12.560]  原來在我們的生命裏面
[00:02:12.560 --> 00:02:16.440]  本來我們就是神所做
[00:02:16.440 --> 00:02:18.880]  不過
[00:02:18.880 --> 00:02:22.040]  所以在十一節開始
[00:02:22.040 --> 00:02:25.680]  大部份解經家都是由十一節、二十節作為一段
[00:02:25.680 --> 00:02:31.360]  所以之前我們要看回第十節
[00:02:31.360 --> 00:02:34.160]  然後提醒我們
[00:02:34.160 --> 00:02:37.120]  人都是沒有記性的
[00:02:37.120 --> 00:02:38.920]  日至一九院就沒有記性的
[00:02:38.920 --> 00:02:39.800]  第十一節
[00:02:39.800 --> 00:02:42.400]  你們要記得
[00:02:42.400 --> 00:02:48.760]  說到一班猶太人在一個處境裏面
[00:02:50.480 --> 00:02:52.760]  從前你們按肉體是外邦人
[00:02:52.760 --> 00:02:55.720]  未信的人按肉體他們是外邦人
[00:02:55.720 --> 00:02:56.280]  為什麼呢?
[00:02:56.280 --> 00:02:58.520]  因為猶太人是受國禮的
[00:02:58.520 --> 00:03:00.280]  外邦人是不受國禮的
[00:03:00.280 --> 00:03:07.560]  這個名詞是憑那些人手在肉身上受國禮的人所取的
[00:03:07.560 --> 00:03:09.280]  為什麼要稱外邦人呢?
[00:03:09.280 --> 00:03:10.520]  就是猶太人說
[00:03:10.520 --> 00:03:15.160]  不是屬於神的人就做外邦人
[00:03:15.160 --> 00:03:19.200]  在那裏去說
[00:03:19.200 --> 00:03:21.640]  其實外邦人也好,猶太人也好
[00:03:21.640 --> 00:03:25.080]  其實是互相嘲弄對方
[00:03:25.080 --> 00:03:27.840]  要記得那個時候
[00:03:27.840 --> 00:03:32.120]  你們與基督無關
[00:03:32.120 --> 00:03:35.360]  與以色列的選民團體隔絕
[00:03:35.360 --> 00:03:38.640]  在應許的約上是局外人
[00:03:38.640 --> 00:03:41.440]  在世上沒有子母,沒有神
[00:03:41.440 --> 00:03:45.400]  外邦人就是五毛
[00:03:48.040 --> 00:03:51.120]  他們沒有耶穌基督
[00:03:51.120 --> 00:03:54.120]  他們沒有一個國籍的身份
[00:03:54.120 --> 00:03:57.920]  對猶太人和他們的關係來說
[00:03:57.920 --> 00:04:00.320]  他們可以說是沒有朋友
[00:04:00.320 --> 00:04:03.080]  他們沒有希望
[00:04:03.080 --> 00:04:06.120]  也沒有真實
[00:04:06.120 --> 00:04:11.880]  是在說一群不認識神的人
[00:04:11.880 --> 00:04:14.960]  國禮是什麼?
[00:04:16.960 --> 00:04:20.080]  大家讀聖經應該知道查考過國禮是什麼事
[00:04:20.080 --> 00:04:23.960]  年輕人知不知道?
[00:04:23.960 --> 00:04:25.560]  如果你讀聖經不是讀得很多
[00:04:25.560 --> 00:04:26.480]  什麼是國禮?
[00:04:26.480 --> 00:04:29.560]  國禮就是猶太人
[00:04:29.560 --> 00:04:36.960]  與神直接在阿伯拉罕開始所立的一個約
[00:04:36.960 --> 00:04:40.160]  是與神立約的一個記號
[00:04:41.240 --> 00:04:48.880]  這個記號就在男性的生殖器前端的一層皮割了
[00:04:48.880 --> 00:04:52.880]  就成為一個肉體上的記號
[00:04:52.880 --> 00:04:58.040]  名字是憑人手在肉體裏面受國禮的人所取
[00:04:58.040 --> 00:05:01.640]  這群猶太人就會說你們是外邦人
[00:05:01.640 --> 00:05:03.760]  因為你們沒有受過國禮
[00:05:03.760 --> 00:05:07.640]  因為你們沒有曾經與神有一個納約的記號
[00:05:07.640 --> 00:05:10.920]  這是一個表達
[00:05:12.240 --> 00:05:15.840]  所以外邦人就變成五毛
[00:05:15.840 --> 00:05:17.040]  他們不認識神
[00:05:17.040 --> 00:05:22.360]  沒有國籍、沒有朋友、隔絕、沒有希望、沒有神
[00:05:22.360 --> 00:05:24.040]  但是在十三節
[00:05:24.040 --> 00:05:28.480]  十三節說:從前你們這些遠離神的人
[00:05:28.480 --> 00:05:33.080]  如今在基督耶穌裏靠著祂的血已經得以親近
[00:05:33.080 --> 00:05:38.560]  從前你們就是外邦人不認識神、遠離神
[00:05:38.560 --> 00:05:41.360]  今天因著主耶穌基督
