
[00:00:00.000 --> 00:00:04.060]  很高興來到當中跟大家分享神的話語
[00:00:04.060 --> 00:00:06.820]  很欣賞教會
[00:00:06.820 --> 00:00:10.940]  因為教會經卷式的來大爺查考
[00:00:10.940 --> 00:00:13.460]  現在正在查尼西米記
[00:00:13.460 --> 00:00:20.620]  教會叫我來大爺講尼西米記第十二章二十七到四十七節
[00:00:20.620 --> 00:00:27.260]  我自己今日的題目叫做「功成身盡」
[00:00:27.260 --> 00:00:31.100]  你留意到不是「功成身退」而是「身救個身」
[00:00:31.100 --> 00:00:34.340]  我自己過去在美人塘墓會時
[00:00:34.340 --> 00:00:36.580]  都是經卷式的來大爺去講道
[00:00:36.580 --> 00:00:39.220]  一個系列讓大家對聖經熟悉很多
[00:00:39.220 --> 00:00:41.220]  但有些經文我會跳掉
[00:00:41.220 --> 00:00:42.660]  很簡單舉個例
[00:00:42.660 --> 00:00:45.860]  歷代誌第一到第九章全部都是人名
[00:00:45.860 --> 00:00:49.500]  除非你懷孕就想跟小朋友取個名字
[00:00:49.500 --> 00:00:51.260]  你才會看那些名字
[00:00:51.260 --> 00:00:53.900]  否則你一定不會說 會跳掉
[00:00:53.900 --> 00:00:56.820]  第十二章已經差不多完結
[00:00:56.820 --> 00:00:59.140]  第十三章很刺激
[00:00:59.140 --> 00:01:01.140]  我很喜歡這章聖經
[00:01:01.140 --> 00:01:02.660]  我很欣賞尼西米
[00:01:02.660 --> 00:01:04.660]  大家知不知道第十三章講什麼?
[00:01:04.660 --> 00:01:06.660]  你還未去看
[00:01:06.660 --> 00:01:10.700]  尼西米發覺有些宗教人士私相授受
[00:01:10.700 --> 00:01:16.420]  將應該奉獻給神的禮物的地方給了別人來居住
[00:01:16.420 --> 00:01:17.660]  尼西米很憤怒
[00:01:17.660 --> 00:01:18.900]  進去家中做什麼?
[00:01:18.900 --> 00:01:20.900]  扔傢俬走
[00:01:20.900 --> 00:01:23.540]  罵他們:你搞什麼?
[00:01:23.540 --> 00:01:28.940]  還有那些權貴違反神的命令
[00:01:28.940 --> 00:01:32.460]  在安息日去尼西米做生意
[00:01:32.460 --> 00:01:34.860]  尼西米不畏強權
[00:01:34.860 --> 00:01:36.860]  指責這些權貴
[00:01:36.860 --> 00:01:37.860]  還有
[00:01:37.860 --> 00:01:39.860]  很酷
[00:01:39.860 --> 00:01:42.500]  尼西米竟然打那些人
[00:01:42.500 --> 00:01:44.500]  拔他們的頭髮
[00:01:44.500 --> 00:01:45.820]  是不是很恐怖?
[00:01:45.820 --> 00:01:46.980]  下星期一定要回來聽
[00:01:46.980 --> 00:01:47.980]  不過不是我講
[00:01:47.980 --> 00:01:49.980]  應該是講這一章
[00:01:49.980 --> 00:01:54.060]  但是神有沒有罵尼西米覺得他暴戾呢?
[00:01:54.060 --> 00:01:56.060]  沒有的
[00:01:56.060 --> 00:01:59.420]  因為他是為神的緣故
[00:01:59.420 --> 00:02:02.780]  為被剝削的人來有法而勞
[00:02:02.780 --> 00:02:08.900]  所以不要想著基督徒一定要很溫文爾雅
[00:02:08.900 --> 00:02:11.900]  說話很溫柔
[00:02:11.900 --> 00:02:13.340]  你好啊
[00:02:13.340 --> 00:02:15.340]  和稀泥那樣
[00:02:15.340 --> 00:02:16.460]  你見到耶穌基督
[00:02:16.460 --> 00:02:17.820]  見到聖殿
[00:02:17.820 --> 00:02:19.540]  那些人在那裡販賣牛羊
[00:02:19.540 --> 00:02:22.340]  尼西米令外邦人不能敬拜神
[00:02:22.340 --> 00:02:24.340]  耶穌在做什麼呢?
[00:02:24.340 --> 00:02:26.340]  他是把桌子推倒
[00:02:26.340 --> 00:02:28.340]  然後用承天作鞭子
[00:02:28.340 --> 00:02:29.540]  發牛羊出去
[00:02:29.540 --> 00:02:31.140]  你記住是發牛羊
[00:02:31.140 --> 00:02:32.620]  不是發人
[00:02:32.620 --> 00:02:34.060]  然後去指責他們
[00:02:34.060 --> 00:02:36.580]  所以尼西米是可以生氣的
[00:02:36.580 --> 00:02:39.060]  這一章聖經
[00:02:39.060 --> 00:02:40.500]  我是很喜歡的
[00:02:40.500 --> 00:02:44.100]  但是今天要我講的十二章二十七到四十七
[00:02:44.100 --> 00:02:46.340]  對我來說是一個很大的挑戰
[00:02:46.340 --> 00:02:48.500]  但是我又要去信服
[00:02:48.500 --> 00:02:51.780]  因為大家知不知道這章聖經是說什麼的
[00:02:51.780 --> 00:02:53.140]  一會兒我們會看到
[00:02:53.140 --> 00:02:54.500]  就是他們成功了
[00:02:54.500 --> 00:02:56.500]  於是他們有一個奉獻禮
[00:02:56.500 --> 00:02:58.500]  全部都是記載了人名
[00:02:58.500 --> 00:03:00.500]  那些惡氣
[00:03:00.500 --> 00:03:02.100]  一個行左一個行右
[00:03:02.100 --> 00:03:03.100]  這樣就是說話了
[00:03:03.100 --> 00:03:05.740]  那我要怎麼說呢?
[00:03:05.740 --> 00:03:09.700]  但是我自己都在神面前來禱告
[00:03:09.700 --> 00:03:10.900]  求神來幫助
