
[00:00:00.000 --> 00:00:09.000]  不知道大家覺不覺得今早的講題有些繞口 有些累贅
[00:00:09.000 --> 00:00:13.000]  明明就這樣講 上上起落就可以了 是不是
[00:00:13.000 --> 00:00:17.000]  為什麼又要加上再八十呢
[00:00:17.000 --> 00:00:22.000]  有原因的 原因也是很簡單
[00:00:22.000 --> 00:00:29.000]  就是很希望我們在紀念教會立會的八十週年的時候
[00:00:29.000 --> 00:00:37.000]  我們大家互來互免在這一段的經文裏面去學習功課
[00:00:37.000 --> 00:00:43.000]  學習四個的功課 而今天是學習其中的第一個
[00:00:43.000 --> 00:00:46.000]  在剛才我們所讀過的經文裏面
[00:00:46.000 --> 00:00:52.000]  我們可以很清楚的看到有四個的功課我們可以去學習
[00:00:52.000 --> 00:01:01.000]  上上起落 筆著的禱告 凡事借因 第四個 遵行神旨
[00:01:01.000 --> 00:01:08.000]  很希望在今年的八十週年我們一方面來數算主因
[00:01:08.000 --> 00:01:12.000]  紀念到神的大愛大恩 也都讓我們在當中
[00:01:12.000 --> 00:01:16.000]  在神的話語裏面我們互勵互勉去操練
[00:01:16.000 --> 00:01:22.000]  去讓我們基督徒的生命活出聖經裏面對我們的教導
[00:01:22.000 --> 00:01:27.000]  而其中我們在這一段的經文裏面就看到
[00:01:27.000 --> 00:01:32.000]  我們可以學的第一個的功課就是上上起落
[00:01:32.000 --> 00:01:37.000]  因為保羅在這裏很清楚的告訴教會弟兄姊妹
[00:01:37.000 --> 00:01:41.000]  去鼓勵他們 去提醒他們
[00:01:41.000 --> 00:01:47.000]  神對我們基督徒的旨意是要上上起落
[00:01:47.000 --> 00:01:52.000]  所以我們今天早上就是願意在當中彼此去勉勵
[00:01:52.000 --> 00:01:55.000]  一齊去學習這個功課
[00:01:55.000 --> 00:02:00.000]  相信在我們中間我們都常常講這個起落
[00:02:00.000 --> 00:02:03.000]  有時候有人說你起落 有時候你又說人起落
[00:02:03.000 --> 00:02:05.000]  說基督徒是歡歡喜喜的
[00:02:05.000 --> 00:02:08.000]  這個都是常講 常講都是好的
[00:02:08.000 --> 00:02:11.000]  不過當我們講的時候
[00:02:11.000 --> 00:02:15.000]  其實我們明明我們所講的是什麼
[00:02:15.000 --> 00:02:18.000]  這些是我們教會裏頭的術語 是不是
[00:02:18.000 --> 00:02:20.000]  是屬靈的術語來的
[00:02:20.000 --> 00:02:23.000]  我們都講 但是講著講著
[00:02:23.000 --> 00:02:26.000]  我們會不會都開始有些是失落了
[00:02:26.000 --> 00:02:28.000]  不是太掌握呢
[00:02:28.000 --> 00:02:31.000]  所以今天我們希望能夠回到聖經裏面
[00:02:31.000 --> 00:02:35.000]  對起落這方面多些的認識
[00:02:35.000 --> 00:02:42.000]  生命是什麼 和基督徒怎樣去上上的起落
[00:02:42.000 --> 00:02:44.000]  讓我們首先知道一件事
[00:02:44.000 --> 00:02:46.000]  當我們有機會看聖經的時候
[00:02:46.000 --> 00:02:49.000]  你會發現初期教會的基督徒
[00:02:49.000 --> 00:02:53.000]  或者教會整體是充滿了起落的
[00:02:53.000 --> 00:02:56.000]  是有一個起落的標誌的
[00:02:56.000 --> 00:02:58.000]  是有一個這樣的記號的
[00:02:58.000 --> 00:03:02.000]  讓我們看到這班人是這樣的
[00:03:02.000 --> 00:03:05.000]  我們看回一些聖經
[00:03:05.000 --> 00:03:08.000]  譬如在馬太福音的28章裏面
[00:03:08.000 --> 00:03:10.000]  就講到那些婦女
[00:03:10.000 --> 00:03:13.000]  當她們見到耶穌復活了
[00:03:13.000 --> 00:03:16.000]  聖經就說她們是大大的歡喜
[00:03:16.000 --> 00:03:20.000]  然後很快的就走去告訴門徒子 使徒子
