
[00:00:00.000 --> 00:00:02.240]  美國有一間教會
[00:00:02.240 --> 00:00:05.240]  他的使命宣言是很特別的
[00:00:05.240 --> 00:00:06.440]  我很喜歡
[00:00:06.440 --> 00:00:11.700]  他說「幫助人們在耶穌裡找到快樂」
[00:00:11.700 --> 00:00:15.340]  「幫助人在耶穌裡找到快樂」
[00:00:15.340 --> 00:00:17.400]  這個真是有意思
[00:00:17.400 --> 00:00:20.520]  因為全世界每個人都想找快樂
[00:00:20.520 --> 00:00:24.140]  十七世紀有一個很聰明的人
[00:00:24.140 --> 00:00:27.660]  他的名字叫做Brace Pascal
[00:00:27.740 --> 00:00:31.120]  你中學讀的Pascal Law有誰還記得?
[00:00:31.120 --> 00:00:33.160]  如果你在中學讀的就記得
[00:00:33.160 --> 00:00:34.600]  其他的可能不記得
[00:00:34.600 --> 00:00:36.460]  就是他寫的
[00:00:36.460 --> 00:00:38.440]  這位科學家也很厲害
[00:00:38.440 --> 00:00:40.180]  他有很多東西
[00:00:40.180 --> 00:00:44.520]  就算是calculating machine的概念也是他想出來的
[00:00:44.520 --> 00:00:46.960]  他不單止是一個很厲害的科學家
[00:00:46.960 --> 00:00:49.820]  他也是一個神學家和哲學家
[00:00:49.820 --> 00:00:51.320]  他講到快樂
[00:00:51.320 --> 00:00:56.240]  他說「所有人都尋找快樂,無一例外」
[00:00:56.240 --> 00:01:00.520]  「有些人因為想快樂而發動戰爭」
[00:01:00.520 --> 00:01:04.220]  「有些人就因為想快樂而逃避戰爭」
[00:01:04.220 --> 00:01:07.380]  「無論他們用什麼不同的手段」
[00:01:07.380 --> 00:01:10.760]  「都是朝向這個目標,就是尋找快樂」
[00:01:10.760 --> 00:01:20.360]  另一位就是蘇格蘭的神學家和牧師Thomas Boston
[00:01:20.360 --> 00:01:23.200]  他也說人是什麼呢?
[00:01:23.200 --> 00:01:25.840]  他是一個渴望快樂的生物
[00:01:25.840 --> 00:01:28.440]  而且不能夠不渴望
[00:01:28.440 --> 00:01:30.800]  就好像呼吸一樣自然
[00:01:30.800 --> 00:01:35.160]  每一口呼吸是很自然的
[00:01:35.160 --> 00:01:36.280]  你不可以不呼吸
[00:01:36.280 --> 00:01:39.360]  我們的心裡面都很想快樂
[00:01:39.360 --> 00:01:45.240]  甚至現在現代的哲學家和心理學家都承認這個事實
[00:01:45.240 --> 00:01:52.240]  有一位很出名的心理治療師叫做Nancy Collier
[00:01:52.240 --> 00:01:57.200]  他說「我們的生活是一場無休止的尋找」
[00:01:57.200 --> 00:02:00.720]  「是要尋找我們稱為快樂這件事」
[00:02:00.720 --> 00:02:05.440]  「我們不斷地去得到它,又失去了它,一次又一次」
[00:02:05.440 --> 00:02:08.520]  「永久的快樂是我們一生的目標」
[00:02:08.520 --> 00:02:11.880]  「但是我們永遠得不到這個目標」
[00:02:11.880 --> 00:02:18.360]  為什麼人類追求快樂呢?
[00:02:18.360 --> 00:02:22.920]  因為上帝創造我們,是要我們快樂的
[00:02:22.920 --> 00:02:26.680]  上帝創造我們,是要你永遠快樂的
[00:02:26.680 --> 00:02:31.960]  有一個很重要的文章
[00:02:31.960 --> 00:02:39.960]  叫做《西敏斯特小要理問答》
[00:02:39.960 --> 00:02:44.360]  這是把整個基督教的教義濃縮起來
[00:02:44.360 --> 00:02:45.800]  用問答方式
[00:02:45.800 --> 00:02:49.160]  第一條,人的主要目的是什麼呢?
[00:02:49.160 --> 00:02:50.760]  人的主要目的就是快樂
[00:02:50.760 --> 00:02:53.800]  是要永耀神,而且永遠享受祂
[00:02:53.800 --> 00:02:55.160]  Enjoy God
[00:02:55.160 --> 00:02:57.400]  人的主要目的就是要Enjoy
[00:02:57.400 --> 00:02:58.520]  而且Enjoy God
[00:02:58.520 --> 00:03:00.360]  而且要永遠Enjoy祂
