
[00:00:00.000 --> 00:00:06.000]  那麼今天我們會繼續活在水深火熱中講道系列的第四堂
[00:00:06.000 --> 00:00:10.000]  在這個系列的第一堂的時候也跟大家分享過
[00:00:10.000 --> 00:00:13.000]  人生在世基本上有三種處世的態度
[00:00:13.000 --> 00:00:16.000]  第一種就是隨波逐流
[00:00:16.000 --> 00:00:19.000]  就是無論這世界給我什麼樣的價值觀
[00:00:19.000 --> 00:00:23.000]  有什麼的潮流讓我就照跟呢
[00:00:23.000 --> 00:00:25.000]  很多人年輕的時候其實很有理想
[00:00:25.000 --> 00:00:27.000]  覺得這世界應該是怎麼樣的
[00:00:27.000 --> 00:00:32.000]  可是當你出到社會發現這社會跟你理想中好像很不一樣的時候
[00:00:32.000 --> 00:00:36.000]  很多時候久而久之我們就會慢慢有些的妥協
[00:00:36.000 --> 00:00:37.000]  那慢慢就算了吧
[00:00:37.000 --> 00:00:40.000]  反正我也改變不了這世界
[00:00:40.000 --> 00:00:43.000]  那乾脆就隨波逐流我也比較輕鬆一點
[00:00:43.000 --> 00:00:47.000]  那第二種處世的態度就是獨善其身了
[00:00:47.000 --> 00:00:50.000]  就是我非常看不慣這世界很多的東西
[00:00:50.000 --> 00:00:58.000]  無論是同性戀合法還是你們的環境污染、霧霾很多很多的東西
[00:00:58.000 --> 00:01:01.000]  但無論你怎麼搞不關我的事
[00:01:01.000 --> 00:01:04.000]  因爲我只要找一個隱居
[00:01:04.000 --> 00:01:07.000]  我就找一個比較偏遠的地方過我的小日子
[00:01:07.000 --> 00:01:08.000]  我就敬報我的上帝
[00:01:08.000 --> 00:01:10.000]  那大概就是這樣子
[00:01:10.000 --> 00:01:12.000]  有些隱居分兩種
[00:01:12.000 --> 00:01:15.000]  一種是你真的是隱居,隱到山上去
[00:01:15.000 --> 00:01:17.000]  有一種是隱在都市裏面
[00:01:17.000 --> 00:01:20.000]  你可以生活在都市裏面
[00:01:20.000 --> 00:01:22.000]  可是你完全不關心身邊的事情
[00:01:22.000 --> 00:01:24.000]  就是什麼股市崩盤啊
[00:01:24.000 --> 00:01:26.000]  什麼天津爆炸啊
[00:01:26.000 --> 00:01:27.000]  我什麼新聞都不看
[00:01:27.000 --> 00:01:29.000]  這世界發生什麼事我不管
[00:01:29.000 --> 00:01:30.000]  我獨善其身
[00:01:30.000 --> 00:01:32.000]  我管好自己就好
[00:01:32.000 --> 00:01:35.000]  所以這是第二種處世的態度
[00:01:35.000 --> 00:01:39.000]  那麼第三種就是聖經給我們的一種處世的態度
[00:01:39.000 --> 00:01:44.000]  那就是首先你先從神那邊領受神給你很多的祝福
[00:01:44.000 --> 00:01:46.000]  有一個新的生命
[00:01:46.000 --> 00:01:48.000]  然後你再用這種祝福
[00:01:48.000 --> 00:01:52.000]  去讓別人也得到從神而來的福氣
[00:01:52.000 --> 00:01:55.000]  那麼這種就是聖經給我們的一種處世的態度
