
[00:00:00.000 --> 00:00:02.800]  弟兄姊妹 主耶穌復活了
[00:00:02.800 --> 00:00:05.460]  但是對你
[00:00:05.460 --> 00:00:07.460]  有什麼關係呢
[00:00:07.460 --> 00:00:11.060]  我聽主耶穌基督復活的訊息
[00:00:11.060 --> 00:00:13.620]  從小就在這裡聽
[00:00:13.620 --> 00:00:16.880]  不過和我沒什麼關係
[00:00:16.880 --> 00:00:20.860]  直到我在大學二年級的時候
[00:00:20.860 --> 00:00:22.820]  我才發現有關係
[00:00:22.820 --> 00:00:26.540]  我在這裡成長
[00:00:27.560 --> 00:00:30.160]  大概到中五的時候 我問自己一個問題
[00:00:30.160 --> 00:00:34.800]  如果我不是生長在基督教家庭
[00:00:34.800 --> 00:00:37.420]  我生長在一個佛教的家庭
[00:00:37.420 --> 00:00:40.600]  我會不會相信佛教 成為一個佛教徒
[00:00:40.600 --> 00:00:44.660]  如果我生長在一個無神論者的家庭
[00:00:44.660 --> 00:00:47.740]  我會不會就是一個無神論者
[00:00:47.740 --> 00:00:52.820]  還是因為我生長在基督教的家庭
[00:00:52.820 --> 00:00:56.040]  一直在觀塘 潮人生命塘長大
[00:00:57.960 --> 00:00:59.560]  那我就成為基督徒了
[00:00:59.560 --> 00:01:01.640]  那什麼才是真理
[00:01:01.640 --> 00:01:04.860]  我問自己一個問題
[00:01:04.860 --> 00:01:06.760]  可能那時候是青少年
[00:01:06.760 --> 00:01:09.960]  反叛 很多事情在我思想
[00:01:09.960 --> 00:01:12.240]  但我沒有離開教會
[00:01:12.240 --> 00:01:14.280]  因為有兩件事
[00:01:14.280 --> 00:01:18.320]  深深地放在我心裡
[00:01:18.320 --> 00:01:19.360]  第一
[00:01:19.360 --> 00:01:24.120]  我縱然未必知道其他的宗教如何
[00:01:24.120 --> 00:01:25.800]  但我知道這個神
[00:01:25.800 --> 00:01:28.600]  在我過往這麼多年 十多年的年日裡
[00:01:28.600 --> 00:01:31.640]  事實上有因典 有我這個經歷過
[00:01:31.640 --> 00:01:34.720]  縱然我不知道是不是唯一的真理
[00:01:34.720 --> 00:01:36.560]  但至少我經驗過
[00:01:36.560 --> 00:01:38.160]  我不能否認
[00:01:38.160 --> 00:01:39.720]  第二件事
[00:01:39.720 --> 00:01:43.400]  這個群體有我所愛的弟兄姊妹
[00:01:43.400 --> 00:01:44.760]  他們都愛我
[00:01:44.760 --> 00:01:46.040]  因為這份愛
[00:01:46.040 --> 00:01:48.360]  我不可以離開這個屬靈的家
[00:01:48.360 --> 00:01:51.400]  縱然我不肯定這是不是唯一的真理
[00:01:51.400 --> 00:01:55.240]  這個問題放在我心裡很久了
[00:01:55.920 --> 00:01:57.760]  兜兜轉轉
[00:01:57.760 --> 00:02:00.000]  直至我大學二年級
[00:02:00.000 --> 00:02:02.440]  有一次跟一個師兄
[00:02:02.440 --> 00:02:04.880]  去向另一個
[00:02:04.880 --> 00:02:08.920]  師弟傳福音
[00:02:08.920 --> 00:02:13.120]  那個師兄傳福音的時候
[00:02:13.120 --> 00:02:16.640]  不知道是不是因為大家都是讀理科
[00:02:16.640 --> 00:02:18.840]  有很多辯論
[00:02:18.840 --> 00:02:21.560]  其中一種辯論就是
[00:02:21.560 --> 00:02:23.320]  主耶穌基督是不是真的復活
[00:02:23.320 --> 00:02:24.960]  我在旁邊聽
[00:02:25.920 --> 00:02:26.520]  我經常都在想
[00:02:26.520 --> 00:02:27.720]  這個跟
[00:02:27.720 --> 00:02:30.040]  跟福音有什麼特別的關係
[00:02:30.040 --> 00:02:32.480]  好像不是無緣無故的
[00:02:32.480 --> 00:02:33.840]  我在旁邊聽
[00:02:33.840 --> 00:02:37.440]  當這個師兄跟這個師弟
[00:02:37.440 --> 00:02:39.920]  在說主耶穌基督的復活是真實的
[00:02:39.920 --> 00:02:43.520]  跟他說有多少不同的可能性
[00:02:43.520 --> 00:02:44.720]  那些人怎樣去辯駁
[00:02:44.720 --> 00:02:46.840]  但都一一的被聖經
[00:02:46.840 --> 00:02:49.080]  被歷史學家怎樣一一的反駁
[00:02:49.080 --> 00:02:51.720]  以至主耶穌基督是真實復活了的時候
