
[00:00:00.000 --> 00:00:01.540]  請打開你的聖經
[00:00:01.540 --> 00:00:11.460]  打開希伯來書第二章第十節至第十一節
[00:00:11.460 --> 00:00:12.780]  請聽我讀出
[00:00:12.780 --> 00:00:16.400]  原來那爲萬物所屬 爲萬物所本
[00:00:16.400 --> 00:00:19.720]  要領許多的兒子進榮耀裏去
[00:00:19.720 --> 00:00:21.600]  使救他們的元帥
[00:00:21.600 --> 00:00:23.860]  因受苦難得以完全
[00:00:23.860 --> 00:00:33.840]  本是合而的 因那得以成性的 都是出於一
[00:00:33.840 --> 00:00:39.720]  所以他稱他們爲弟兄 也不以爲恥
[00:00:39.720 --> 00:00:42.160]  好 讓我們一起低頭的祈禱
[00:00:42.160 --> 00:00:44.220]  天父上帝我們感謝禰
[00:00:44.220 --> 00:00:47.400]  感謝禰在這段期間裏面與我們同在
[00:00:47.400 --> 00:00:52.260]  也在這段期間裏面讓我們很多時候都能夠經歷到禰
[00:00:52.260 --> 00:00:56.860]  在這段時間裏面讓我們將祂分別爲聖
[00:00:56.860 --> 00:00:59.460]  讓我們去專心的去敬拜禰
[00:00:59.460 --> 00:01:01.980]  去仰望禰 去聽禰的道
[00:01:01.980 --> 00:01:04.340]  求神禰就開我們每一個人的心眼
[00:01:04.340 --> 00:01:07.300]  讓你今天對我們所講的每一粒字
[00:01:07.300 --> 00:01:10.660]  每一句話都能夠轉化人心
[00:01:10.660 --> 00:01:12.320]  都能夠感動人心
[00:01:12.320 --> 00:01:14.840]  奉主耶穌基督得性命之祈求
[00:01:14.840 --> 00:01:15.940]  Amen
[00:01:15.940 --> 00:01:20.460]  好 我最近在網上看到一個文章
[00:01:20.460 --> 00:01:24.920]  應該是2019年這篇文章出的時候
[00:01:24.920 --> 00:01:28.440]  它引用了關正傑的一首舊歌《星》
[00:01:28.440 --> 00:01:31.940]  很多二千後或者八十後那些
[00:01:31.940 --> 00:01:32.980]  不知道我在說什麼
[00:01:32.980 --> 00:01:36.260]  不要緊 你上網去打關正傑 然後《星》
[00:01:36.260 --> 00:01:38.700]  你就會看到這首歌了
[00:01:38.700 --> 00:01:42.820]  在2019年裏面 當然香港發生了很多事
[00:01:42.820 --> 00:01:45.900]  這位作者有很多的感觸
[00:01:45.900 --> 00:01:49.980]  當我看完這篇文章裏面 我也有很多的感受
[00:01:49.980 --> 00:01:53.760]  而其中有些前四句的歌詞
[00:01:53.760 --> 00:01:58.040]  的確令我有很多的回憶
[00:01:58.040 --> 00:02:02.940]  也有很多的感受
[00:02:02.940 --> 00:02:05.180]  其中前四句的歌詞是什麼呢?
[00:02:05.180 --> 00:02:10.020]  就是「閉起雙眼睛 心中感覺清靜
[00:02:10.020 --> 00:02:14.260]  再張開眼睛 怕觀望前程
[00:02:14.260 --> 00:02:18.940]  夜冷風更清 這一片荒野地
[00:02:18.940 --> 00:02:26.020]  沿途是其路 我方向未能明」
[00:02:26.020 --> 00:02:30.580]  今天是8月30號 2020年
[00:02:30.580 --> 00:02:34.420]  這一年和以往的好幾年是很不同
[00:02:34.420 --> 00:02:36.060]  發生了很多事
[00:02:36.060 --> 00:02:40.060]  也有很多人從未想過會發生的事
[00:02:40.060 --> 00:02:43.060]  過往我們認爲很多理所當然的事
[00:02:43.060 --> 00:02:45.460]  例如和家人去喝茶
[00:02:45.460 --> 00:02:49.940]  我們平時做一些平常到不平常的日常生活
[00:02:49.940 --> 00:02:54.220]  去和朋友相聚 去和朋友有飯局
[00:02:54.220 --> 00:02:57.380]  去酒樓喝茶 去街市買菜
[00:02:57.380 --> 00:02:59.220]  帶小朋友去公園
[00:02:59.220 --> 00:03:03.820]  這些在生活上最平常不過的事情
[00:03:03.820 --> 00:03:07.500]  在今時今日卻變得很可貴
[00:03:07.500 --> 00:03:09.660]  可望而不可及
[00:03:09.660 --> 00:03:15.140]  我記得我們最後一次的實體敬拜
[00:03:15.140 --> 00:03:16.940]  是在3月8日
[00:03:16.940 --> 00:03:20.380]  爲什麼我記得 因爲當日我代替了趙牧師
[00:03:20.380 --> 00:03:23.300]  去Pleasanton Campus 廣東
[00:03:23.300 --> 00:03:26.620]  只不過是差不多半年的光景
[00:03:26.620 --> 00:03:29.580]  世界就變得不再一樣
[00:03:29.580 --> 00:03:32.340]  今天我講到的時候臺下空無一人
[00:03:32.340 --> 00:03:33.820]  只有Fred在陪我
[00:03:33.820 --> 00:03:36.620]  過去差不多半年的光景
[00:03:36.620 --> 00:03:40.100]  我們面對疫情的生死的威脅
[00:03:40.100 --> 00:03:45.340]  到現在我們仍然沒有辦法能夠有一個透徹的瞭解
[00:03:45.340 --> 00:03:53.540]  甚至都不知道究竟這個病毒是在哪裏發生的
[00:03:53.540 --> 00:03:55.340]  只是衆說紛紛
[00:03:55.340 --> 00:03:59.060]  而最不開心的以往我們有很多的困擾
[00:03:59.060 --> 00:04:02.020]  或者我們有些不開心的事情的時候
[00:04:02.020 --> 00:04:06.020]  想找人傾訴 可以面對面去試一下
[00:04:06.020 --> 00:04:09.300]  今天就不可以了
[00:04:09.300 --> 00:04:10.260]  而不單止這樣
[00:04:10.260 --> 00:04:16.020]  現在我們還會被很多的政府叫我們要小心
[00:04:16.020 --> 00:04:18.260]  要我們去謹慎
[00:04:18.260 --> 00:04:21.140]  爲什麼呢 因爲我們所接觸的每一個人
[00:04:21.140 --> 00:04:24.980]  包括你的至親 甚至是你自己本人
[00:04:24.980 --> 00:04:26.460]  包括你和我
[00:04:26.460 --> 00:04:31.500]  都沒有辦法肯定我們本身是不是一個帶菌者
[00:04:31.500 --> 00:04:36.900]  結果所有一切的活動都要暫停
[00:04:36.900 --> 00:04:39.860]  以免被這個病毒感染
[00:04:39.860 --> 00:04:44.900]  喪禮和婚禮只可以一些直系的家屬出席
[00:04:44.900 --> 00:04:47.980]  我們慶祝生日或者只可以在Facebook
[00:04:47.980 --> 00:04:50.060]  在Instagram裏慶祝
[00:04:50.060 --> 00:04:53.580]  我們的結婚週年紀念可能都不可以在City Park
[00:04:53.580 --> 00:04:55.780]  可能在一些State Park
[00:04:55.780 --> 00:04:58.980]  或者在一些National Park裏慶祝
[00:04:58.980 --> 00:05:01.620]  學校已經宣佈暫停
[00:05:01.620 --> 00:05:04.180]  戶外所有的大型的活動
[00:05:04.180 --> 00:05:07.900]  一切都要畫上一個優質的符號
[00:05:07.900 --> 00:05:10.300]  包括所有的體育節目
[00:05:10.300 --> 00:05:14.820]  這些是你和我都從未想象過會發生的事情
[00:05:14.820 --> 00:05:17.900]  我們天天看着新聞我們感覺到震驚
[00:05:17.900 --> 00:05:20.460]  我們天天看到很沮喪的
[00:05:20.460 --> 00:05:24.020]  我們看到這個病毒很多時候在新聞裏面
[00:05:24.020 --> 00:05:26.700]  說拿了或者奪走了
[00:05:26.700 --> 00:05:31.100]  甚至一些我們在我們社區的輪舍
[00:05:31.100 --> 00:05:35.020]  或者我們一些所熟悉的親朋戚友裏面
[00:05:35.020 --> 00:05:38.020]  而令事件更加惡化的就是
[00:05:38.020 --> 00:05:39.900]  惡化的就是這個疫情
[00:05:39.900 --> 00:05:44.380]  帶出了美國很多一些深層次的問題
[00:05:44.380 --> 00:05:47.380]  一些很內在的一些深層次的問題
[00:05:47.380 --> 00:05:50.500]  包括可能貧富懸殊
[00:05:50.500 --> 00:05:51.500]  醫療的不足
[00:05:51.500 --> 00:05:52.820]  糧食的分配
[00:05:52.820 --> 00:05:55.940]  和種族的歧視
[00:05:55.940 --> 00:05:58.780]  而且最近還加上山火
[00:05:58.780 --> 00:06:02.740]  真的是一浪接一浪
[00:06:02.740 --> 00:06:05.740]  就算我們閉起雙眼睛
[00:06:05.740 --> 00:06:08.580]  我們心中都未必感到清靜
[00:06:08.580 --> 00:06:10.740]  我們再張開眼睛
[00:06:10.740 --> 00:06:13.500]  的確怕觀望前程
[00:06:13.500 --> 00:06:15.660]  夜冷風更清
[00:06:15.660 --> 00:06:17.820]  正是不少人的感受
[00:06:17.820 --> 00:06:20.300]  或者不少人的感慨
[00:06:20.300 --> 00:06:22.300]  繁華的鬧市
[00:06:22.300 --> 00:06:23.820]  今天我們出去看
[00:06:23.820 --> 00:06:26.660]  可能是一片荒野地
[00:06:26.660 --> 00:06:28.940]  沿途是歧路
[00:06:28.940 --> 00:06:30.820]  方向未能明
[00:06:30.820 --> 00:06:33.140]  也是很多人的寫照
[00:06:33.140 --> 00:06:35.540]  也是很多人的心聲
[00:06:35.540 --> 00:06:38.140]  無論你的年紀有多大
[00:06:38.140 --> 00:06:40.940]  我很肯定或者我都挺相信
[00:06:40.940 --> 00:06:44.540]  我們是從未經歷過一個時代
[00:06:44.540 --> 00:06:47.100]  裏面令很多人人心惶惶
[00:06:47.100 --> 00:06:49.620]  不知所措的世界
[00:06:49.620 --> 00:06:51.580]  而這個疫情
[00:06:51.580 --> 00:06:52.940]  究竟
