
[00:00:00.000 --> 00:00:03.420]  平安 也歡迎大家再一次的回到來
[00:00:03.420 --> 00:00:05.000]  一起可以去敬拜神
[00:00:05.000 --> 00:00:09.720]  特別我們願意今早神仍然用祂的說話
[00:00:09.720 --> 00:00:11.040]  來提醒我們
[00:00:11.040 --> 00:00:13.800]  好嗎?我們一起先低頭祈禱
[00:00:13.800 --> 00:00:22.400]  求聖靈自由的運行在我們每一個人的心裏面
[00:00:22.400 --> 00:00:26.600]  當我們剛才領受過主餐的時候
[00:00:27.100 --> 00:00:33.900]  我們的心再一次被耶穌的補血來潔淨
[00:00:33.900 --> 00:00:36.360]  因為我們眾人的罪
[00:00:36.360 --> 00:00:40.820]  都因著耶穌基督的補血被赦免
[00:00:40.820 --> 00:00:44.100]  願意我們都帶著一個感恩的心
[00:00:44.100 --> 00:00:49.120]  我們願意能夠真的脫去舊人
[00:00:49.120 --> 00:00:54.040]  穿上新人來成為一個主喜悅的人
[00:00:54.040 --> 00:00:58.580]  所以主,今天早上,當我們再一次來到去敬拜祢的時候
[00:00:58.580 --> 00:01:02.200]  求祢自己就在我們的心裏面工作
[00:01:02.200 --> 00:01:05.640]  讓我們在以後的時候
[00:01:05.640 --> 00:01:09.220]  聖靈能夠,叫我們能夠同感一靈的
[00:01:09.220 --> 00:01:11.140]  叫聽的、講的
[00:01:11.140 --> 00:01:14.180]  是同感一靈在你裏面去領受
[00:01:14.180 --> 00:01:18.100]  多謝聖靈你在我們中間繼續
[00:01:18.100 --> 00:01:19.800]  繼續不斷的工作
[00:01:19.800 --> 00:01:23.500]  多謝主,奉主耶穌名求,阿們
[00:01:23.500 --> 00:01:28.020]  今天跟大家繼續分享已忽所書
[00:01:28.020 --> 00:01:29.760]  我們來到第四章
[00:01:29.760 --> 00:01:33.640]  其實上次我們的主席,剛才的主席
[00:01:33.640 --> 00:01:37.700]  李俊賢前度跟我們講了已忽所書的第四章
[00:01:37.700 --> 00:01:39.300]  一至到十六節
[00:01:39.300 --> 00:01:44.720]  接著我們就會講到第十七節到二十四節
[00:01:44.720 --> 00:01:47.760]  總結一下上週所講的
[00:01:47.760 --> 00:01:50.920]  上週的總結就講到三一神
[00:01:51.580 --> 00:01:54.960]  基督信仰是教會合一的基礎
[00:01:54.960 --> 00:01:57.160]  不同的恩慈
[00:01:57.160 --> 00:02:01.320]  是為了要建立基督合一的身體
[00:02:01.320 --> 00:02:03.160]  合一的體現
[00:02:03.160 --> 00:02:06.260]  是在群體當中去實踐
[00:02:06.260 --> 00:02:10.860]  是講到上次,特別我們知道來到第四章的時候
[00:02:10.860 --> 00:02:13.060]  如果已忽所要分兩段
[00:02:13.060 --> 00:02:15.560]  就是一至三章,四至六章
[00:02:15.560 --> 00:02:18.460]  而第六章裏面是一種很實際的
[00:02:18.460 --> 00:02:21.140]  是一種生活性的,我們應該怎樣做呢?
[00:02:21.140 --> 00:02:26.220]  一開始的時候,第四章是講到一個群體的實踐
[00:02:26.220 --> 00:02:29.860]  今天我們來到第十七節
[00:02:29.860 --> 00:02:34.500]  就是講到一些個人生活的實踐
[00:02:34.500 --> 00:02:36.780]  我們看下去,我們知道
[00:02:36.780 --> 00:02:38.820]  保羅要講,他說
[00:02:38.820 --> 00:02:42.980]  當我們講到個人生活的實踐的時候
[00:02:42.980 --> 00:02:46.700]  是離不開一個信仰的體驗
[00:02:46.700 --> 00:02:49.260]  我們的體驗是什麼呢?
[00:02:49.260 --> 00:02:52.140]  保羅看教會每一個人
[00:02:52.140 --> 00:02:57.060]  他都應該去有一個經歷
