
[00:00:00.000 --> 00:00:01.480]  丁子妹 平安
[00:00:01.480 --> 00:00:03.740]  很高興跟大家分享神的說話
[00:00:03.740 --> 00:00:06.740]  今天講到的題目
[00:00:06.740 --> 00:00:08.540]  跟平時可能跟大家很不一樣
[00:00:08.540 --> 00:00:10.640]  我們平時在教會裡面
[00:00:10.640 --> 00:00:13.940]  通常很多都是講到
[00:00:13.940 --> 00:00:16.140]  如何面對我們的失敗
[00:00:16.140 --> 00:00:19.540]  或者面對我們的低谷的時候
[00:00:19.540 --> 00:00:21.240]  我們比較少講
[00:00:21.240 --> 00:00:24.040]  我們如何面對我們的順境和成功
[00:00:24.040 --> 00:00:25.540]  我們的見證也是這樣
[00:00:25.540 --> 00:00:27.040]  我們通常見證都是講到
[00:00:27.040 --> 00:00:29.040]  我們曾經面對什麼困難
[00:00:29.040 --> 00:00:30.540]  神將幫助我們
[00:00:30.540 --> 00:00:31.540]  是的
[00:00:31.540 --> 00:00:33.540]  但是我們比較少提到
[00:00:33.540 --> 00:00:36.540]  如何面對我們順境的時間
[00:00:36.540 --> 00:00:39.040]  所以今天很願意跟大家分享一篇
[00:00:39.040 --> 00:00:42.040]  有關在大衛的生平裡面
[00:00:42.040 --> 00:00:44.540]  如何去面對這個課題
[00:00:44.540 --> 00:00:46.540]  我們一起做個祈禱
[00:00:46.540 --> 00:00:49.540]  在今次因為你招聖我們
[00:00:49.540 --> 00:00:51.540]  來到這個殿裡面
[00:00:51.540 --> 00:00:54.040]  我們敬拜去聆聽你的說話
[00:00:54.040 --> 00:00:57.540]  讓我們每一個人都能夠有一個好的耳朵
[00:00:57.540 --> 00:00:59.540]  去聆聽你自己的說話
[00:00:59.540 --> 00:01:01.540]  你自己的靈在我們當中
[00:01:01.540 --> 00:01:03.040]  去直接對我們說話
[00:01:03.040 --> 00:01:05.540]  讓我們心靈裡面得著反思
[00:01:05.540 --> 00:01:08.540]  讓我們能夠可以常常的在你裡面
[00:01:08.540 --> 00:01:10.040]  再一次更新自己
[00:01:10.040 --> 00:01:11.540]  求主幫助孩子
[00:01:11.540 --> 00:01:14.040]  讓他們有一個很清晰的聲音
[00:01:14.040 --> 00:01:15.540]  去述說你的道理
[00:01:15.540 --> 00:01:16.540]  求主你這樣幫助我們
[00:01:16.540 --> 00:01:17.540]  奉主名求
[00:01:17.540 --> 00:01:18.540]  阿門
[00:01:18.540 --> 00:01:24.040]  經文是有關大衛和訴羅爭戰尾聲的故事
[00:01:24.040 --> 00:01:27.540]  撒姆爾記足足用了20章的經文
[00:01:27.540 --> 00:01:32.540]  去描述整個大衛家和訴羅家爭戰的故事
[00:01:32.540 --> 00:01:34.540]  非常之詳細的描述
[00:01:34.540 --> 00:01:37.040]  醒學者甚至乎稱這段故事為
[00:01:37.040 --> 00:01:39.040]  王衛爭奪歷史
[00:01:39.040 --> 00:01:41.540]  由撒姆爾記上的16章開始
[00:01:41.540 --> 00:01:44.540]  大衛被撒姆爾攻略
[00:01:44.540 --> 00:01:45.540]  然後大衛就興起
[00:01:45.540 --> 00:01:47.540]  然後就被訴羅王追殺
[00:01:47.540 --> 00:01:49.540]  離開以色列再回來
[00:01:49.540 --> 00:01:51.040]  去到第31章
[00:01:51.040 --> 00:01:54.040]  我們見到整個撒姆爾記上的最後一章
[00:01:54.040 --> 00:01:59.540]  訴羅和他三個兒子在戰場上陣亡
[00:01:59.540 --> 00:02:03.040]  這可以說是整個王衛爭奪歷史的高潮
[00:02:03.040 --> 00:02:06.540]  不過去到撒姆爾記下的經文
[00:02:06.540 --> 00:02:11.040]  我們見到整個王衛爭奪歷史其實尚未完結
[00:02:11.040 --> 00:02:13.040]  這裡其實整卷撒姆爾記上下
[00:02:13.040 --> 00:02:15.040]  其實一直都是一些卷書
[00:02:15.040 --> 00:02:17.540]  不過後來只不過分開兩卷書來編排
[00:02:17.540 --> 00:02:21.040]  所以去到撒姆爾記下的第1,2,3,4章
[00:02:21.040 --> 00:02:25.540]  繼續記載著整個王衛爭奪歷史的尾聲
[00:02:25.540 --> 00:02:26.540]  如果你好奇心大的時候
[00:02:26.540 --> 00:02:28.540]  你打開第5章的時候
[00:02:28.540 --> 00:02:32.040]  你會發現和本的標題下面寫著
[00:02:32.040 --> 00:02:35.040]  大衛作猶大和以色列王
[00:02:35.040 --> 00:02:37.040]  去到第5章
[00:02:37.040 --> 00:02:40.540]  大衛終於統一了整個以色列國
[00:02:40.540 --> 00:02:42.040]  成為以色列王
[00:02:42.040 --> 00:02:47.040]  這裡同時間標誌著整個王衛爭奪歷史的終結
[00:02:47.040 --> 00:02:48.540]  所以今天的經文
[00:02:48.540 --> 00:02:51.540]  去到撒姆爾記下的第4章
[00:02:51.540 --> 00:02:56.040]  好像TVB劇集第20集
[00:02:56.040 --> 00:02:57.540]  最後那5分鐘
[00:02:57.540 --> 00:02:58.540]  通常是怎樣的?
[00:02:58.540 --> 00:03:01.540]  最後那5分鐘通常是做什麼的?
[00:03:01.540 --> 00:03:03.540]  通常在TVB劇裡面
[00:03:03.540 --> 00:03:06.040]  剛剛完結了一個很大的高潮
[00:03:06.040 --> 00:03:09.540]  最後那5分鐘就要交代一些細節
[00:03:09.540 --> 00:03:11.540]  5年後10年後那些
[00:03:11.540 --> 00:03:12.540]  是的
[00:03:12.540 --> 00:03:14.540]  確實有些東西是需要繼續交代下去
[00:03:14.540 --> 00:03:17.540]  雖然已經完結了整個最重要的劇情
[00:03:17.540 --> 00:03:20.540]  所以去到第3章的第一節
[00:03:20.540 --> 00:03:21.540]  聖經文說
[00:03:21.540 --> 00:03:24.540]  掃羅加和大衛加爭戰許久
[00:03:24.540 --> 00:03:26.040]  大衛加日漸強盛
[00:03:26.040 --> 00:03:28.040]  掃羅加日漸衰弱
[00:03:28.040 --> 00:03:31.540]  如果經文用一個鏡頭去說
[00:03:31.540 --> 00:03:33.540]  就好像一個很快的過門
[00:03:33.540 --> 00:03:35.540]  就是拍一拍一棵草
[00:03:35.540 --> 00:03:37.540]  然後就過了好幾年的時間
[00:03:37.540 --> 00:03:40.540]  很快的轉折的故事
[00:03:40.540 --> 00:03:44.540]  今天的經文正正就在這個尾聲裡面
[00:03:44.540 --> 00:03:49.540]  就是大衛加和掃羅王之間的故事的尾聲
[00:03:49.540 --> 00:03:51.540]  其中一件發生在尾聲的事情
[00:03:51.540 --> 00:03:53.540]  就在第3章所記載
[00:03:53.540 --> 00:03:57.540]  就是說以色列國的阿尼爾投降
[00:03:57.540 --> 00:03:59.040]  阿尼爾是誰來的呢?
[00:03:59.040 --> 00:04:01.540]  如果大家打開第3章第6節的時候
[00:04:01.540 --> 00:04:02.540]  你會看到說
[00:04:02.540 --> 00:04:06.540]  他說掃羅加和大衛加爭戰的時候
[00:04:06.540 --> 00:04:09.540]  阿尼爾在掃羅加大有權勢
[00:04:09.540 --> 00:04:14.540]  原來阿尼爾是當時以色列國的軍事總司令
[00:04:14.540 --> 00:04:19.540]  就是說整個國家的兵權都操控在他的手上
[00:04:19.540 --> 00:04:23.540]  大家知道當時掃羅王已經死了
[00:04:23.540 --> 00:04:26.540]  他三個兒子都相繼死了
[00:04:26.540 --> 00:04:28.540]  最後那個兒子沒有死
[00:04:28.540 --> 00:04:32.540]  所以皇位就交給這個死剩的兒子
[00:04:32.540 --> 00:04:33.540]  通常這樣的情況下
[00:04:33.540 --> 00:04:36.540]  這個皇帝都不是很強勢的皇帝
[00:04:36.540 --> 00:04:42.540]  所以整個國家的實質兵權就落在阿尼爾將軍的手上
[00:04:42.540 --> 00:04:45.540]  不過屋漏兼逢夜雨
[00:04:45.540 --> 00:04:47.540]  聖經這樣記載著
[00:04:47.540 --> 00:04:49.540]  可能因為很多不同的原因
[00:04:49.540 --> 00:04:50.540]  可能是諾貝爾分裂的緣故
[00:04:50.540 --> 00:04:53.540]  這個時候阿尼爾就怎樣呢?
[00:04:53.540 --> 00:04:56.540]  就去轉投大衛的陣營
[00:04:56.540 --> 00:04:59.540]  這個是一個極大的形勢的轉變
[00:04:59.540 --> 00:05:02.540]  雖然故事講到阿尼爾最後都死了
[00:05:02.540 --> 00:05:03.540]  今天就詳細不講了
[00:05:03.540 --> 00:05:06.540]  不過你看到這是一個極大的形勢的變化
[00:05:06.540 --> 00:05:09.540]  以色列國已經沒有了掃羅王
[00:05:09.540 --> 00:05:11.540]  現在連阿尼爾都沒有了
[00:05:11.540 --> 00:05:14.540]  就好像你下棋被將軍佔領了
[00:05:14.540 --> 00:05:15.540]  已經沒得玩了
[00:05:15.540 --> 00:05:17.540]  已經是非常差的情況
[00:05:17.540 --> 00:05:21.540]  以色列國的局勢急轉直下
[00:05:21.540 --> 00:05:23.540]  去到第四章的第一節
[00:05:23.540 --> 00:05:24.540]  聖經這樣寫
[00:05:24.540 --> 00:05:29.540]  掃羅的兒子伊斯波切聽見阿尼爾死在希伯倫
[00:05:29.540 --> 00:05:33.540]  手就發軟,以色列眾人也都驚慌
[00:05:33.540 --> 00:05:36.540]  以色列國的局勢就像股市急跌一樣
[00:05:36.540 --> 00:05:38.540]  不斷湧現壞消息
[00:05:38.540 --> 00:05:41.540]  一個利大本數影響另一個利大本數
[00:05:41.540 --> 00:05:44.540]  不斷帶來連鎖的反應
[00:05:44.540 --> 00:05:46.540]  所以來到今天的經文
[00:05:46.540 --> 00:05:48.540]  第四章的第五節開始
[00:05:48.540 --> 00:05:51.540]  基於恐慌性拋售
[00:05:51.540 --> 00:05:56.540]  以色列國就出現了一件非常駭人聽聞的故事
[00:05:56.540 --> 00:05:59.540]  大家聽前有個心理準備
[00:05:59.540 --> 00:06:01.540]  是一段非常殘忍的經文
[00:06:01.540 --> 00:06:03.540]  我們打開聖經的幕
[00:06:03.540 --> 00:06:05.540]  第四章的第五到第七節
[00:06:05.540 --> 00:06:06.540]  我們一起讀
[00:06:06.540 --> 00:06:08.540]  第四章五到第七節的經文
[00:06:08.540 --> 00:06:13.540]  記載了一段非常殘忍的記載
[00:06:13.540 --> 00:06:15.540]  預備一二三開始
[00:06:26.540 --> 00:06:28.540]  以斯波切正誰亂教
[00:06:28.540 --> 00:06:30.540]  貪污盡了王子
[00:06:30.540 --> 00:06:32.540]  假作要取謀之
[00:06:32.540 --> 00:06:35.540]  一手支托伊斯波切的圖局
[00:06:35.540 --> 00:06:36.540]  圖炮妖
[00:06:36.540 --> 00:06:39.540]  貪污盡王子的持久
[00:06:39.540 --> 00:06:43.540]  伊斯波切正在我國的皇宰床上
[00:06:43.540 --> 00:06:45.540]  貪將白髮比
[00:06:45.540 --> 00:06:46.540]  獲了大仇
[00:06:46.540 --> 00:06:48.540]  假著手頭在
[00:06:48.540 --> 00:06:50.540]  貪歸化就了你的器
[00:06:50.540 --> 00:06:52.540]  謝謝
[00:06:52.540 --> 00:06:57.540]  聖經記載著一段非常殘忍的事情
[00:06:57.540 --> 00:06:59.540]  兩個男人
[00:06:59.540 --> 00:07:01.540]  拿著匕首
[00:07:01.540 --> 00:07:03.540]  進入皇帝的房間
[00:07:03.540 --> 00:07:06.540]  然後把匕首插進肚子裡
[00:07:06.540 --> 00:07:09.540]  然後把人頭割出來
[00:07:09.540 --> 00:07:11.540]  連日帶夜地
[00:07:11.540 --> 00:07:13.540]  拿著人頭去希伯來
[00:07:13.540 --> 00:07:15.540]  非常沒人性的事情
[00:07:15.540 --> 00:07:18.540]  為什麼這兩個人會這樣做?
[00:07:18.540 --> 00:07:20.540]  為什麼會這樣做?
[00:07:20.540 --> 00:07:22.540]  很容易理解
[00:07:22.540 --> 00:07:24.540]  現在的形勢不對
[00:07:24.540 --> 00:07:26.540]  說不定我們殺了自己的皇帝
[00:07:26.540 --> 00:07:29.540]  說不定有些利益也不奇怪
[00:07:29.540 --> 00:07:32.540]  這兩件事正正標誌著
[00:07:32.540 --> 00:07:35.540]  整個皇宰對歷史的理性
[00:07:35.540 --> 00:07:38.540]  今天我們講到嘗試對這兩件事
[00:07:38.540 --> 00:07:41.540]  第三章厄尼爾的投降
[00:07:41.540 --> 00:07:44.540]  和第四章皇帝的死
[00:07:44.540 --> 00:07:48.540]  我們嘗試從大衛的角度去思考這兩件事
[00:07:48.540 --> 00:07:51.540]  其實從大衛的角度來看
[00:07:51.540 --> 00:07:55.540]  其實大衛什麼都沒做過
[00:07:55.540 --> 00:07:57.540]  大衛什麼都沒做過
[00:07:57.540 --> 00:07:59.540]  以色列國就基於恐慌性拋售
[00:07:59.540 --> 00:08:01.540]  死了兩個人
[00:08:01.540 --> 00:08:03.540]  有人就去轉投大衛陣營
[00:08:03.540 --> 00:08:05.540]  有人就把自己的皇帝
[00:08:05.540 --> 00:08:08.540]  無端端殺了
[00:08:08.540 --> 00:08:10.540]  送給他
[00:08:10.540 --> 00:08:12.540]  看這兩件事
[00:08:12.540 --> 00:08:16.540]  告訴我們人世間一個很真實的現象
[00:08:16.540 --> 00:08:20.540]  就是當你正在贏的時候
[00:08:20.540 --> 00:08:23.540]  其他的東西都會無端端
[00:08:23.540 --> 00:08:26.540]  無端端贏了
[00:08:26.540 --> 00:08:28.540]  不知道這是不是你的經驗
[00:08:28.540 --> 00:08:29.540]  你有沒有發覺
[00:08:29.540 --> 00:08:31.540]  當你人生去到某個階段
[00:08:31.540 --> 00:08:33.540]  當你贏的時候
[00:08:33.540 --> 00:08:36.540]  其他的東西自然而然會特別順利
[00:08:36.540 --> 00:08:38.540]  不知道是不是你的經驗
[00:08:38.540 --> 00:08:41.540]  原來這個有理論解釋
[00:08:41.540 --> 00:08:42.540]  舉個例子
[00:08:42.540 --> 00:08:44.540]  大家有沒有讀過中歷史
[00:08:44.540 --> 00:08:46.540]  都應該讀過
[00:08:46.540 --> 00:08:48.540]  秦始皇和中國
[00:08:48.540 --> 00:08:49.540]  大家記不記得
[00:08:49.540 --> 00:08:52.540]  秦始皇是怎樣先後擊敗六國的次序
[00:08:52.540 --> 00:08:54.540]  還有沒有記住
[00:08:54.540 --> 00:08:56.540]  還記不記得
[00:08:56.540 --> 00:08:58.540]  我都記不住了
[00:08:58.540 --> 00:08:59.540]  我要找回資料
[00:08:59.540 --> 00:09:01.540]  首先是擊敗韓國
[00:09:01.540 --> 00:09:05.540]  然後是趙國 魏國 楚國 燕國
[00:09:05.540 --> 00:09:07.540]  最後就是齊國
[00:09:07.540 --> 00:09:14.540]  其實秦始皇何時在六國的戰爭中已經贏了呢
[00:09:14.540 --> 00:09:18.540]  何時已經贏了那個戰爭呢
[00:09:18.540 --> 00:09:22.540]  其實不是在最後贏了的時候
[00:09:22.540 --> 00:09:23.540]  而是怎樣呢
[00:09:23.540 --> 00:09:25.540]  而是贏到七七八八的時候
[00:09:25.540 --> 00:09:27.540]  基本上他已經贏了
[00:09:27.540 --> 00:09:29.540]  當他贏了大部份國家的時候
[00:09:29.540 --> 00:09:33.540]  基本上其他的國家沒有再跟他鬥下去
[00:09:33.540 --> 00:09:37.540]  原來有一個理論叫做蟲中效應
[00:09:37.540 --> 00:09:38.540]  叫做bandwagon effect
[00:09:38.540 --> 00:09:39.540]  什麼叫蟲中效應呢
[00:09:39.540 --> 00:09:41.540]  因為這是一個投票現象
[00:09:41.540 --> 00:09:48.540]  選民通常都會投票給那些有機會贏的人
[00:09:48.540 --> 00:09:51.540]  我們剛剛過去發生的事情就是類似這樣
[00:09:51.540 --> 00:09:55.540]  投票的人是投票給那些比較有機會贏的人
[00:09:55.540 --> 00:09:58.540]  沒什麼機會贏的人就沒什麼票拿到
[00:09:58.540 --> 00:09:59.540]  其實是很不公平的
[00:09:59.540 --> 00:10:01.540]  通常越大機會贏
[00:10:01.540 --> 00:10:04.540]  就越容易吸到其他選民的票
[00:10:04.540 --> 00:10:06.540]  這是一個很普遍的社會現象
[00:10:06.540 --> 00:10:11.540]  通常成品裡面有一個十大暢銷榜
[00:10:11.540 --> 00:10:12.540]  其實是很不公平的
[00:10:12.540 --> 00:10:17.540]  十大最好賣的書還是不斷的宣傳下去
[00:10:17.540 --> 00:10:24.540]  一個銷量冠軍的品牌會吸引更多的人去買他的品牌
[00:10:24.540 --> 00:10:28.540]  這個正正就是大衛所面對的情況
