
[00:00:00.000 --> 00:00:05.040]  普遍的教會,都會這樣提醒弟兄姊妹
[00:00:05.040 --> 00:00:11.400]  我們在信仰上,要有一個正確的認識
[00:00:11.400 --> 00:00:17.000]  千萬不要出現偏差,或者走歪路
[00:00:17.000 --> 00:00:24.160]  因為錯誤的信仰,帶來的影響是非常危險的
[00:00:24.160 --> 00:00:32.840]  不過同時間,我們也需要著重正確來實踐我們的信仰
[00:00:32.840 --> 00:00:40.720]  即是我們相信是很正確,但如果你走出來是不正確的話,是很有問題的
[00:00:40.720 --> 00:00:48.120]  我們當說一個正確去實踐我們的信仰,是一個好的見證
[00:00:48.120 --> 00:00:53.040]  所以大家可以去想想,有好的見證,有不好的見證
[00:00:53.040 --> 00:00:57.120]  當你想到不好的見證,就要想一下自己有沒有
[00:00:57.120 --> 00:01:04.440]  我相信很多弟兄姊妹會想起,有些地方真的不是太好的見證
[00:01:04.440 --> 00:01:10.200]  是哪些呢?當然大家自己心裏知道就不需要出來說
[00:01:10.200 --> 00:01:17.800]  雖然有時有反面的教材說了出來,會覺得是一種提醒
[00:01:17.800 --> 00:01:23.000]  但我們都希望有一個好的見證成為鼓勵
[00:01:23.000 --> 00:01:29.560]  正確的信仰內容很重要,正確的信仰行為也很重要
[00:01:29.560 --> 00:01:40.680]  不過如果在正確的行為上,我們高舉甚至去到一個地步成為了優先
[00:01:40.680 --> 00:01:46.680]  又會陷入另一個問題,變成一個所謂因為行為而稱義
[00:01:46.680 --> 00:01:51.280]  即是因為我做得好,所以我配得上稱為一個基督徒
[00:01:51.280 --> 00:01:56.600]  這個又不是在信仰或聖經裏面教導我們的
[00:01:56.600 --> 00:02:03.880]  當然如果只是在理念上說了很多,但我們沒有實踐
[00:02:03.880 --> 00:02:07.480]  就好像今天很多人說,變成一個離地的信仰
[00:02:07.480 --> 00:02:12.200]  即是你所說的東西都不是在生活裏見到的
[00:02:12.200 --> 00:02:15.800]  所以在《雅各書》當中提醒我們
[00:02:15.800 --> 00:02:22.800]  我們信仰的認識或內容,和我們的實踐是相輔相成的
[00:02:22.800 --> 00:02:28.040]  彼此來見證著實在
[00:02:28.040 --> 00:02:34.040]  在我們一般的習慣裏面,見證這兩個字
[00:02:34.040 --> 00:02:39.000]  其實是比較多放在法律的場景當中使用的
[00:02:39.000 --> 00:02:48.240]  譬如我們去參與,去觀禮我們的朋友或親人的婚禮
[00:02:48.240 --> 00:02:53.640]  我們去見證一個很美麗的時刻,很美麗的圖畫
[00:02:53.640 --> 00:02:59.040]  這一定是見證,他們的儀式或婚禮一定是公開的
[00:02:59.040 --> 00:03:03.600]  有很多人一齊去,讓他們高興,這是一個見證
[00:03:03.600 --> 00:03:07.080]  又或者有罪惡發生
[00:03:07.080 --> 00:03:12.160]  你是其中一個目擊者,可能是交通意外等等
[00:03:12.160 --> 00:03:18.480]  你是一個見證人,你所說的口供做的見證是很重要的
[00:03:18.480 --> 00:03:23.000]  如果你將不是事實的地方說出來的話
[00:03:23.000 --> 00:03:26.480]  這個假的見證是很危險的
[00:03:26.480 --> 00:03:32.440]  因為是會在法律上妨礙司法的公正
[00:03:32.440 --> 00:03:35.720]  你是會被入罪的
[00:03:35.720 --> 00:03:40.600]  所以見證通常會放在一個這樣的場景使用
[00:03:40.600 --> 00:03:44.280]  但在聖經裡面,其實見證是什麼意思呢?
[00:03:44.280 --> 00:03:48.080]  就不是一個法律的場景,是一個生與死的問題
[00:03:48.080 --> 00:03:53.200]  因為在聖經裡面,見證這個字其實就是殉道的意思
[00:03:53.200 --> 00:03:57.440]  所以如果下次我找你出來講見證
[00:03:57.440 --> 00:04:00.640]  其實意思是什麼呢?就是叫你殉道
[00:04:00.640 --> 00:04:02.840]  所以很多弟兄姊妹都很聰明
[00:04:02.840 --> 00:04:05.400]  牧師叫他講見證,他通常都推
[00:04:05.400 --> 00:04:08.320]  就是牧師叫他死,他當然不肯
[00:04:08.320 --> 00:04:14.120]  但其實在聖經裡面,見證這個字就是一個殉道的意思
[00:04:14.120 --> 00:04:16.240]  為什麼呢?
[00:04:16.240 --> 00:04:20.320]  初期的教會,跟從耶穌的人
[00:04:20.320 --> 00:04:23.920]  不是馬上前途一片光明
[00:04:23.920 --> 00:04:29.960]  好像早前選舉,有些候選人告訴我們他是基督徒
[00:04:29.960 --> 00:04:32.680]  然後有很多人有很多疑問
