
[00:00:00.000 --> 00:00:03.880]  提莫太后書第三章十六節
[00:00:03.880 --> 00:00:07.500]  十六節十七節好不好我們一起來宣讀來
[00:00:07.500 --> 00:00:11.720]  預備請聖經都是神所默示的
[00:00:11.720 --> 00:00:18.000]  於教訓督責使人歸正教導人學義都是有益的
[00:00:18.000 --> 00:00:24.000]  教屬神的人得以完全預備行各樣的善事
[00:00:24.000 --> 00:00:31.000]  阿門親愛的公子妹你相信神的話這本聖經是神所默示的嗎
[00:00:31.000 --> 00:00:34.000]  默示就是說是神所吹氣的
[00:00:34.000 --> 00:00:37.000]  聖靈所吹氣的就是神的話語
[00:00:37.000 --> 00:00:40.000]  這本聖經使我們得益處
[00:00:40.000 --> 00:00:42.000]  你相信你讀了他會得益處嗎
[00:00:42.000 --> 00:00:46.000]  這個益處是什麼呢他會教導我們他會指正我們
[00:00:46.000 --> 00:00:50.000]  他會教導我們學義學正確的事情
[00:00:50.000 --> 00:00:56.000]  他也會告訴我們要我們的生命能夠完全預備行各樣的善事
[00:00:56.000 --> 00:01:00.000]  阿門親愛的公子妹
[00:01:00.000 --> 00:01:04.000]  所以每一次當我們帶着這樣子的一個心來聽神的話語的時候
[00:01:04.000 --> 00:01:06.000]  不要把它當做老生常談
[00:01:06.000 --> 00:01:08.000]  不要把它當做是過眼雲煙
[00:01:08.000 --> 00:01:11.000]  親愛的公子妹帶着一個渴慕心說主啊
[00:01:11.000 --> 00:01:15.000]  今天你向我說話阿門
[00:01:17.000 --> 00:01:20.000]  主耶穌求你幫助我們
[00:01:20.000 --> 00:01:22.000]  有時候我們做基督徒久了
[00:01:22.000 --> 00:01:24.000]  我們很容易走一個形式
[00:01:24.000 --> 00:01:27.000]  我們好像又變成是一個聚會的基督徒
[00:01:27.000 --> 00:01:30.000]  幫助我們讓我們每一次來到你面前
[00:01:30.000 --> 00:01:32.000]  衆聖徒聚聚
[00:01:32.000 --> 00:01:35.000]  我們就是在地上操練過天上的生活
[00:01:35.000 --> 00:01:38.000]  我們在地上一起聆聽你的話語
[00:01:38.000 --> 00:01:40.000]  約你向我們說話
[00:01:40.000 --> 00:01:42.000]  在這一個是非不明
[00:01:42.000 --> 00:01:45.000]  在這一個充滿各式各樣聲音的世代
