
[00:00:00.000 --> 00:00:01.400]  鄧小姐 午安
[00:00:01.400 --> 00:00:02.480]  午安
[00:00:02.480 --> 00:00:05.040]  過去這十天大家忙不忙啊
[00:00:05.040 --> 00:00:06.080]  忙啊
[00:00:06.080 --> 00:00:10.000]  忙什麼啊 忙買禮物啦
[00:00:10.000 --> 00:00:11.280]  過節啦 是吧
[00:00:11.280 --> 00:00:14.120]  每年的聖誕呢
[00:00:14.120 --> 00:00:17.560]  不知道大家是不是都有一大群朋友一起慶祝呢
[00:00:17.560 --> 00:00:18.360]  或者是
[00:00:18.360 --> 00:00:19.400]  我知道呢
[00:00:19.400 --> 00:00:21.920]  因為港督堂沒有特別的聚會
[00:00:21.920 --> 00:00:23.800]  我知道鄧小姐每天二十四號晚上
[00:00:23.800 --> 00:00:27.560]  就在其他的教會參加平安夜的崇拜
[00:00:27.560 --> 00:00:28.240]  都有的
[00:00:30.120 --> 00:00:33.160]  我在二十五號那天午上
[00:00:33.160 --> 00:00:34.960]  就和一家人喝茶
[00:00:34.960 --> 00:00:36.160]  因為媽媽喜歡喝茶
[00:00:36.160 --> 00:00:37.400]  老人家
[00:00:37.400 --> 00:00:38.400]  喝完茶之後
[00:00:38.400 --> 00:00:39.480]  怎知道媽媽又說
[00:00:39.480 --> 00:00:41.280]  不如今晚都回來吃飯
[00:00:41.280 --> 00:00:42.840]  那就好吧
[00:00:42.840 --> 00:00:45.640]  於是就一家人晚上回家吃飯
[00:00:45.640 --> 00:00:49.560]  就度過了二十五號那天
[00:00:49.560 --> 00:00:51.880]  我不知道大家二十五號是怎麼度過的
[00:00:51.880 --> 00:00:53.480]  又或者是接下來三十一號
[00:00:53.480 --> 00:00:54.560]  你有什麼計劃
[00:00:54.560 --> 00:00:57.080]  影響二零一五年的新年
[00:00:57.880 --> 00:01:00.640]  但是無論我們是一群朋友很開心地度過
[00:01:00.640 --> 00:01:04.120]  或者是我們一家人溫馨地在家裡度過也好
[00:01:04.120 --> 00:01:05.920]  我想我們應該感恩的
[00:01:05.920 --> 00:01:07.800]  因為我們總是很自由
[00:01:07.800 --> 00:01:11.760]  很和平地來享受我們一些生活
[00:01:11.760 --> 00:01:12.680]  一些節日
[00:01:12.680 --> 00:01:15.840]  公元前七百三十八年
[00:01:15.840 --> 00:01:18.240]  以及公元前七百三十三年
[00:01:18.240 --> 00:01:20.360]  離我們很遠的日子
[00:01:20.360 --> 00:01:22.960]  當時的以色列
[00:01:22.960 --> 00:01:25.600]  是一個很弱的國家
[00:01:26.000 --> 00:01:28.040]  但是很不幸地在它的北邊
[00:01:28.040 --> 00:01:32.000]  有一個非常強大的國家叫阿蜀
[00:01:32.000 --> 00:01:36.360]  這個國家在公元前七百三十八年
