
[00:00:00.000 --> 00:00:11.000]  我們今天就是要著重從這個在記載裡頭看看感恩各方面的關係
[00:00:11.000 --> 00:00:23.000]  我們先看到這個感恩是對神對神祝福的一個回應感恩
[00:00:23.000 --> 00:00:25.000]  這很自然的
[00:00:25.000 --> 00:00:33.000]  我們要從這裡面看到怎樣能夠對神的祝福有很好的回應呢
[00:00:33.000 --> 00:00:42.000]  就是要看自己像一個大麻公的病人一樣
[00:00:42.000 --> 00:00:45.000]  在神面前是不接近的
[00:00:45.000 --> 00:00:50.000]  在當時猶太巴勒斯坦這個地方
[00:00:50.000 --> 00:00:54.000]  大麻公的病是很多的
[00:00:54.000 --> 00:00:57.000]  這些人得到這個病以後
[00:00:57.000 --> 00:01:03.000]  他們就一生中間就沒有辦法得到醫治的
[00:01:03.000 --> 00:01:07.000]  除非是神特別的憐憫特別的干預以後
[00:01:07.000 --> 00:01:09.000]  他們才能夠得到戒定
[00:01:09.000 --> 00:01:12.000]  當然還有大麻公病以後
[00:01:12.000 --> 00:01:15.000]  他們就跟家人就要分開
[00:01:15.000 --> 00:01:18.000]  就不許住在村子裡頭
[00:01:18.000 --> 00:01:20.000]  就要到偏僻的地方
[00:01:20.000 --> 00:01:24.000]  而且他們不能夠到聖殿去敬拜
[00:01:24.000 --> 00:01:27.000]  因為他們是污穢的不接近的
[00:01:27.000 --> 00:01:29.000]  不能跟人來接觸
[00:01:29.000 --> 00:01:34.000]  所以這是一個很可憐的光景
[00:01:34.000 --> 00:01:38.000]  所以這個不但是身體受折磨
[00:01:38.000 --> 00:01:42.000]  慢慢各方面的器官都失去功能了
[00:01:42.000 --> 00:01:46.000]  肌肉神經也都受到影響
[00:01:46.000 --> 00:01:53.000]  而且這樣一來他不能夠跟社會上的人再有接觸
[00:01:53.000 --> 00:01:55.000]  好像跟他斷絕關係
[00:01:55.000 --> 00:02:01.000]  那麼跟家人也是分開的
[00:02:01.000 --> 00:02:05.000]  所以這可以說是一個活肉的死人
[00:02:05.000 --> 00:02:07.000]  雖然他還能走路還能吃飯
[00:02:07.000 --> 00:02:11.000]  可是他跟死人是沒有什麼不同的
[00:02:11.000 --> 00:02:13.000]  跟人群都割絕了
[00:02:13.000 --> 00:02:15.000]  就像死掉一樣的
[00:02:15.000 --> 00:02:19.000]  所以一般得到這樣的病的人
[00:02:19.000 --> 00:02:25.000]  他們就知道只有跟這些病人住在一塊
[00:02:25.000 --> 00:02:28.000]  這樣才稍微好過一些
[00:02:28.000 --> 00:02:31.000]  他們對人生是一個絕望的
[00:02:31.000 --> 00:02:34.000]  就是盼望能夠好起來
[00:02:34.000 --> 00:02:36.000]  當然這個大麻瘋病人
[00:02:36.000 --> 00:02:39.000]  如果他覺得自己還不錯
[00:02:39.000 --> 00:02:41.000]  我這個大麻瘋比別人輕一點
[00:02:41.000 --> 00:02:43.000]  我這個大麻瘋還好一些
[00:02:43.000 --> 00:02:46.000]  這樣的話他根本也是一樣的
[00:02:46.000 --> 00:02:48.000]  也都是沒有什麼盼望的
[00:02:48.000 --> 00:02:53.000]  所以我們在神面前要看自己是一個罪人
