
[00:00:00.000 --> 00:00:03.680]  今日我們繼續去看 到底心靈裡面有什麼basics
[00:00:03.680 --> 00:00:09.600]  有什麼心靈的基礎 是我們需要把握和不能夠忘記
[00:00:09.600 --> 00:00:14.720]  所以我們來到back to basic的時候 上幾次我們都講到上帝的話語
[00:00:14.720 --> 00:00:20.920]  上帝的話語有他的權能 有他的作用 可以幫助我們去到上帝面前
[00:00:20.920 --> 00:00:25.560]  亦都是我們能夠領教 領受到上帝給我們的恩典
[00:00:25.560 --> 00:00:27.760]  這是藉著上帝對我們講的說話
[00:00:27.760 --> 00:00:33.600]  今次我們講到另一個基礎 就是我們向上帝講什麼 就是祈禱
[00:00:33.600 --> 00:00:39.600]  不知道大家有沒有一個比較穩定 或者常行的祈禱生活
[00:00:39.600 --> 00:00:48.080]  不需要很複雜 祈禱其實就好像我們對嬰兒 對爸爸媽媽說話一樣
[00:00:48.080 --> 00:00:50.760]  可以很直接 很真誠的
[00:00:50.760 --> 00:00:57.480]  但是需要在我們心裡面一種基礎的習慣 特別是基督徒
[00:00:57.480 --> 00:01:04.280]  不要說不是基督徒 不是基督徒都會覺得禱告有一種療法的效果
[00:01:04.280 --> 00:01:08.200]  有一種治療性的效果
[00:01:08.200 --> 00:01:13.000]  何況基督徒在基督裡面 我們有權柄在主的面前禱告
[00:01:13.000 --> 00:01:18.400]  所以今次的金句就是 不是吃素菜 不是吃肥牛
[00:01:18.400 --> 00:01:24.360]  就是《肥拿比書》第四章 六節到第七節 我們看看
[00:01:24.360 --> 00:01:31.520]  「應當一無掛慮 只要凡事藉著禱告祈求和感謝 將你們所有的告訴神
[00:01:31.520 --> 00:01:43.040]  神所賜那超越人所能了解的平安 必在基督耶穌裡面 保守你們的心懷意念」
[00:01:43.040 --> 00:01:51.320]  是一段很多人認識的 甚至我們會背的一段經文
[00:01:51.320 --> 00:01:56.480]  是寫我們 Don't Worry Don't Worry About Anything
[00:01:56.480 --> 00:02:01.640]  當然他不是說我們坐在那Lazy Boy那裡 什麼都不顧 是不是
[00:02:01.640 --> 00:02:04.240]  Don't Worry About Anything 即是 Don't Worry About
[00:02:04.240 --> 00:02:06.480]  如果我們看得上文下理的話
[00:02:06.480 --> 00:02:10.600]  就是我們的飲食 我們生命裡面一些很基本的東西
[00:02:10.600 --> 00:02:14.480]  Don't Worry About Anything Any of Those Things
[00:02:14.480 --> 00:02:18.360]  Instead 要做什麼呢? Pray About Everything
[00:02:18.360 --> 00:02:21.200]  我們看看這段聖經 到底對我們今天
[00:02:21.200 --> 00:02:24.400]  有什麼意思 對我們今天的生活 是不是
[00:02:24.400 --> 00:02:27.760]  這裡是肥立比書第四章 什麼叫肥立比書
[00:02:27.760 --> 00:02:30.040]  可能你沒有看過聖經 或者第一次看聖經
[00:02:30.040 --> 00:02:35.720]  我們中間有很多 可能第一次接觸 或者初初接觸聖經的
[00:02:35.720 --> 00:02:42.320]  就是新約裡面其中一本書 或者其中一封信
[00:02:42.320 --> 00:02:46.240]  新約裡面 新約聖經有27卷所謂的書
[00:02:46.240 --> 00:02:49.320]  是集成了 成為我們新約的傳書 是不是
[00:02:49.320 --> 00:02:53.200]  裡面有很多的叫做書信 Letters
[00:02:53.200 --> 00:02:57.640]  是當時一個牧者 寫給當時的教會
[00:02:57.640 --> 00:03:01.880]  這本叫做肥立比書 有一個牧者叫做保羅
[00:03:01.880 --> 00:03:03.280]  保羅大家很熟悉 是不是
[00:03:03.280 --> 00:03:06.840]  寫了十幾封的這些書信
[00:03:06.840 --> 00:03:08.720]  其中一封就叫做肥立比書
[00:03:08.720 --> 00:03:11.560]  為什麼叫肥立比書 因為寫給一個地方
[00:03:11.560 --> 00:03:13.760]  叫做肥立比 Philippi
[00:03:13.760 --> 00:03:16.000]  當時是一個羅馬的珠房城
[00:03:16.000 --> 00:03:22.000]  裡面有一些小組的家庭教會 很小很小的
[00:03:22.000 --> 00:03:24.480]  可能幾個人在家庭裡面聚會
[00:03:24.480 --> 00:03:28.000]  他們寫一封信 來提醒他們一些東西
[00:03:28.000 --> 00:03:28.800]  去講一些東西
[00:03:28.800 --> 00:03:32.040]  如果你看肥立比書這封信的話
[00:03:32.040 --> 00:03:34.680]  你可以當它是一封個人的書信
[00:03:34.680 --> 00:03:39.160]  甚至你 當然今天我們不寫信
[00:03:39.160 --> 00:03:41.320]  還有誰收信的 今天
[00:03:41.320 --> 00:03:42.440]  沒有 是不是
[00:03:42.440 --> 00:03:44.080]  都是收電郵 是不是
[00:03:44.080 --> 00:03:45.560]  電郵我也不看了 是不是
[00:03:45.560 --> 00:03:47.920]  我們看的是什麼 貼文 是不是
[00:03:47.920 --> 00:03:50.280]  如果是Emoji 就爆了
[00:03:50.280 --> 00:03:56.160]  你有沒有試過收到一封信是人手寫給你的
[00:03:56.160 --> 00:03:58.080]  很寶貴 是不是
[00:03:58.080 --> 00:04:01.840]  有沒有 什麼時候 什麼時候收到
[00:04:01.840 --> 00:04:04.560]  上個世紀 是不是
[00:04:04.560 --> 00:04:06.240]  有人親手寫信給你
[00:04:06.240 --> 00:04:08.560]  是一些很寶貴 很有價值的東西
[00:04:08.560 --> 00:04:14.200]  當時保羅就是寫這封信給肥立比這個城市裡面的
[00:04:14.200 --> 00:04:16.720]  小型的教會 那個紀錄圖
[00:04:16.720 --> 00:04:19.520]  你看這封書信其實很短的
[00:04:19.520 --> 00:04:22.840]  我們的分段只是四章 四個章節
[00:04:22.840 --> 00:04:26.440]  每章大概是二十多節
[00:04:26.440 --> 00:04:29.560]  你坐在那裡看肥立比書 又看到最後
