
[00:00:00.000 --> 00:00:02.960]  今天我們分享的題目是
[00:00:02.960 --> 00:00:06.160]  憑信得著應許
[00:00:06.160 --> 00:00:10.520]  我不知道大家可能聽過以下的一個故事
[00:00:10.520 --> 00:00:13.900]  有一個人他很渴望去搭郵輪
[00:00:13.900 --> 00:00:16.260]  於是他就很努力存錢
[00:00:16.260 --> 00:00:18.560]  因為郵輪的票是很貴的
[00:00:18.560 --> 00:00:19.660]  他很渴望搭郵輪
[00:00:19.660 --> 00:00:21.600]  於是他很努力工作存錢
[00:00:21.600 --> 00:00:26.560]  他終於存夠錢去買一張郵輪的船票
[00:00:26.560 --> 00:00:30.700]  但是發現買完郵輪的船票之後就沒什麼錢剩下
[00:00:30.700 --> 00:00:33.060]  於是他用剩下來的錢做什麼呢?
[00:00:33.060 --> 00:00:35.960]  就是用來買麵包
[00:00:35.960 --> 00:00:36.960]  為什麼呢?
[00:00:36.960 --> 00:00:37.960]  因為他沒有錢
[00:00:37.960 --> 00:00:38.760]  於是他想
[00:00:38.760 --> 00:00:41.160]  那我上船吃什麼呢?
[00:00:41.160 --> 00:00:43.760]  於是他用那些錢買麵包
[00:00:43.760 --> 00:00:46.460]  就帶著麵包上船
[00:00:46.460 --> 00:00:49.160]  每一天他都很節制的
[00:00:49.160 --> 00:00:52.060]  因為他怕一次過吃光那些麵包
[00:00:52.060 --> 00:00:53.660]  所以每一次吃飯的時候
[00:00:53.660 --> 00:00:56.960]  他都很節制的拿一點麵包出來吃
[00:00:56.960 --> 00:00:58.460]  但是他發現每一次
[00:00:58.460 --> 00:01:04.160]  他都會看見在輪船那裡有一個很豪華的餐廳
[00:01:04.160 --> 00:01:07.560]  裡面的賓客在吃很美味的食物
[00:01:07.560 --> 00:01:11.560]  於是他只可以帶著很羨慕的眼光
[00:01:11.560 --> 00:01:15.660]  去看著裡面的賓客在這麼漂亮的餐廳吃著這麼漂亮的東西
[00:01:15.660 --> 00:01:19.260]  而自己仍然很節制的拿著一點麵包去吃
[00:01:19.260 --> 00:01:20.860]  有一天又是吃飯的時間
[00:01:20.860 --> 00:01:23.460]  於是他又拿出他的麵包在那裡吃
[00:01:23.460 --> 00:01:25.360]  他的眼睛又看著裡面
[00:01:25.360 --> 00:01:27.560]  嘩!這個餐廳真的漂亮
[00:01:27.560 --> 00:01:30.860]  嘩!裡面吃的食物真的棒
[00:01:30.860 --> 00:01:31.960]  就在這個時間
[00:01:31.960 --> 00:01:34.360]  有一個人搭搭他的肩膀就跟他說
[00:01:34.360 --> 00:01:38.560]  先生啊!為什麼你不進去餐廳裡面吃東西啊?
[00:01:38.560 --> 00:01:40.960]  這個人就這樣回應這個乘客
[00:01:40.960 --> 00:01:42.360]  他說因為我沒有錢
[00:01:42.360 --> 00:01:45.660]  我已經用了我所有的積蓄去買這一程的船票
[00:01:45.660 --> 00:01:48.560]  所以我只可以捱麵包
[00:01:48.560 --> 00:01:49.660]  所以我已經買了麵包
[00:01:49.660 --> 00:01:54.460]  我以為這一筒麵包可以頂住我整個旅程
[00:01:54.460 --> 00:01:58.160]  於是這個賓客就露出一個很驚嚇的樣子
[00:01:58.160 --> 00:02:00.060]  其實你不用這樣做的
[00:02:00.060 --> 00:02:01.160]  為什麼?
[00:02:01.160 --> 00:02:05.360]  其實你知不知道船票是包你三餐的
[00:02:05.360 --> 00:02:06.760]  那時候我就說
[00:02:06.760 --> 00:02:08.960]  原來已經包了
[00:02:08.960 --> 00:02:12.260]  有時候有些東西我們都已經包了
[00:02:12.260 --> 00:02:14.260]  不過有時候我們就錯過了
[00:02:14.260 --> 00:02:17.260]  我們最近就去一個地方吃東西
[00:02:17.260 --> 00:02:20.760]  那個餐廳就推出了一個優惠
[00:02:20.760 --> 00:02:24.260]  就是如果你過了一個金額之後
[00:02:24.260 --> 00:02:26.060]  你就會有一個刷刷卡的
[00:02:26.060 --> 00:02:29.560]  那個刷刷卡就會保證有獎
[00:02:29.560 --> 00:02:31.460]  我就聽到旁邊有一對夫婦
[00:02:31.460 --> 00:02:32.460]  他們怎麼送呢?
[00:02:32.460 --> 00:02:34.360]  這邊送了之後他們已經過了金額了
[00:02:34.360 --> 00:02:36.160]  於是司機就說你們過了金額了
[00:02:36.160 --> 00:02:38.460]  一會兒我送一個刷刷卡給你
[00:02:38.460 --> 00:02:40.460]  誰知道這對夫婦的回應是什麼呢?
[00:02:40.460 --> 00:02:43.060]  我們不要這些東西的
[00:02:43.060 --> 00:02:44.160]  為什麼不要?
[00:02:44.160 --> 00:02:46.360]  我們知道你們這些是這樣的
[00:02:46.360 --> 00:02:47.960]  通常送一張刷刷卡給你
[00:02:47.960 --> 00:02:50.260]  刷完之後通常只剩下四個字
[00:02:50.260 --> 00:02:50.760]  怎麼樣?
[00:02:50.760 --> 00:02:52.960]  多謝惠顧
[00:02:52.960 --> 00:02:55.160]  我們不需要這些卡了
[00:02:55.160 --> 00:02:55.960]  但那個侍應就說
[00:02:55.960 --> 00:02:56.460]  不是的
[00:02:56.460 --> 00:02:59.160]  這次我們真的是每張卡都有獎的
[00:02:59.160 --> 00:03:00.460]  我們不要這些東西的
[00:03:00.460 --> 00:03:01.760]  不要了不要了
[00:03:01.760 --> 00:03:02.760]  這樣就不要了
[00:03:02.760 --> 00:03:04.860]  那個侍應就不給他了
[00:03:04.860 --> 00:03:05.960]  當我繼續吃飯的時候
[00:03:05.960 --> 00:03:08.060]  他看到旁邊那張桌子
[00:03:08.060 --> 00:03:08.860]  突然很開心
[00:03:08.860 --> 00:03:10.660]  哇!我刷了我的刷刷卡
[00:03:10.660 --> 00:03:13.460]  原來是有免費飲品的
[00:03:13.460 --> 00:03:14.460]  然後立刻問那個侍應
[00:03:14.460 --> 00:03:16.560]  是不是現在都可以叫了?
[00:03:16.560 --> 00:03:16.960]  侍應就說
[00:03:16.960 --> 00:03:19.260]  是的,你現在可以叫免費飲品了
[00:03:19.260 --> 00:03:20.860]  於是我聽到那兩個夫婦說
[00:03:20.860 --> 00:03:22.160]  哎呀!真是蠢
[00:03:22.160 --> 00:03:25.260]  總之我們剛才都要一張啦
[00:03:25.260 --> 00:03:27.460]  很多時候我們的生命
[00:03:27.460 --> 00:03:29.760]  都會錯過了一些東西的
[00:03:29.760 --> 00:03:30.660]  但是今天你說
[00:03:30.660 --> 00:03:32.960]  如果我錯過了那張刷刷卡
[00:03:32.960 --> 00:03:35.360]  錯過了免費飲品
[00:03:35.360 --> 00:03:37.260]  那也不是很嚴重的事
[00:03:37.260 --> 00:03:39.360]  但是如果今天我們的生命
[00:03:39.360 --> 00:03:41.860]  是錯過了神的應許
[00:03:41.860 --> 00:03:44.160]  錯過了神的豐盛呢?
[00:03:44.160 --> 00:03:45.760]  很多時候我聽弟兄姊妹
[00:03:45.760 --> 00:03:47.360]  他們會說一句話
