
[00:00:00.000 --> 00:00:03.000]  多謝您讓我們能夠再次打開祢的說話
[00:00:03.000 --> 00:00:06.000]  有生命能夠再次研讀主祢的聖經
[00:00:06.000 --> 00:00:10.000]  求祢讓我們有一顆願意接受主道的心
[00:00:10.000 --> 00:00:13.000]  也讓住在我們生命裏面的聖靈
[00:00:13.000 --> 00:00:18.000]  讓我們所聽進的主道都能夠藏在心裏
[00:00:18.000 --> 00:00:20.000]  並且活在每一天
[00:00:20.000 --> 00:00:26.000]  保使我們能夠將主祢的道活活、滑滑地在人的面前展示
[00:00:26.000 --> 00:00:31.000]  求祢讓我們能夠有一份渴望追求主道的心
[00:00:31.000 --> 00:00:33.000]  謙卑在主祢的面前
[00:00:33.000 --> 00:00:37.000]  因為我們知道謙卑的心是主祢所棄予的
[00:00:37.000 --> 00:00:39.000]  求祢的遠愛同在
[00:00:39.000 --> 00:00:42.000]  禱告奉耶穌基督得勝的名次而來
[00:00:42.000 --> 00:00:43.000]  阿門
[00:00:43.000 --> 00:00:51.000]  在剛剛的星期五下午三點左右的時間
[00:00:51.000 --> 00:00:54.000]  在剛剛過去的星期五下午三點左右的時間
[00:00:54.000 --> 00:01:01.000]  就美國也都發生近年最難以令人理解的一件事件
[00:01:01.000 --> 00:01:05.000]  發生在美國最近難以令人理解的事情
[00:01:05.000 --> 00:01:07.000]  根據新聞的報導
[00:01:07.000 --> 00:01:08.000]  根據新聞的報導
[00:01:08.000 --> 00:01:11.000]  有一位青年人
[00:01:11.000 --> 00:01:13.000]  有一位年輕人
[00:01:13.000 --> 00:01:14.000]  二十歲
[00:01:14.000 --> 00:01:15.000]  二十歲
[00:01:15.000 --> 00:01:21.000]  就進入到他母親所教書的一間學校裏面
[00:01:21.000 --> 00:01:24.000]  進入到他母親所教書的學校裏面
[00:01:24.000 --> 00:01:26.000]  帶著兩支槍
[00:01:26.000 --> 00:01:27.000]  帶著兩支槍
[00:01:27.000 --> 00:01:31.000]  然後進入到他媽媽的班房當中
[00:01:31.000 --> 00:01:34.000]  在他母親的教室裏面
[00:01:34.000 --> 00:01:38.000]  當場以行刑的方式殺死他媽媽的學生
[00:01:38.000 --> 00:01:39.000]  總共十八個
[00:01:39.000 --> 00:01:42.000]  當場以行刑的方式殺死他母親的學生十八個
[00:01:42.000 --> 00:01:49.000]  同時間這間學校的校長和心理輔導員聽見這件事的發展
[00:01:49.000 --> 00:01:53.000]  同時間這間學校的校長和心理輔導員聽見這件事的發展
[00:01:53.000 --> 00:01:55.000]  希望阻止這件事情發生
[00:01:55.000 --> 00:01:57.000]  希望阻止這件事情發生
[00:01:57.000 --> 00:02:01.000]  但是最後亦都被這個槍手以行刑的方式將他殺死
