
[00:00:00.000 --> 00:00:03.760]  「靚姐妹」參選的秘密,大家都知道的,是嗎?
[00:00:03.760 --> 00:00:09.160]  你們知不知道「超人」的秘密?
[00:00:09.160 --> 00:00:14.040]  我小的時候,去戲院看「超人」很多集
[00:00:14.040 --> 00:00:19.120]  「超人」的秘密就是它的力量何時消失?
[00:00:19.120 --> 00:00:23.440]  接近那些晶石的時候,就會沒了力量
[00:00:23.440 --> 00:00:25.960]  「靚姐妹」,秘密
[00:00:25.960 --> 00:00:29.120]  人人都有秘密的,是嗎?
[00:00:29.120 --> 00:00:38.080]  你有什麼秘密?
[00:00:38.080 --> 00:00:48.640]  幫我問下隔壁那位有什麼秘密
[00:00:48.640 --> 00:00:51.720]  好,問完了
[00:00:51.720 --> 00:00:55.240]  有沒有人覺得隔壁那位跟你說了秘密?
[00:00:55.240 --> 00:00:59.200]  說來聽聽
[00:00:59.200 --> 00:01:01.200]  OK,說明秘密了,是嗎?
[00:01:01.200 --> 00:01:06.000]  秘密就是秘到密不封口地說出來的
[00:01:06.000 --> 00:01:08.280]  不會說給其他人聽的
[00:01:08.280 --> 00:01:10.960]  說給其他人聽就不是秘密了
[00:01:10.960 --> 00:01:14.600]  所以我們說這是不能說的秘密
[00:01:14.600 --> 00:01:17.240]  「靚姐妹」,今天我們來看一下參選
[00:01:17.240 --> 00:01:20.800]  其實這裡說了自己的秘密出來
[00:01:20.800 --> 00:01:24.560]  我們來看一下今天從參選這個人物
[00:01:24.560 --> 00:01:26.920]  很熟悉,很多人至少
[00:01:26.920 --> 00:01:33.400]  你問小朋友,他們都會參選這個人的事蹟
[00:01:33.400 --> 00:01:35.120]  我們從這個人看一下
[00:01:35.120 --> 00:01:38.040]  今天我們在生活的時候
[00:01:38.040 --> 00:01:41.880]  我們要怎樣去做才能討神的喜悅
[00:01:41.880 --> 00:01:43.280]  不單止討神的喜悅
[00:01:43.280 --> 00:01:47.040]  能夠造就其他人榮耀神
[00:01:47.040 --> 00:01:48.600]  我們怎樣能夠過這個生活呢?
[00:01:48.600 --> 00:01:50.800]  我們從今天這段經文一起去看一下
[00:01:50.800 --> 00:01:57.000]  開始的時候我們再一次禱告
[00:01:57.000 --> 00:02:00.080]  神啊,求祢開我們的眼睛
[00:02:00.080 --> 00:02:02.720]  開我們的耳朵,開我們的心
[00:02:02.720 --> 00:02:04.920]  恭迎神祢的說話
[00:02:04.920 --> 00:02:08.960]  進入我們生命當中,教導我們,造就我們
[00:02:08.960 --> 00:02:12.360]  求神祢親自向我們每一位說話
[00:02:12.360 --> 00:02:15.800]  就在今天這個時間
[00:02:15.800 --> 00:02:18.720]  聽我們的祈禱,奉耶穌基督的聖名求
