
[00:00:00.000 --> 00:00:03.720]  我們一齊在神面前再有祈禱
[00:00:03.720 --> 00:00:15.220]  慈悲天父 我們來到祢面前
[00:00:15.220 --> 00:00:18.180]  求祢引導我們的心
[00:00:18.180 --> 00:00:22.260]  求祢潔淨我們的生命
[00:00:22.260 --> 00:00:29.560]  因為每一刻 我們的思想都在跳躍
[00:00:31.000 --> 00:00:33.960]  我們有很多混雜的思想
[00:00:33.960 --> 00:00:41.560]  也受世界不同的風氣 訊息去影響
[00:00:41.560 --> 00:00:45.600]  但我們願意在祢面前謙卑下來
[00:00:45.600 --> 00:00:48.920]  願祢的話語充滿我們
[00:00:48.920 --> 00:00:51.840]  願祢的聖靈管理我們的生命
[00:00:51.840 --> 00:00:54.080]  求主潔淨我們
[00:00:54.080 --> 00:00:56.480]  讓我們單單仰望祢
[00:00:56.480 --> 00:01:00.440]  讓我們被真理的聖靈充滿
[00:01:00.440 --> 00:01:02.560]  讓我們有清心
[00:01:02.560 --> 00:01:06.360]  可以經歷 可以看見祢
[00:01:06.360 --> 00:01:08.640]  求祢讓我們同在
[00:01:08.640 --> 00:01:11.880]  指教我們理話語
[00:01:11.880 --> 00:01:14.560]  教我們可以更加認識
[00:01:14.560 --> 00:01:17.400]  祢是我們要愛的
[00:01:17.400 --> 00:01:18.960]  我們要尊崇的
[00:01:18.960 --> 00:01:20.960]  我們要敬畏的上帝
[00:01:20.960 --> 00:01:23.400]  求主聽我們祈禱
[00:01:23.400 --> 00:01:25.000]  奉耶穌的聖名
[00:01:27.000 --> 00:01:30.520]  今天來到《小能傳》第四章
[00:01:30.520 --> 00:01:33.120]  上一次我們說到
[00:01:33.120 --> 00:01:37.520]  彼得約翰在美門醫好一個瘸腿
[00:01:37.520 --> 00:01:41.120]  天生跛了腳的一個人
[00:01:41.120 --> 00:01:44.720]  他行了一個大的神蹟
[00:01:44.720 --> 00:01:47.400]  然後他就被那些
[00:01:47.400 --> 00:01:51.400]  抗拒耶穌基督復活的事
[00:01:51.400 --> 00:01:54.560]  或者抗拒彼得約翰所見證
[00:01:54.560 --> 00:02:00.840]  這個復活的耶穌的福音捉拿了
[00:02:00.840 --> 00:02:04.560]  聖經說他們三點鐘上去祈禱
[00:02:04.560 --> 00:02:06.560]  醫好了一個瘸腿的人
[00:02:06.560 --> 00:02:08.680]  因為就快到天晚日落
[00:02:08.680 --> 00:02:13.120]  很多人起哄圍著去讚美神
[00:02:13.120 --> 00:02:15.360]  那些祭司長
[00:02:15.360 --> 00:02:16.760]  守殿的官
[00:02:16.760 --> 00:02:19.560]  和那些民事工會的人
[00:02:19.560 --> 00:02:23.040]  就拘押了他們一晚
[00:02:23.040 --> 00:02:25.160]  到翌日才拿他們出來審
[00:02:25.160 --> 00:02:27.600]  上星期Doris傳道也說了
[00:02:27.600 --> 00:02:28.920]  在審訊裏面
[00:02:28.920 --> 00:02:33.120]  彼得說了一句很經典的說話
[00:02:33.120 --> 00:02:35.720]  他說除了耶穌基督的名
[00:02:35.720 --> 00:02:38.480]  在天下人間沒有次下別的名
[00:02:38.480 --> 00:02:41.320]  可以靠著得救
[00:02:41.320 --> 00:02:44.360]  這句聖經很經典
[00:02:44.360 --> 00:02:45.880]  耶穌的名
[00:02:45.880 --> 00:02:48.280]  他們問祂靠哪個名
[00:02:48.280 --> 00:02:50.360]  靠哪個權柄
[00:02:50.360 --> 00:02:52.920]  或者這個權柄來自哪個名
[00:02:52.920 --> 00:02:55.880]  去做這件神蹟
[00:02:55.880 --> 00:02:58.440]  彼得就回答他
[00:02:58.440 --> 00:03:02.000]  他也引述了聖經在詩篇118篇裏說
[00:03:02.000 --> 00:03:05.680]  將人所棄的頭塊石頭
[00:03:05.680 --> 00:03:08.400]  已經被神所閱納
[00:03:08.400 --> 00:03:09.720]  你們拒絕
[00:03:09.720 --> 00:03:11.880]  你們殺了耶穌
[00:03:11.880 --> 00:03:14.800]  神已經叫他復活
[00:03:14.800 --> 00:03:17.840]  引用詩篇來引證
[00:03:17.840 --> 00:03:21.920]  他所見證從寫這篇復活的耶穌
[00:03:21.920 --> 00:03:23.920]  他就說就是靠這個名
[00:03:23.920 --> 00:03:29.000]  去行這件善事
[00:03:29.000 --> 00:03:30.600]  來到這段經文
[00:03:30.600 --> 00:03:33.320]  如果你留意到四章十九二十節
[00:03:33.320 --> 00:03:35.320]  有一節很經典的說話
[00:03:35.320 --> 00:03:36.480]  彼得就說
[00:03:36.480 --> 00:03:37.840]  你們自己想想
[00:03:37.840 --> 00:03:39.040]  聽你們
[00:03:39.040 --> 00:03:40.880]  還是聽神
[00:03:40.880 --> 00:03:42.480]  哪一樣合理
[00:03:42.480 --> 00:03:43.600]  你自己說了
[00:03:43.600 --> 00:03:45.320]  你自己判斷了
[00:03:45.320 --> 00:03:47.760]  聽從神還是聽從人
[00:03:47.760 --> 00:03:49.160]  哪一個合理
[00:03:49.160 --> 00:03:51.600]  你自己判斷了
[00:03:51.600 --> 00:03:53.360]  這樣看這句說話
[00:03:53.360 --> 00:03:56.520]  我們當然說
[00:03:56.520 --> 00:04:00.120]  聽從神當然是合理一些
[00:04:00.120 --> 00:04:02.520]  神一定是高於人
[00:04:02.520 --> 00:04:06.520]  一定是比人合理
[00:04:06.520 --> 00:04:10.200]  但是聽從人和聽從神
[00:04:10.200 --> 00:04:12.640]  對我們現實一點來說
[00:04:12.640 --> 00:04:16.880]  你覺得哪一樣比較容易呢?
[00:04:16.880 --> 00:04:18.800]  是不是風扇厲害
[00:04:18.800 --> 00:04:21.160]  很多人有反應
[00:04:21.160 --> 00:04:22.760]  支持一下
[00:04:22.760 --> 00:04:27.040]  這風扇可能要調小一點
[00:04:27.040 --> 00:04:30.240]  我想問
[00:04:30.240 --> 00:04:34.080]  聽人說容易些還是聽神說容易些?
[00:04:34.080 --> 00:04:35.680]  聽聽說些什麼
[00:04:35.680 --> 00:04:36.640]  是不是
[00:04:36.640 --> 00:04:38.320]  如果神說祝福你
[00:04:38.320 --> 00:04:40.640]  神賜福給你
[00:04:40.640 --> 00:04:44.080]  神要給你最好的東西
[00:04:44.080 --> 00:04:46.360]  多好啊
[00:04:46.360 --> 00:04:47.880]  有時我們會說
[00:04:47.880 --> 00:04:51.360]  神有時的要求很高
[00:04:51.360 --> 00:04:53.000]  我怕我做不到
[00:04:53.000 --> 00:04:55.160]  人的要求可能沒那麼高
[00:04:55.160 --> 00:04:56.560]  想著想著
[00:04:56.560 --> 00:04:58.160]  都不是
