
[00:00:00.000 --> 00:00:03.680]  好 讓我們一同低頭來禱告
[00:00:03.680 --> 00:00:05.480]  天父上帝我們感謝你
[00:00:05.480 --> 00:00:07.160]  在主日我們敬拜你
[00:00:07.160 --> 00:00:08.560]  我們也在一起團契
[00:00:08.560 --> 00:00:10.240]  同時也在主你的話語當中
[00:00:10.240 --> 00:00:11.680]  我們彼此的分享
[00:00:11.680 --> 00:00:13.320]  求主你的靈與我們同在
[00:00:13.320 --> 00:00:15.240]  講的聽的都求主憐憫
[00:00:15.240 --> 00:00:17.000]  禱告奉耶穌基督的名
[00:00:17.000 --> 00:00:17.640]  阿彌陀佛
[00:00:17.640 --> 00:00:21.360]  作爲基督徒呢
[00:00:21.360 --> 00:00:25.240]  我們需要知道神是期望他的子民
[00:00:25.240 --> 00:00:29.960]  以什麼樣的態度來度過人生的風風雨雨
[00:00:29.960 --> 00:00:33.080]  主耶穌講過一個比喻
[00:00:33.080 --> 00:00:36.040]  他將聆聽並遵從神話的人
[00:00:36.040 --> 00:00:41.040]  欲做把他人生的根基建立在盤池上
[00:00:41.040 --> 00:00:42.320]  好像一個房子一樣
[00:00:42.320 --> 00:00:44.680]  即使發大水也不會被沖垮
[00:00:44.680 --> 00:00:48.240]  在西伯蘭書當中也有一幅畫面
[00:00:48.240 --> 00:00:52.880]  形容有神賜下的救贖應許的人
[00:00:52.880 --> 00:00:55.080]  就好像是在風浪當中
[00:00:55.080 --> 00:00:57.160]  但是因着這個毛
[00:00:57.160 --> 00:01:00.680]  這艘風浪當中的船呢也非常的穩妥
[00:01:00.680 --> 00:01:04.480]  我再請大家回想一下呢
[00:01:04.480 --> 00:01:06.400]  神在患難當中
[00:01:06.400 --> 00:01:11.000]  預備了約瑟一項的非常重要的品格
[00:01:11.000 --> 00:01:14.840]  那就是無論在處在怎樣的人生的境況當中
[00:01:14.840 --> 00:01:15.760]  是順境也好
[00:01:15.760 --> 00:01:17.280]  還是逆境也好呢
[00:01:17.280 --> 00:01:20.320]  他都能夠忠心的做事
[00:01:20.320 --> 00:01:22.920]  顯然的聖經教導神的百姓呢
[00:01:22.920 --> 00:01:25.960]  要有一個內在的一種定力啊
[00:01:25.960 --> 00:01:27.680]  生命當中的核心的部分呢
[00:01:27.680 --> 00:01:30.720]  是不可以變的
[00:01:30.720 --> 00:01:33.840]  不受外在環境影響的
[00:01:33.840 --> 00:01:38.600]  一般的我們把這種我們人裏面這種雷打不動的部分呢
[00:01:38.600 --> 00:01:40.720]  叫做原則
[00:01:40.720 --> 00:01:45.480]  所以今天的我們分享這這段馬拉基書的最後這段經文呢
[00:01:45.480 --> 00:01:48.120]  其實盤石毛和原則呢
[00:01:48.120 --> 00:01:51.040]  就形成了三個非常重要的畫面
[00:01:51.040 --> 00:01:52.680]  好
[00:01:52.680 --> 00:01:58.320]  這是我們今天所說的第六個神域馬拉西書的最後一個神域主題呢
[00:01:58.320 --> 00:02:02.680]  就是關於靜前聖經的所講真理呢
[00:02:02.680 --> 00:02:08.120]  總會是會落在我們生活的實處的那靜前呢
[00:02:08.120 --> 00:02:12.680]  指涉的就是與神有一種正常的恰當的關係
[00:02:12.680 --> 00:02:16.680]  包括了我們內在的一個心態和我們外面的行動
[00:02:16.680 --> 00:02:19.640]  這段經文當中的神呼籲
[00:02:19.640 --> 00:02:24.280]  我們是不管外在的環境是多麼的動盪
[00:02:24.280 --> 00:02:25.800]  但是神的子民呢
[00:02:25.800 --> 00:02:28.600]  不可以改變你生命的靜前
[00:02:28.600 --> 00:02:38.080]  那麼在最後這則神域當中的神重生對以色列民的愛和他約裏面的檢選
[00:02:38.080 --> 00:02:42.280]  針對他們對於神最苛刻的提問就是有什麼益處呢
[00:02:42.280 --> 00:02:46.320]  我跟隨你而提出了一個終極的挑戰
[00:02:46.320 --> 00:02:48.880]  就是我們要認真地思考
[00:02:48.880 --> 00:02:51.240]  那日的光景來日
[00:02:51.240 --> 00:02:52.920]  我中間會跟大家分享
[00:02:52.920 --> 00:02:54.360]  就是要認真思考
[00:02:54.360 --> 00:03:00.760]  那日的觀景來謹慎的面對今天是奉與否的抉擇
[00:03:00.760 --> 00:03:04.480]  所以我想基督徒的末世論呢
