
[00:00:00.000 --> 00:00:04.640]  觀眾姐妹,今天要跟大家分享的是聖券在握的人生。
[00:00:04.640 --> 00:00:11.680]  我在禱告的時候,我求上帝讓我明白要怎麼樣跟大家分享我們的人生呢?
[00:00:11.680 --> 00:00:20.560]  這個人生呢,我最近的體會是高高低低,人生是多麼的複雜。
[00:00:20.560 --> 00:00:25.840]  有喜樂的時候,有哀傷的時候,有開心的時候,有痛苦的時候。
[00:00:25.840 --> 00:00:31.760]  但是人生怎麼樣才算成功呢?怎麼樣才算是聖券在握呢?
[00:00:31.760 --> 00:00:37.840]  你的人生成功嗎?你覺得你的人生成功嗎?成功的定義是什麼呢?
[00:00:37.840 --> 00:00:45.520]  我就看了一些網上的標誌,字太小了,你看不見標誌,大概我們都很熟悉的。
[00:00:45.520 --> 00:00:52.320]  有些人就喜歡把人生看成是你有沒有passion,夠不夠熱忱。
[00:00:52.320 --> 00:00:58.080]  你做事情有沒有找到你真的喜歡做的事,夠不夠那個passion。
[00:00:58.080 --> 00:01:07.360]  有找到的話呢,你就覺得我的生命很幸福了,再怎麼辛苦呢,我都不覺得辛苦,我只是覺得辛勞,那就是passion。
[00:01:07.360 --> 00:01:12.560]  又或者呢,你有沒有一些事,你找到人生目標呢,有沒有定下目標,
[00:01:12.560 --> 00:01:18.560]  然後這個目標呢,你就一件一件的去達成,那你就很開心了對不對。
[00:01:18.560 --> 00:01:24.080]  那麼我們也這樣教我們的小朋友,讓他們學習小時候有小時候的目標,
[00:01:24.080 --> 00:01:33.760]  你到了青少年的時候,你應該有別的目標了,慢慢教他培養,追求一些人生的目標,找到就好像很幸福很成功。
[00:01:33.760 --> 00:01:40.320]  第三方面呢,就是人生有沒有意義呢?我們知不知道我們為什麼活在這個世界上呢?
[00:01:40.320 --> 00:01:47.600]  到底我們所做的事情,到頭來,到最後,意義何在?有沒有意義?
[00:01:47.600 --> 00:01:52.880]  第四方面呢,就是有些人說要有成功人生呢,我們要有好的教育。
[00:01:52.880 --> 00:01:59.760]  我們現在都知道,這是知識型的社會,但是你的知識就影響了你自己的決定,
[00:01:59.760 --> 00:02:12.400]  你決定或者是你自己的學歷就能夠帶你去你要做的事情,所以知識也帶來一些的改變,命運的改變,所以教育也是很重要,所以這是另外一方面。
[00:02:12.400 --> 00:02:20.480]  第五呢,就是你能不能夠很有智慧地來管理你的財務,這個技能呢?
[00:02:20.480 --> 00:02:27.120]  你就算有錢,但是你沒有這個智慧來管理你的財務呢,可能也是很痛苦,對不對?
[00:02:27.120 --> 00:02:32.880]  那麼第六呢,是管理時間,你能不能夠管理好你的時間呢?
[00:02:32.880 --> 00:02:40.320]  不然你想做的事情,你因為沒有把時間管理好呢,都做不到,本來就是這麼近就已經達到了,
[00:02:40.320 --> 00:02:44.560]  但是因為你沒有把時間管理好,想做的事情也做不到。
[00:02:44.560 --> 00:02:50.400]  第七呢,有些人說,成功幸福人生就是能夠活在什麼呢?當下。
[00:02:50.400 --> 00:03:03.760]  你能不能夠享受當下呢?而不是一味地在追逐前面的一個所謂的未來,但是你不斷地去到那個位的時候,你發現還有一個未來,我還在追逐,我還在不斷地追逐。
[00:03:03.760 --> 00:03:13.120]  但是從來沒有真正地享受過當下,跟家人的時間,跟自己的時間,或者跟朋友的時間,從來沒有享受當下。
[00:03:13.120 --> 00:03:19.280]  所以有些人說呢,能夠享受當下呢,才是一個幸福成功的人生。
[00:03:19.280 --> 00:03:38.400]  第八個呢,就是你有沒有忠於自己,不需要跟其他人比較,那麼就是能夠在自己認識自己的過程裡面,明白自己是一個怎樣的人,而且很自在,很舒服。
[00:03:38.400 --> 00:03:44.240]  有些人認為這樣呢,已經是一個成功滿意的人生了,這些都很有道理對不對?
[00:03:44.240 --> 00:04:03.440]  那麼第九樣呢,是說到你能不能夠是一個感恩的人,有些人因為感恩就覺得幸福感很強了對不對,幸福感很強,那就很滿足了,就覺得我的生活情況怎樣都無所謂,我只要是一個感恩的人,我就是一個幸福的人,這當中也有它的道理。
[00:04:03.440 --> 00:04:20.480]  最後就是健康,到底我有沒有健康,這個是我們最熟悉的對吧,我們說健康就是我們最大的財富,因為我們知道一旦病了,很多事情都沒有辦法去想像了,那麼我們知道健康很重要。
[00:04:20.480 --> 00:04:42.880]  我在想呢,剛才我說的這十樣東西呢,很多都是我們都看到當中它有道理的,我們都有嘗試過,我們都有成功過,但是我想問我們有沒有失敗過呢?我們也有失敗過。
[00:04:42.880 --> 00:04:59.280]  就算是成功過,那一種的滿足感能夠持續多久呢?能夠持續多久呢?到底聖卷在握的人生,從聖經的角度來看,是一個怎樣的人生呢?
[00:04:59.280 --> 00:05:08.480]  上帝怎樣看我們的人生,以致我們活在這個世界上的時候,是真的成功,真的幸福呢?
[00:05:08.480 --> 00:05:30.480]  不如我們就想一想,到底人生裡面有哪一些的障礙是讓我們事與願違的,以致我們這個儘管前面我們有十種的方法,能夠想要追逐一個幸福成功的人生,但是如果這些因素發生了,就會影響了我們這個成功。
[00:05:30.480 --> 00:05:41.080]  我們看,第一個就是很普遍的,當我們的計劃失敗了,我們就面臨一些痛苦了。
[00:05:41.080 --> 00:06:05.080]  我記得呢,我在尋求上帝的旨意的時候,我不清楚到底我要來教會,還是要在神學院教書。在整個尋求的過程中,上帝就為我開門了,神學院的老師就邀請我去讀博士,我就開始去鑽研,去研究。
[00:06:05.080 --> 00:06:24.080]  開始的過程是非常順利的,可是慢慢慢慢呢,我就覺得,這個不像是我要做的事情啊,這個不像是我的性格,開始的時候,做的時候就很痛苦,可是呢,因著一個責任呢,我就不斷地去做。
[00:06:24.080 --> 00:06:38.080]  可是怎麼做呢?我就是不能夠在某一些位呢,來突破,來完成它。那種感覺呢,是失敗了,很沮喪,失敗會帶給我們人生一種沮喪。
[00:06:38.080 --> 00:06:51.080]  第二方面呢,會衝擊我們的人生的是什麼呢?疾病。這個是很簡單的,我們都能理解。我相信你有認識一些朋友,很年輕,又患上了嚴重的疾病。
