
[00:00:00.000 --> 00:00:02.000]  日子過得好快
[00:00:02.000 --> 00:00:06.000]  七一紀念的回歸
[00:00:06.000 --> 00:00:10.000]  也正正告訴我半年的日子也過了
[00:00:10.000 --> 00:00:12.000]  半年
[00:00:12.000 --> 00:00:14.000]  2017年就過了半年
[00:00:14.000 --> 00:00:16.000]  那這半年去哪了呢?
[00:00:16.000 --> 00:00:19.000]  不知道大英姐妹在思考的時候
[00:00:19.000 --> 00:00:22.000]  這半年我為主做了些什麼呢?
[00:00:22.000 --> 00:00:25.000]  我有沒有向身邊一個
[00:00:25.000 --> 00:00:28.000]  至親或我相識的朋友或同學同事
[00:00:28.000 --> 00:00:31.000]  分享過自己為什麼會信耶穌
[00:00:31.000 --> 00:00:35.000]  這個福音對你的生命造成什麼影響
[00:00:35.000 --> 00:00:38.000]  香港人很忙
[00:00:38.000 --> 00:00:41.000]  我在長洲比較安書
[00:00:41.000 --> 00:00:43.000]  比較離島
[00:00:43.000 --> 00:00:46.000]  但現在週末日都不要來長洲
[00:00:46.000 --> 00:00:47.000]  我經常跟別人說
[00:00:47.000 --> 00:00:49.000]  你變成去了旺角
[00:00:49.000 --> 00:00:51.000]  如果公共假期你千萬不要來
[00:00:51.000 --> 00:00:54.000]  情願長者拿兩元優惠坐船
[00:00:54.000 --> 00:00:57.000]  平日進來逛逛也不錯
[00:00:57.000 --> 00:01:00.000]  空氣好一點沒什麼車
[00:01:00.000 --> 00:01:02.000]  當我突出去灣仔
[00:01:02.000 --> 00:01:04.000]  哇人煙稠密
[00:01:04.000 --> 00:01:05.000]  個個都很匆忙
[00:01:05.000 --> 00:01:07.000]  只是去了IFC那條路
[00:01:07.000 --> 00:01:09.000]  已經是整個廣場的人
[00:01:09.000 --> 00:01:10.000]  我衝了出來
[00:01:10.000 --> 00:01:12.000]  哇為什麼人們的腳步
[00:01:12.000 --> 00:01:17.000]  好像衝鋒陷陣地向前走
[00:01:17.000 --> 00:01:20.000]  香港人見到面通常
[00:01:20.000 --> 00:01:22.000]  忙忙呀
[00:01:22.000 --> 00:01:24.000]  最近忙些什麼呀
[00:01:24.000 --> 00:01:27.000]  通常別人會回答
[00:01:27.000 --> 00:01:28.000]  就是這樣
[00:01:28.000 --> 00:01:30.000]  很無奈的
[00:01:30.000 --> 00:01:32.000]  那種忙碌的生活
[00:01:32.000 --> 00:01:35.000]  星期一通常情緒低落一點
[00:01:35.000 --> 00:01:37.000]  有整個星期
[00:01:37.000 --> 00:01:38.000]  星期五開心一點
[00:01:38.000 --> 00:01:40.000]  快週末了
[00:01:40.000 --> 00:01:43.000]  每一年安排自己的目標
[00:01:43.000 --> 00:01:44.000]  什麼時候放假
[00:01:44.000 --> 00:01:46.000]  什麼時候去旅行
[00:01:46.000 --> 00:01:48.000]  好像有種攤頭
[00:01:48.000 --> 00:01:51.000]  一種給自己短期的希望
[00:01:51.000 --> 00:01:53.000]  大家的堂會很特別
[00:01:53.000 --> 00:01:55.000]  新希望
[00:01:55.000 --> 00:01:58.000]  都是一個希望的時間
[00:01:58.000 --> 00:02:00.000]  在好幾個月前
[00:02:00.000 --> 00:02:01.000]  我在A9
[00:02:01.000 --> 00:02:03.000]  我們醫院有16個病房
[00:02:03.000 --> 00:02:06.000]  A9是骨科的病房
[00:02:06.000 --> 00:02:09.000]  我探到一位八百九十幾歲
[00:02:09.000 --> 00:02:11.000]  那位伯伯我走過去
[00:02:11.000 --> 00:02:12.000]  聊著聊著
[00:02:12.000 --> 00:02:15.000]  他說我幫人是不是幫錯了
[00:02:15.000 --> 00:02:16.000]  很奇怪
[00:02:16.000 --> 00:02:17.000]  為什麼他這樣問我呢
[00:02:17.000 --> 00:02:19.000]  原來他就在灣仔過馬路
[00:02:19.000 --> 00:02:23.000]  早上11點多他每天都如是
[00:02:23.000 --> 00:02:26.000]  去他護老院探望他太太
[00:02:26.000 --> 00:02:28.000]  他太太中了風
[00:02:28.000 --> 00:02:32.000]  丈夫每天去陪她吃午餐
[00:02:32.000 --> 00:02:34.000]  這個丈夫很難得
[00:02:34.000 --> 00:02:36.000]  陪到晚上八點才走
[00:02:36.000 --> 00:02:37.000]  吃完晚飯
[00:02:37.000 --> 00:02:39.000]  他直接搭乘在護老院
[00:02:39.000 --> 00:02:42.000]  這個伯伯就在過馬路如常
[00:02:42.000 --> 00:02:44.000]  在他前面有一個婦女
[00:02:44.000 --> 00:02:46.000]  六十幾歲
[00:02:46.000 --> 00:02:47.000]  暈了
