
[00:00:00.000 --> 00:00:06.240]  我想問大家有沒有看過《名人傳記》
[00:00:06.240 --> 00:00:08.800]  我留意到
[00:00:08.800 --> 00:00:15.480]  名人的事業都有一個起飛點
[00:00:15.480 --> 00:00:20.600]  就好像飛機在跑道離地升空那一刻
[00:00:20.600 --> 00:00:25.400]  起飛成功就斷定了他一生的事業
[00:00:25.400 --> 00:00:29.400]  如果不成功就糟糕了
[00:00:29.400 --> 00:00:34.320]  我想放映幾個名人的照片給你看
[00:00:34.320 --> 00:00:38.160]  看你認為他的起飛點在哪裏
[00:00:38.160 --> 00:00:41.560]  拿破崙,法國很出名的人物
[00:00:41.560 --> 00:00:45.720]  其實我對拿破崙都很有興趣很尊重他
[00:00:45.720 --> 00:00:48.400]  我很喜歡看歷史
[00:00:48.400 --> 00:00:52.320]  大家認為他的起飛點在何時呢
[00:00:52.320 --> 00:00:57.240]  有人說是土崙之役1793年
[00:00:57.240 --> 00:01:00.360]  他帶領一個炮兵團隊一炮成雄
[00:01:00.360 --> 00:01:02.840]  繼而統治法國
[00:01:02.840 --> 00:01:05.320]  接著統治了大半個歐洲
[00:01:05.320 --> 00:01:09.600]  直到他在滑鐵盧之役
[00:01:09.600 --> 00:01:15.800]  輸了,然後被放逐到St Helena這個島那裏
[00:01:15.800 --> 00:01:22.040]  那時土崙之役他是24歲
[00:01:22.040 --> 00:01:29.120]  牧師太遙遠了,可不可以近一點,蔣介石,蔣介石近一點
[00:01:29.120 --> 00:01:35.320]  其實蔣介石是一個在中國歷史上很重要的人物
[00:01:35.320 --> 00:01:39.440]  他統一中國,百佛成功
[00:01:39.440 --> 00:01:42.440]  然後帶領中國經歷過八年抗戰
[00:01:42.440 --> 00:01:45.040]  他曾經有兩次想自殺
[00:01:45.040 --> 00:01:46.440]  他是一個基督徒
[00:01:46.440 --> 00:01:51.520]  因為他太太影響他成為信耶穌的人
[00:01:51.520 --> 00:01:55.960]  但他也勝過了自殺的念頭
[00:01:55.960 --> 00:01:57.760]  是一個很重要的人物
[00:01:57.760 --> 00:02:03.040]  你覺得他的起飛點在哪裏呢
[00:02:03.040 --> 00:02:10.320]  我認為是1924年黃埔軍校設立的時候
[00:02:10.320 --> 00:02:13.920]  孫中山委任蔣介石為校長
[00:02:13.920 --> 00:02:17.840]  當時的校長很受尊重
[00:02:17.840 --> 00:02:20.360]  每個學生見到他都要鞠躬敬禮
[00:02:20.360 --> 00:02:23.320]  學生畢業就做軍官,做將軍
[00:02:23.320 --> 00:02:25.200]  他就是將軍的將軍
[00:02:25.200 --> 00:02:28.320]  所以這就是他人生的起飛點
[00:02:28.320 --> 00:02:31.440]  現在的學生對校長不太尊重
