
[00:00:00.000 --> 00:00:03.020]  通常我們每次講到都要回帶
[00:00:03.020 --> 00:00:06.560]  講回先前的童宮講過什麼
[00:00:06.560 --> 00:00:10.480]  如果大家記得十二章是一個新的段落
[00:00:10.480 --> 00:00:14.500]  先前一至十一章可能聽到頭都暈
[00:00:14.500 --> 00:00:18.480]  很多的概念、神學的思想
[00:00:18.480 --> 00:00:20.980]  來到十二章我盼望我們
[00:00:20.980 --> 00:00:24.580]  將我們所聽過
[00:00:24.580 --> 00:00:27.060]  一些藏在我們心裡邊境
[00:00:27.060 --> 00:00:29.440]  我們所信的信仰的基要
[00:00:29.440 --> 00:00:31.040]  如何走出來
[00:00:31.040 --> 00:00:33.740]  這正是保羅在十二章
[00:00:33.740 --> 00:00:35.880]  希望帶給我們的訊息
[00:00:35.880 --> 00:00:38.420]  所以在十二章一開始
[00:00:38.420 --> 00:00:40.880]  他就勸勉信徒要怎樣呢
[00:00:40.880 --> 00:00:44.020]  獻上生命為活祭
[00:00:44.020 --> 00:00:47.700]  當我們已經蒙恩得救了
[00:00:47.700 --> 00:00:50.020]  我相信這裡每一個或者很多弟兄姊妹
[00:00:50.020 --> 00:00:51.580]  我們都得著這個救恩
[00:00:51.580 --> 00:00:53.120]  接著怎樣呢
[00:00:53.120 --> 00:00:57.700]  我們的生命要被聖靈更新、轉化
[00:00:58.660 --> 00:01:00.700]  去到十二章三至八節
[00:01:00.700 --> 00:01:02.700]  上一次何牧師跟我們講
[00:01:02.700 --> 00:01:07.100]  他說我們要看自己看得合乎中度
[00:01:07.100 --> 00:01:09.500]  不要過於所當看
[00:01:09.500 --> 00:01:11.660]  我們要謙卑
[00:01:11.660 --> 00:01:15.140]  以致我們能夠在教會有不同的恩賜、不同的人
[00:01:15.140 --> 00:01:16.900]  我們能夠彼此去配搭
[00:01:16.900 --> 00:01:18.500]  合一地去服侍
[00:01:18.500 --> 00:01:22.340]  來到第九節
[00:01:22.340 --> 00:01:26.860]  一開始保羅就說「愛不可虛假」
[00:01:28.540 --> 00:01:31.380]  你會發現其實保羅這個邏輯
[00:01:31.380 --> 00:01:36.460]  跟他在哥林多前書十二至十三章
[00:01:36.460 --> 00:01:38.700]  很一致性
[00:01:38.700 --> 00:01:40.540]  大家記不記得十二章他講什麼
[00:01:40.540 --> 00:01:42.220]  他說我們有不同的恩賜
[00:01:42.220 --> 00:01:44.660]  有些使徒、有先知、有教師
[00:01:44.660 --> 00:01:48.540]  有行義能的、有醫治趕鬼等等
[00:01:48.540 --> 00:01:51.460]  但他說基督的身體只是一個
[00:01:51.460 --> 00:01:53.580]  我們只不過是按著不同的恩賜
[00:01:53.580 --> 00:01:55.460]  各為做肢體
[00:01:55.460 --> 00:01:57.340]  在神的教會裡
[00:01:57.340 --> 00:01:58.980]  去建立
[00:01:58.980 --> 00:02:02.100]  到最後十二章最後那一節
[00:02:02.100 --> 00:02:03.020]  很精彩
[00:02:03.020 --> 00:02:05.740]  亦給我一個很大的提醒
[00:02:05.740 --> 00:02:08.260]  沒錯,我們都希望神給我們有不同的恩賜
[00:02:08.260 --> 00:02:10.420]  去服侍教會
[00:02:10.420 --> 00:02:13.860]  我看到他有這個恩賜,我很羨慕
[00:02:13.860 --> 00:02:15.580]  他禱告很有力
[00:02:15.580 --> 00:02:20.220]  他敬拜能夠帶領我們去到神的面前
[00:02:20.220 --> 00:02:22.180]  我們很想有這些恩賜
[00:02:22.180 --> 00:02:23.900]  但他說最大的恩賜
[00:02:23.900 --> 00:02:25.660]  我們要切切地求
[00:02:25.660 --> 00:02:28.260]  切切地求是什麼呢?
[00:02:28.260 --> 00:02:29.940]  十三章他就說
[00:02:29.940 --> 00:02:31.780]  如果十三章大家知道
[00:02:31.780 --> 00:02:33.340]  是一個愛的篇章
[00:02:33.340 --> 00:02:35.980]  愛是恆久忍耐等等
[00:02:35.980 --> 00:02:37.140]  不過最後他說
[00:02:37.140 --> 00:02:40.340]  如今常傳的有信、有望、有愛
[00:02:40.340 --> 00:02:43.860]  這三樣其中最大的是愛
[00:02:43.860 --> 00:02:45.940]  所以給我很大的提醒就是
[00:02:45.940 --> 00:02:48.500]  其實我們需要更加切勿
[00:02:48.500 --> 00:02:50.980]  最大的恩賜、最重要的恩賜
[00:02:50.980 --> 00:02:54.580]  是一份愛
[00:02:54.580 --> 00:02:56.940]  所以在九詔十六節
