
[00:00:00.000 --> 00:00:02.660]  在我讀中學御科的時候
[00:00:02.660 --> 00:00:06.880]  有一個很聰明的同學
[00:00:06.880 --> 00:00:12.540]  他讀科學、理科是很厲害的
[00:00:12.540 --> 00:00:20.260]  他想去劍橋讀自然科學
[00:00:20.260 --> 00:00:28.100]  眾所周知自然科學是一個很難入的科目
[00:00:30.000 --> 00:00:33.840]  很多很出色的科學家他們都是讀這個科的
[00:00:33.840 --> 00:00:39.200]  很多非常著名的科學家都是讀這個科的
[00:00:39.200 --> 00:00:42.700]  所以這位同學就去報名
[00:00:42.700 --> 00:00:46.360]  得到一個面試
[00:00:46.360 --> 00:00:49.120]  因為他修生不只是看成績的
[00:00:49.120 --> 00:00:51.340]  因為他是招生的,不是只看成績
[00:00:51.340 --> 00:00:52.860]  成績當然要好
[00:00:52.860 --> 00:00:54.540]  成績當然要非常好
[00:00:54.540 --> 00:00:56.020]  但是最重要的是面試
[00:00:56.020 --> 00:00:57.520]  最重要的是面試
[00:00:57.520 --> 00:01:02.420]  因為他選擇一些很有啟發性、很創意的學生
[00:01:02.420 --> 00:01:11.920]  而且很懂得在深層次分析一些事物
[00:01:11.920 --> 00:01:17.880]  去完面試回來我就問他
[00:01:17.880 --> 00:01:19.880]  究竟問了什麼高深的問題
[00:01:24.840 --> 00:01:29.960]  他說其中一個問題就是問我1+1等於多少
[00:01:29.960 --> 00:01:34.520]  我心想這些幼稚園都認識
[00:01:34.520 --> 00:01:39.080]  後面那幾個嬰兒都認識
[00:01:39.080 --> 00:01:43.080]  我說你怎麼回答他
[00:01:43.080 --> 00:01:47.640]  當然他不會懷疑
[00:01:47.640 --> 00:01:51.640]  他說「我想了一會兒」
[00:01:51.640 --> 00:01:56.120]  我說「你想他等於多少都可以」
[00:01:56.120 --> 00:02:02.040]  他似乎這兩個「1」是否都是相等的
[00:02:02.040 --> 00:02:07.640]  我開始很高深了
[00:02:07.640 --> 00:02:09.640]  我心想
[00:02:09.640 --> 00:02:11.640]  我說「1」就「1」,「2」就「2」
[00:02:11.640 --> 00:02:13.640]  不要「阿G」「阿Jor」
[00:02:13.640 --> 00:02:19.640]  傳道警告,不要說太多香港潮語
[00:02:19.640 --> 00:02:21.640]  又有翻譯
[00:02:21.640 --> 00:02:25.640]  我說「願聞其詳」
[00:02:25.640 --> 00:02:27.640]  解釋一下可不可以
[00:02:27.640 --> 00:02:31.640]  這位同學就說
[00:02:31.640 --> 00:02:33.640]  例如煮飯
[00:02:33.640 --> 00:02:35.640]  「阿G」要一個鐘頭才煮好
[00:02:35.640 --> 00:02:39.640]  「阿Yu」要一個鐘頭
[00:02:39.640 --> 00:02:43.640]  如果他們一起煮一頓飯
[00:02:43.640 --> 00:02:45.640]  會有多少呢
[00:02:47.640 --> 00:02:49.640]  「1+1=2」
[00:02:49.640 --> 00:02:51.640]  即是他們可以節省一半時間
[00:02:51.640 --> 00:02:55.640]  當然是半小時
[00:02:55.640 --> 00:02:59.640]  他說「不是」
[00:02:59.640 --> 00:03:01.640]  如果他們兩個配合得好
[00:03:01.640 --> 00:03:05.640]  有一個協同效應
[00:03:05.640 --> 00:03:07.640]  英文是synergy
[00:03:07.640 --> 00:03:11.640]  「1+1=2」
[00:03:11.640 --> 00:03:13.640]  因為他們配合得好
[00:03:15.640 --> 00:03:17.640]  通常不用半小時
[00:03:17.640 --> 00:03:19.640]  煮一頓飯
[00:03:19.640 --> 00:03:23.640]  「但是」
[00:03:23.640 --> 00:03:25.640]  他又很高深
[00:03:25.640 --> 00:03:27.640]  就像做實驗一樣
[00:03:27.640 --> 00:03:29.640]  有些限制的因素
[00:03:29.640 --> 00:03:35.640]  例如你煲水要五分鐘
[00:03:35.640 --> 00:03:37.640]  不會因為兩個人去煲
[00:03:37.640 --> 00:03:39.640]  就變成時間短一點
[00:03:43.640 --> 00:03:45.640]  聽到就覺得很煩
[00:03:45.640 --> 00:03:49.640]  煮一頓飯也有這麼多學問
[00:03:49.640 --> 00:03:53.640]  我好很多
[00:03:53.640 --> 00:03:57.640]  我又想到一些奇怪的事情
[00:03:57.640 --> 00:04:01.640]  如果你們兩個是神級的隊友
[00:04:01.640 --> 00:04:05.640]  但通常我是豬一般的隊友
[00:04:05.640 --> 00:04:09.640]  如果他和我倒車打破東西
[00:04:09.640 --> 00:04:11.640]  怎會20分鐘完成呢
[00:04:13.640 --> 00:04:15.640]  不可能有20分鐘就可以
[00:04:15.640 --> 00:04:19.640]  1+1可以小於2
[00:04:19.640 --> 00:04:23.640]  結果他進了劍橋
[00:04:23.640 --> 00:04:27.640]  結果我這麼多口就不會進了
[00:04:27.640 --> 00:04:33.640]  這個synergy
[00:04:33.640 --> 00:04:35.640]  就是今天我們所說的
[00:04:35.640 --> 00:04:37.640]  互相效力
[00:04:37.640 --> 00:04:41.640]  希臘文一個字叫synergy
[00:04:41.640 --> 00:04:43.640]  就是協同效應
[00:04:43.640 --> 00:04:49.640]  羅馬書八章二十八節說
[00:04:49.640 --> 00:04:51.640]  你們知道萬事都互相效力
[00:04:51.640 --> 00:04:59.640]  就是說到萬事都要互相效力
[00:04:59.640 --> 00:05:03.640]  不是只是煮一頓飯兩個人效力
[00:05:03.640 --> 00:05:07.640]  不是十個人效力
[00:05:09.640 --> 00:05:11.640]  所有東西都會有互相效力
[00:05:11.640 --> 00:05:19.640]  因為萬事原文是希臘文叫panta
[00:05:19.640 --> 00:05:25.640]  panta這個字是希臘文
[00:05:25.640 --> 00:05:27.640]  就是解釋所有
[00:05:27.640 --> 00:05:31.640]  英文是all things
[00:05:31.640 --> 00:05:33.640]  是全部
[00:05:33.640 --> 00:05:35.640]  沒有例外的
[00:05:35.640 --> 00:05:37.640]  也包括現在發生的事
[00:05:39.640 --> 00:05:41.640]  將來將會發生的事
[00:05:41.640 --> 00:05:45.640]  過去已經發生了的事
[00:05:45.640 --> 00:05:49.640]  原來每一樣東西都可以有個synergy
[00:05:49.640 --> 00:05:51.640]  有個互相的效力
[00:05:51.640 --> 00:05:55.640]  當然這個只有神
[00:05:55.640 --> 00:05:57.640]  才可以做到
[00:05:57.640 --> 00:05:59.640]  因為神是色在金在
