
[00:00:00.000 --> 00:00:04.000]  好,請師父讓我們預備心靈聽主的話
[00:00:04.000 --> 00:00:07.000]  預備我們聽主的話
[00:00:07.000 --> 00:00:09.000]  讓我們心同心吐過
[00:00:09.000 --> 00:00:11.000]  讓我們起來禱
[00:00:11.000 --> 00:00:19.000]  (廣東話)
[00:00:19.000 --> 00:00:21.000]  我們很祝你給我們智慧
[00:00:21.000 --> 00:00:25.000]  因為能夠明白你的教訓的唯一途徑
[00:00:25.000 --> 00:00:27.000]  就是我們有你的聖靈
[00:00:27.000 --> 00:00:31.000]  你的聖靈就是把我們能夠透過
[00:00:31.000 --> 00:00:35.000]  祂能夠明白主你的教訓的途徑
[00:00:35.000 --> 00:00:37.000]  這個就是神靈的智慧
[00:00:37.000 --> 00:00:38.000]  所以很求你
[00:00:38.000 --> 00:00:40.000]  讓我們在這個時候
[00:00:40.000 --> 00:00:46.000]  再次很求神智慧的靈與我們同在
[00:00:46.000 --> 00:00:50.000]  讓我們明白持續裡面的教訓
[00:00:50.000 --> 00:00:51.000]  主你的幫助
[00:00:51.000 --> 00:00:52.000]  真是主多謝你
[00:00:52.000 --> 00:00:54.000]  讓我們能夠再次打開你的說話
[00:00:54.000 --> 00:00:57.000]  去一起明白當中的教訓
[00:00:57.000 --> 00:01:00.000]  這個機會我們明白是很重要
[00:01:00.000 --> 00:01:03.000]  但是更重要的是要有你的智慧
[00:01:03.000 --> 00:01:10.000]  才能夠將運智變成一個屬靈的生命的食物
[00:01:10.000 --> 00:01:11.000]  消化它
[00:01:11.000 --> 00:01:13.000]  所以很求持智慧的靈
[00:01:13.000 --> 00:01:15.000]  聖靈能夠與我們同在
[00:01:15.000 --> 00:01:18.000]  好想我們能夠真是將你的說話完整
[00:01:18.000 --> 00:01:20.000]  全面地去吸收
[00:01:20.000 --> 00:01:23.000]  很高興主耶穌基督有聖的名字
[00:01:23.000 --> 00:01:27.000]  不知道有沒有大兄姐妹
[00:01:27.000 --> 00:01:29.000]  好像我一樣
[00:01:29.000 --> 00:01:31.000]  不知道有沒有弟兄姊妹好像我一樣
[00:01:31.000 --> 00:01:36.000]  都很喜歡看那些警匪電影或者是劇集
[00:01:36.000 --> 00:01:39.000]  你是否很喜歡看那些警匪電影
[00:01:39.000 --> 00:01:42.000]  那些什麼CSI
[00:01:42.000 --> 00:01:44.000]  CSI
[00:01:44.000 --> 00:01:47.000]  什麼幹探十六
[00:01:47.000 --> 00:01:48.000]  幹探十六
[00:01:48.000 --> 00:01:51.000]  什麼法正先鋒那些
[00:01:51.000 --> 00:01:53.000]  法正先鋒
[00:01:53.000 --> 00:01:55.000]  那我都很喜歡看的
[00:01:55.000 --> 00:01:56.000]  我都很喜歡看
[00:01:56.000 --> 00:01:59.000]  尤其是現在網絡這麼方便
[00:01:59.000 --> 00:02:01.000]  現在網絡這麼方便
[00:02:01.000 --> 00:02:03.000]  我最近又買了盒子
[00:02:03.000 --> 00:02:05.000]  看什麼劇集都可以看
[00:02:05.000 --> 00:02:07.000]  最近又買了一個儀器
[00:02:07.000 --> 00:02:08.000]  什麼戲都可以看
[00:02:08.000 --> 00:02:10.000]  雖然沒時間看
[00:02:10.000 --> 00:02:12.000]  但都知道這些劇集
[00:02:12.000 --> 00:02:13.000]  雖然沒有時間看
[00:02:13.000 --> 00:02:15.000]  但是都知道這些劇集
[00:02:15.000 --> 00:02:16.000]  不過看這些劇集
[00:02:16.000 --> 00:02:19.000]  我留意到有一個它既定的方程式
[00:02:19.000 --> 00:02:22.000]  這些劇集都有一個既定的方程式
[00:02:22.000 --> 00:02:23.000]  看你同不同意
[00:02:23.000 --> 00:02:25.000]  不知道你同不同意
[00:02:25.000 --> 00:02:26.000]  通常一開始
[00:02:26.000 --> 00:02:29.000]  鏡頭指著一班賊在做案
[00:02:29.000 --> 00:02:33.000]  一開始鏡頭都是指著一班匪徒在做案
[00:02:33.000 --> 00:02:35.000]  所以就槍林彈雨
[00:02:35.000 --> 00:02:36.000]  槍林彈雨
[00:02:36.000 --> 00:02:39.000]  那些漢匪不斷的去做大案
[00:02:39.000 --> 00:02:42.000]  那些中匪去做案
[00:02:42.000 --> 00:02:45.000]  通常都是第一單都做到的
[00:02:45.000 --> 00:02:48.000]  一般一開始單獨做案都是成功的
[00:02:48.000 --> 00:02:49.000]  一開始單獨做案都是成功的
[00:02:49.000 --> 00:02:53.000]  而通常最初頭最後尾部份都是這樣
[00:02:53.000 --> 00:02:55.000]  一開始最後都是這樣
[00:02:55.000 --> 00:02:56.000]  就是那些犯人
[00:02:56.000 --> 00:02:58.000]  就是那些賊臨走之前
[00:02:58.000 --> 00:03:01.000]  就是在匪徒臨走之前
[00:03:01.000 --> 00:03:04.000]  當然要麼殺死一些無辜的市民
[00:03:04.000 --> 00:03:06.000]  可能會殺死一個無辜的市民
[00:03:06.000 --> 00:03:10.000]  或者殺死一個警察的好拍檔
[00:03:10.000 --> 00:03:14.000]  或者殺死一個警察的伙計
[00:03:14.000 --> 00:03:17.000]  或者是那套戲的主角的一個家人
[00:03:17.000 --> 00:03:20.000]  或者是那套戲的主角的一個家人
[00:03:20.000 --> 00:03:23.000]  然後那套戲的發展就是
