
[00:00:00.000 --> 00:00:04.500]  讓我們一起讀一段聖經,在菲律賓書第四章第十一到十三節
[00:00:04.500 --> 00:00:06.800]  這時候我並不適應缺乏說這話
[00:00:06.800 --> 00:00:09.500]  我不論在什麼景況都可以知足
[00:00:09.500 --> 00:00:11.300]  這是我已經學會了
[00:00:11.300 --> 00:00:14.500]  我知道怎麼處卑賤,也知道怎麼處豐富
[00:00:14.500 --> 00:00:17.800]  或飽足,或飢餓,或有餘,或缺乏
[00:00:17.800 --> 00:00:20.500]  誰是誰在,我都得了秘訣
[00:00:20.500 --> 00:00:24.900]  我靠著祂加給我力量的,凡事都能做
[00:00:24.900 --> 00:00:26.900]  第二點,這次新冠病毒的疫情
[00:00:26.900 --> 00:00:31.900]  似乎把全世界是帶進了空前未有的危機當中
[00:00:31.900 --> 00:00:35.900]  特別是前幾天,我們看見石油一桶的價格
[00:00:35.900 --> 00:00:39.900]  居然變成負數,那真是前所未聞的光景
[00:00:39.900 --> 00:00:41.900]  居家隔離的法令
[00:00:41.900 --> 00:00:44.900]  好像是把我們的生活型態
[00:00:44.900 --> 00:00:48.900]  加上了很多過去我們所沒有的束縛
[00:00:48.900 --> 00:00:52.900]  我們在Santa Clara縣,還好,我聽說在加州其他地方
[00:00:52.900 --> 00:00:56.900]  連開車都規定不准離開家五個mile
[00:00:56.900 --> 00:00:58.900]  哇,五個mile
[00:00:58.900 --> 00:01:02.900]  連從我家到加州想拿點資料都不行
[00:01:02.900 --> 00:01:05.900]  那真是像軟禁一樣,不是嗎?
[00:01:05.900 --> 00:01:08.900]  我就想到今天我們在人生當中
[00:01:08.900 --> 00:01:11.900]  不也是面對很多不同的困境嗎?
[00:01:11.900 --> 00:01:15.900]  有些困境是在環境上,像居家隔離
[00:01:15.900 --> 00:01:20.900]  有些是在財務上,好像這次在疫情當中
[00:01:20.900 --> 00:01:25.900]  很多人失業,很多中小的企業面對關門的危機
[00:01:25.900 --> 00:01:28.900]  當然有些人面對的是心靈上的困境
[00:01:28.900 --> 00:01:30.900]  也是身體上的困境
[00:01:30.900 --> 00:01:33.900]  當我們面對這些人生的困境的時候
[00:01:33.900 --> 00:01:35.900]  我們不是常常有一種無助感嗎?
[00:01:35.900 --> 00:01:38.900]  到底有誰能夠幫助我們?
[00:01:38.900 --> 00:01:40.900]  到底我們的出路在哪裡?
[00:01:40.900 --> 00:01:44.900]  第二點,越是在這樣艱難的時刻當中
[00:01:44.900 --> 00:01:47.900]  我們的心越是要迴轉來歸向神
[00:01:47.900 --> 00:01:51.900]  因為唯有神才是我們一切盼望的源頭
[00:01:51.900 --> 00:01:52.900]  Amen?
[00:01:52.900 --> 00:01:55.900]  所以今天早上從三方面一同來分享到
[00:01:55.900 --> 00:01:59.900]  我們怎麼樣能夠經歷在困境當中的盼望
[00:01:59.900 --> 00:02:02.900]  在困境當中的盼望
[00:02:02.900 --> 00:02:04.900]  三方面,第一個
[00:02:04.900 --> 00:02:08.900]  要在各樣環境中學會知足
[00:02:08.900 --> 00:02:12.900]  要在各樣環境中學會知足
[00:02:12.900 --> 00:02:15.900]  你知道今天當我們面對生活的困境的時候
[00:02:15.900 --> 00:02:19.900]  一件事情我們要學會的就是知足
[00:02:19.900 --> 00:02:23.900]  保羅在菲律賓書第四章第十一節講得很清楚
[00:02:23.900 --> 00:02:25.900]  他說我並不是因為缺乏說這話
[00:02:25.900 --> 00:02:28.900]  無論在怎麼樣的情況都可以知足
[00:02:28.900 --> 00:02:31.900]  因為這是我已經學會了
[00:02:31.900 --> 00:02:33.900]  保羅在教導我們說
[00:02:33.900 --> 00:02:36.900]  無論在任何情況都要知足
[00:02:36.900 --> 00:02:38.900]  我相信當我們聽到這句話
[00:02:38.900 --> 00:02:40.900]  心中大家都能夠說Amen
[00:02:40.900 --> 00:02:42.900]  是的,應當知足
[00:02:42.900 --> 00:02:46.900]  中國話也說知足才能夠常樂
[00:02:46.900 --> 00:02:49.900]  但問題是怎麼樣才能知足呢?
[00:02:49.900 --> 00:02:54.900]  在十一節裡面其實保羅在這裡告訴我們他的秘訣
[00:02:54.900 --> 00:03:00.900]  那個秘訣就是他說他學會知足
[00:03:00.900 --> 00:03:03.900]  原來知足不是天生的
[00:03:03.900 --> 00:03:07.900]  原來知足不是我們禱告聖靈大大充滿
[00:03:07.900 --> 00:03:09.900]  忽然間我們擁有的
[00:03:09.900 --> 00:03:13.900]  原來知足是我們需要學會的
[00:03:13.900 --> 00:03:17.900]  既然是學會就表明我們人人都需要學
[00:03:17.900 --> 00:03:22.900]  既然是學會就表明我們人人都可以做得到
[00:03:22.900 --> 00:03:24.900]  你說保羅他是大使徒
[00:03:24.900 --> 00:03:27.900]  他當然比較容易知足
[00:03:27.900 --> 00:03:30.900]  但事實上在保羅的一生當中
[00:03:30.900 --> 00:03:34.900]  他的環境並不是像我們所想像這麼順利
[00:03:34.900 --> 00:03:37.900]  很多時候我們會以為說他是最大的使徒
[00:03:37.900 --> 00:03:41.900]  神的恩寵一定一生隨著他的侍奉
[00:03:41.900 --> 00:03:42.900]  在我們的想像裡面
[00:03:42.900 --> 00:03:45.900]  總以為無論保羅走到哪裡
[00:03:45.900 --> 00:03:48.900]  只要大聲說Favor恩寵
[00:03:48.900 --> 00:03:50.900]  大山就在他面前挪開
[00:03:50.900 --> 00:03:53.900]  我們就看見道路在他面前鋪平
[00:03:53.900 --> 00:03:56.900]  但事實上我們看見卻不是如此的
[00:03:56.900 --> 00:03:58.900]  如果你仔細看保羅一生的侍奉
[00:03:58.900 --> 00:04:01.900]  常常充滿很多的艱難
[00:04:01.900 --> 00:04:04.900]  我們看見哥林多後書第十一章26、27節
[00:04:04.900 --> 00:04:08.900]  這裡講到保羅自己講到他在侍奉中的艱難
