
[00:00:00.000 --> 00:00:03.000]  這幾個禮拜我們都講一個系列叫「遇見耶穌」
[00:00:03.000 --> 00:00:06.000]  那我也介紹過有這個系列是因為
[00:00:06.000 --> 00:00:08.500]  在福音書上記載很多人跟隨過耶穌
[00:00:08.500 --> 00:00:12.000]  但是不是每一個人因為跟過耶穌
[00:00:12.000 --> 00:00:14.000]  見過耶穌 生命就改變
[00:00:14.000 --> 00:00:17.000]  有些只是來湊熱鬧
[00:00:17.000 --> 00:00:20.500]  他們看完就回家了 也沒有得到任何的好處
[00:00:20.500 --> 00:00:22.500]  那到底有什麼分別呢?
[00:00:22.500 --> 00:00:24.000]  聖經也記載有些個別的人
[00:00:24.000 --> 00:00:27.000]  他們因為遇見耶穌 生命就改變
[00:00:27.000 --> 00:00:31.000]  我們在這系列的第一堂講了一個瞎眼的人
[00:00:31.000 --> 00:00:32.000]  那種人代表是一種
[00:00:32.000 --> 00:00:35.000]  有時候你認識耶穌 生命改變
[00:00:35.000 --> 00:00:37.000]  是因為你有這個需要
[00:00:37.000 --> 00:00:39.000]  你真的生活有一個問題
[00:00:39.000 --> 00:00:41.000]  你真的解決不了
[00:00:41.000 --> 00:00:43.000]  我有一個中學同學
[00:00:43.000 --> 00:00:46.000]  畢業後做生意也做得很成功
[00:00:46.000 --> 00:00:49.000]  最近我跟他碰面的時候
[00:00:49.000 --> 00:00:52.000]  他跟我說其實他現在擁有的生活
[00:00:52.000 --> 00:00:55.000]  就是他一直以來夢寐而求的生活
[00:00:55.000 --> 00:00:57.000]  賺到錢 家庭什麼都有了
[00:00:57.000 --> 00:00:59.000]  那我就問他說其實你也沒什麼需要
[00:00:59.000 --> 00:01:00.000]  他說我有
[00:01:00.000 --> 00:01:02.000]  他說我還有兩個問題我解決不了
[00:01:02.000 --> 00:01:05.000]  這兩個問題我一想起就覺得心裡很恐懼
[00:01:05.000 --> 00:01:07.000]  我說你最怕哪兩個問題
[00:01:07.000 --> 00:01:09.000]  他說我怕老怕死
[00:01:09.000 --> 00:01:13.000]  你知道 年紀越大你越發現說
[00:01:13.000 --> 00:01:17.000]  錢解決得了的問題其實都不是什麼大問題
[00:01:17.000 --> 00:01:20.000]  真正使你人生覺得說糟糕怎麼辦
[00:01:20.000 --> 00:01:23.000]  通常是那些錢解決不了的問題
[00:01:23.000 --> 00:01:25.000]  所以我的同學跟我說
[00:01:25.000 --> 00:01:27.000]  我最怕老怕死
[00:01:27.000 --> 00:01:28.000]  很多時候我們就是這樣
[00:01:28.000 --> 00:01:30.000]  就是有些問題你慢慢年齡大了
[00:01:30.000 --> 00:01:33.000]  發現說有些問題或許不是錢
[00:01:33.000 --> 00:01:36.000]  不是我們稍微努力一下積極一下就能夠解決
[00:01:36.000 --> 00:01:40.000]  有些問題或許我要在外面找一個答案
[00:01:40.000 --> 00:01:42.000]  所以這個瞎眼的人也是一樣
[00:01:42.000 --> 00:01:44.000]  不論他有多少錢
[00:01:44.000 --> 00:01:46.000]  他就是解決不了瞎眼的問題
[00:01:46.000 --> 00:01:48.000]  所以他知道搞不好有人幫得到我
[00:01:48.000 --> 00:01:51.000]  是因為這個問題把他帶到神面前
[00:01:51.000 --> 00:01:55.000]  最終他得到了主耶穌就解救了他
[00:01:55.000 --> 00:01:58.000]  那第二種人就是我們第二堂講的撒該
[00:01:58.000 --> 00:02:00.000]  撒該是另外一種人
[00:02:00.000 --> 00:02:01.000]  撒該沒有需要
[00:02:01.000 --> 00:02:03.000]  他身體非常好
[00:02:03.000 --> 00:02:05.000]  他又有錢什麼都有
[00:02:05.000 --> 00:02:08.000]  撒該來信神只是因為一些的好奇心
[00:02:08.000 --> 00:02:11.000]  因為他覺得我想親眼來看看
[00:02:11.000 --> 00:02:13.000]  到底這位神到底是怎麼樣的
[00:02:13.000 --> 00:02:14.000]  所以我就試試看
[00:02:14.000 --> 00:02:16.000]  結果後來他就遇見耶穌
[00:02:16.000 --> 00:02:18.000]  生命就改變
[00:02:18.000 --> 00:02:20.000]  有一個人叫Josh McDow
[00:02:20.000 --> 00:02:21.000]  Josh McDow是我一個
[00:02:21.000 --> 00:02:24.000]  我記得我信主之後第一本看的書
[00:02:24.000 --> 00:02:26.000]  好像就是他寫的書
[00:02:26.000 --> 00:02:29.000]  他年輕的時候是一個律師
[00:02:29.000 --> 00:02:31.000]  因為他就不知道為什麼
[00:02:31.000 --> 00:02:32.000]  他就很討厭基督教
[00:02:32.000 --> 00:02:36.000]  可是他的大學同學有幾個是很好的基督徒
[00:02:36.000 --> 00:02:37.000]  就跟他傳福音
[00:02:37.000 --> 00:02:39.000]  後來就挑戰他
[00:02:39.000 --> 00:02:41.000]  他的朋友挑戰他說
[00:02:41.000 --> 00:02:43.000]  他說你既然是一個這麼理性的人
[00:02:43.000 --> 00:02:45.000]  你又是讀法律的
[00:02:45.000 --> 00:02:48.000]  如果你真的這麼討厭基督教
[00:02:48.000 --> 00:02:50.000]  你為什麼不蒐集一些證據
[00:02:50.000 --> 00:02:52.000]  來證明基督教是錯的呢
[00:02:52.000 --> 00:02:53.000]  他就挑戰他
[00:02:53.000 --> 00:02:56.000]  他說好既然你挑戰我就接受這個挑戰
[00:02:56.000 --> 00:02:57.000]  結果他很認真
[00:02:57.000 --> 00:03:01.000]  他真的花時間跑去歐洲各個國家
[00:03:01.000 --> 00:03:03.000]  也在美國的每一個州
[00:03:03.000 --> 00:03:05.000]  不同的政府的圖書館
[00:03:05.000 --> 00:03:07.000]  他蒐集大量的資料
[00:03:07.000 --> 00:03:08.000]  只是為了證明說
[00:03:08.000 --> 00:03:10.000]  你們基督教沒有任何理性的根據
[00:03:10.000 --> 00:03:12.000]  歷史都是錯的
[00:03:12.000 --> 00:03:13.000]  耶穌根本不存在
[00:03:13.000 --> 00:03:14.000]  祂沒復活過
[00:03:14.000 --> 00:03:16.000]  你們曾經記載的所有歷史都是錯的
[00:03:16.000 --> 00:03:18.000]  祂只是為了證明這個
[00:03:18.000 --> 00:03:19.000]  所以他真的很認真
[00:03:19.000 --> 00:03:21.000]  他就花很多的時間
[00:03:21.000 --> 00:03:22.000]  他說有一天
[00:03:22.000 --> 00:03:24.000]  他在倫敦
[00:03:24.000 --> 00:03:26.000]  他在倫敦的一個圖書館裡面
[00:03:26.000 --> 00:03:27.000]  蒐集資料
[00:03:27.000 --> 00:03:28.000]  把他說打垮你們基督教
[00:03:28.000 --> 00:03:31.000]  他那個下午很安靜的時候
[00:03:31.000 --> 00:03:34.000]  他突然聽到信裡面神跟他講話
[00:03:34.000 --> 00:03:35.000]  神跟他講說
[00:03:35.000 --> 00:03:38.000]  祂說你知道你現在蒐集的證據
[00:03:38.000 --> 00:03:40.000]  祂說你站不住腳嗎
[00:03:40.000 --> 00:03:41.000]  在理性上
