
[00:00:00.000 --> 00:00:05.100]  讀一段聖經在其次錄第22章第1到第3節
[00:00:05.100 --> 00:00:08.160]  這個很熟悉的經文也是生命和的經文
[00:00:08.160 --> 00:00:09.640]  我們一同來念來
[00:00:09.640 --> 00:00:13.160]  天使又指示我在城內街道當中
[00:00:13.160 --> 00:00:16.460]  一道生命水的河明亮如水晶
[00:00:16.460 --> 00:00:19.440]  從神和羔羊的寶座流出來
[00:00:19.440 --> 00:00:22.440]  在這河這邊那邊有生命樹
[00:00:22.440 --> 00:00:25.840]  結十二樣果子每月都結果子
[00:00:25.840 --> 00:00:28.860]  樹上的葉子乃為一字萬名
[00:00:29.440 --> 00:00:31.900]  第三節以後再沒有奏祖
[00:00:31.900 --> 00:00:34.760]  在城裡有神和羔羊的寶座
[00:00:34.760 --> 00:00:37.360]  他的僕人都要侍奉他
[00:00:37.360 --> 00:00:38.440]  我們就讀到這裡
[00:00:38.440 --> 00:00:40.640]  我想今天能夠站在這裡
[00:00:40.640 --> 00:00:42.900]  與李思輝一起代表會眾
[00:00:42.900 --> 00:00:45.100]  撕掉貸款的文件
[00:00:45.100 --> 00:00:47.640]  宣告還清貸款實在太興奮了你們
[00:00:47.640 --> 00:00:48.860]  哈利路亞
[00:00:48.860 --> 00:00:53.660]  我們真是要感謝神的恩典
[00:00:53.660 --> 00:00:56.060]  也真的再次感謝弟兄姐妹
[00:00:56.060 --> 00:00:57.740]  這樣的全然的擺上
[00:00:58.000 --> 00:01:01.200]  生命河真的是一個蒙福的教會
[00:01:01.200 --> 00:01:04.400]  事實上如果你仔細重新讀回啊
[00:01:04.400 --> 00:01:06.160]  我們生命河的經文呢
[00:01:06.160 --> 00:01:07.100]  你就會發現
[00:01:07.100 --> 00:01:11.260]  這條生命河是從神的寶座流出來
[00:01:11.260 --> 00:01:15.800]  這條生命河是帶著神的恩高的
[00:01:15.800 --> 00:01:17.940]  不斷的向前湧流
[00:01:17.940 --> 00:01:21.660]  而且這個生命河所流到的地方你看見
[00:01:21.660 --> 00:01:23.740]  都帶來祝福
[00:01:23.740 --> 00:01:25.300]  當我們回頭看
[00:01:25.300 --> 00:01:28.260]  這30年神在我們教會的工作的時候
[00:01:28.260 --> 00:01:29.500]  我們就看見真的
[00:01:29.500 --> 00:01:33.840]  你不能不說是有神的恩高在我們中間
[00:01:33.840 --> 00:01:37.040]  不但是帶領我們一路向前
[00:01:37.040 --> 00:01:39.800]  供應我們一切的需要
[00:01:39.800 --> 00:01:43.300]  而且能夠祝福我們手上所做的工作
[00:01:43.300 --> 00:01:44.700]  盡都順利
[00:01:44.700 --> 00:01:48.500]  我也相信這個恩高要繼續帶領我們向前
[00:01:48.500 --> 00:01:51.000]  真的是進入神新的領域
[00:01:51.000 --> 00:01:53.640]  也經歷神新的工作
[00:01:53.700 --> 00:01:59.060]  你們今天你我就在這條生命河的裡面
