
[00:00:00.000 --> 00:00:05.720]  《俄巴底亞書》是《十二仙之書》的第四部
[00:00:05.720 --> 00:00:10.360]  有一章的書 有二十一節的經文
[00:00:10.360 --> 00:00:15.360]  在舊約這一部是最短的一部書
[00:00:15.360 --> 00:00:17.960]  那你說在新約又如何?
[00:00:17.960 --> 00:00:21.240]  新約有一章經文的書本
[00:00:21.240 --> 00:00:27.520]  有《肥利門書》、《約翰一書》、《約翰二書》和《尤大書》
[00:00:27.520 --> 00:00:29.800]  全部都是一章的經文
[00:00:29.800 --> 00:00:34.640]  如果你是數節數的 最短的就是《約翰一書》
[00:00:34.640 --> 00:00:36.880]  但如果你是數字數的話
[00:00:36.880 --> 00:00:41.680]  最短的就是《約翰二書》
[00:00:41.680 --> 00:00:44.720]  那你說最長的又如何呢?
[00:00:44.720 --> 00:00:48.560]  最長的 在舊約是詩篇
[00:00:48.560 --> 00:00:51.760]  如果你是去計節數的話
[00:00:51.760 --> 00:00:58.880]  但是舊約最長的計字數的是《耶利迷書》
[00:00:58.880 --> 00:01:00.720]  那新約又如何呢?
[00:01:00.720 --> 00:01:06.280]  新約最長的無論是節數 無論是計字數
[00:01:06.280 --> 00:01:10.840]  都是《盧伽福音》是最長的
[00:01:10.840 --> 00:01:17.240]  《俄巴底亞》的作者沒有提到自己的背景
[00:01:17.240 --> 00:01:22.720]  通常《仙之書》都有提到仙子的父親是誰
[00:01:22.720 --> 00:01:26.280]  他的先祖是誰 家鄉在哪裡
[00:01:26.280 --> 00:01:31.400]  但是在《十二仙之書》裏面 《俄巴底亞書》和《馬拉基書》
[00:01:31.400 --> 00:01:35.520]  沒有提到作者的背景
[00:01:35.520 --> 00:01:41.520]  這個作者在經文裏面好幾次提到耶路撒冷
[00:01:41.520 --> 00:01:44.960]  好幾次提到尤大石安
[00:01:44.960 --> 00:01:51.520]  所以我們相信 俄巴底亞應該是一個南國的仙子
[00:01:51.520 --> 00:01:57.480]  俄巴底亞這個名字的意思就是神的僕人
[00:01:57.480 --> 00:02:03.800]  在舊約 其實俄巴底亞這個名字是一個很普遍的名字
[00:02:03.800 --> 00:02:06.400]  很多人都叫俄巴底亞
[00:02:06.400 --> 00:02:08.280]  超過十二個人
[00:02:08.280 --> 00:02:11.560]  有大衛軍隊裏面的一個官長
[00:02:11.560 --> 00:02:14.040]  有阿哈王的一個僕人
[00:02:14.040 --> 00:02:20.240]  也有約西亞時代修理聖殿其中一個公頭的利美人
[00:02:20.240 --> 00:02:22.360]  也是叫做俄巴底亞
[00:02:22.360 --> 00:02:28.400]  也有一個是以色列從巴比倫回歸的領袖
[00:02:28.400 --> 00:02:31.120]  也是叫做俄巴底亞
[00:02:31.120 --> 00:02:36.920]  我們相信俄巴底亞是一個很早期的仙子
[00:02:36.920 --> 00:02:45.680]  他同期的仙子應該就是以利亞和以利沙兩位
[00:02:45.680 --> 00:02:50.480]  以東就是俄巴底亞書的主角
[00:02:50.480 --> 00:02:54.080]  剛才也讀過經文 有關以東
[00:02:54.080 --> 00:02:56.360]  那以東在哪裏呢?
[00:02:56.360 --> 00:03:00.040]  以東就是以素 以素就是以東
