
[00:00:00.000 --> 00:00:02.600]  其實我們也有很多東西要學
[00:00:02.600 --> 00:00:07.400]  在生活裏我們也需要學習很多不同的處境
[00:00:07.400 --> 00:00:10.400]  鄧小平今天你坐的位置有沒有被人坐到?
[00:00:10.400 --> 00:00:14.400]  你平時坐的位置,今天被人坐了,有沒有?
[00:00:14.400 --> 00:00:18.400]  沒有,這個位置沒有了,永遠都是這個位置
[00:00:18.400 --> 00:00:23.400]  預了給你的,吳先生,預了給你的
[00:00:23.400 --> 00:00:27.400]  有時候我們被人坐的位置,我們很不高興
[00:00:27.400 --> 00:00:33.400]  我記得有一次,教會佈圖會請一個影星來
[00:00:33.400 --> 00:00:37.400]  也挺出名的,他來講見證
[00:00:37.400 --> 00:00:40.400]  萬人空巷,很多人去聽
[00:00:40.400 --> 00:00:49.400]  進主任房,我請他進
[00:00:49.400 --> 00:00:52.400]  他一進,就坐了我的位置
[00:00:52.400 --> 00:00:55.400]  寫字枱,我的位置在裏面
[00:00:55.400 --> 00:00:57.400]  他一進,就坐了我的位置
[00:00:57.400 --> 00:01:00.400]  我心想,生你的氣也不知道,說你也不好意思
[00:01:00.400 --> 00:01:04.400]  那個位置是我的,你為什麼要坐我的位置?
[00:01:04.400 --> 00:01:08.400]  外面有幾張椅子,他就坐了進去
[00:01:08.400 --> 00:01:14.400]  所以他習慣了坐一些很漂亮的位置
[00:01:14.400 --> 00:01:19.400]  坐一些我們看來應該坐的位置
[00:01:19.400 --> 00:01:23.400]  但是,作為主的門徒,我們應該怎樣呢?
[00:01:23.400 --> 00:01:28.400]  在這個世界,權和位置,你坐在那個位置就有權
[00:01:28.400 --> 00:01:38.400]  作為一個管治的人,在那個位置上總有一份吸引力
[00:01:38.400 --> 00:01:42.400]  但是我們在教會,作為主的門徒
[00:01:42.400 --> 00:01:48.400]  我們的服侍又應該怎樣呢?
[00:01:48.400 --> 00:01:58.400]  在這個社會,當你有權,你有名,有錢
[00:01:58.400 --> 00:02:04.400]  你就會吸引普通人的注意力和目光
