
[00:00:00.000 --> 00:00:02.000]  我先同心地禱告
[00:00:02.000 --> 00:00:04.000]  差異上主
[00:00:04.000 --> 00:00:06.000]  我們謙卑褻納在祢的根前
[00:00:06.000 --> 00:00:09.000]  感謝祢賜下寶貴的救恩
[00:00:09.000 --> 00:00:12.000]  感謝祢賜下寶貴的話語
[00:00:12.000 --> 00:00:14.000]  感謝祢賜下寶貴的聖靈
[00:00:14.000 --> 00:00:16.000]  引導我們進入真理
[00:00:16.000 --> 00:00:19.000]  聖靈在我們當中親自運行
[00:00:19.000 --> 00:00:22.000]  以致無論講的、聽的和蒙福
[00:00:22.000 --> 00:00:24.000]  求上主祢的話語
[00:00:24.000 --> 00:00:26.000]  帶著能力改變我們的生命
[00:00:26.000 --> 00:00:28.000]  我們為了衛生去跟從祢
[00:00:28.000 --> 00:00:30.000]  感謝祢聽我們禱告
[00:00:30.000 --> 00:00:32.000]  奉教和救主 耶穌基督 寶貴的聖名去求
[00:00:32.000 --> 00:00:34.000]  阿們
[00:00:34.000 --> 00:00:37.000]  當我預備上一次講章的時候
[00:00:37.000 --> 00:00:39.000]  在苦惱的時候
[00:00:39.000 --> 00:00:41.000]  有個朋友WhatsApp過來
[00:00:41.000 --> 00:00:42.000]  他剛剛去了日本旅行
[00:00:42.000 --> 00:00:44.000]  有很多很漂亮的相片
[00:00:44.000 --> 00:00:47.000]  還有我很喜歡吃的魚生和和牛
[00:00:47.000 --> 00:00:49.000]  在下面寫了一句
[00:00:49.000 --> 00:00:51.000]  你是不是很羨慕呢
[00:00:51.000 --> 00:00:53.000]  那時候我真的為了講章
[00:00:53.000 --> 00:00:55.000]  還在放假
[00:00:55.000 --> 00:00:57.000]  躲在房裡為了講章苦惱的時候
[00:00:57.000 --> 00:00:59.000]  但我很真誠地問我自己
[00:00:59.000 --> 00:01:01.000]  如果現在讓我選擇
[00:01:01.000 --> 00:01:03.000]  我會選擇吃和牛
[00:01:03.000 --> 00:01:06.000]  還是繼續躲在房裡寫講章
[00:01:06.000 --> 00:01:10.000]  我不是說我們要每天不停去侍奉
[00:01:10.000 --> 00:01:13.000]  能夠有空間去愛友
[00:01:13.000 --> 00:01:15.000]  在屋子裡去享福
[00:01:15.000 --> 00:01:17.000]  在休息裡重新得力
[00:01:17.000 --> 00:01:18.000]  這是一個好事
[00:01:18.000 --> 00:01:20.000]  我又不是說團體要不停地去查經
[00:01:20.000 --> 00:01:23.000]  有時候在桌上
[00:01:23.000 --> 00:01:26.000]  在飯桌上的交易都是很有意思
[00:01:26.000 --> 00:01:27.000]  我很深層
[00:01:27.000 --> 00:01:30.000]  那天我自己反省問我自己
[00:01:30.000 --> 00:01:33.000]  究竟地上的豐衣足食
[00:01:33.000 --> 00:01:35.000]  還是屬靈的飽足
[00:01:35.000 --> 00:01:38.000]  比我更大的滿足
[00:01:38.000 --> 00:01:40.000]  英文有一句諺語叫做
[00:01:40.000 --> 00:01:41.000]  You are what you eat
[00:01:41.000 --> 00:01:44.000]  中文常常譯作人如其食
