
[00:00:00.000 --> 00:00:03.840]  今天的講題就是《誰配被上主差遣》
[00:00:03.840 --> 00:00:10.500]  今天就是遣然期的第五個主日
[00:00:10.500 --> 00:00:12.540]  什麼叫遣然期呀?
[00:00:12.540 --> 00:00:17.660]  遣然期就是基督、耶穌向外邦人和向這個世界
[00:00:17.660 --> 00:00:22.780]  譴明祂是上帝的兒子,上帝的榮耀
[00:00:22.780 --> 00:00:28.940]  今天的詩篇讀到:我要向你的聖殿下拜
[00:00:29.180 --> 00:00:32.520]  我要因你的慈愛和信實重揚你的名
[00:00:32.520 --> 00:00:37.880]  因你的名和你的言語顯偉大
[00:00:37.880 --> 00:00:40.960]  超乎一切
[00:00:40.960 --> 00:00:43.780]  顯偉大
[00:00:43.780 --> 00:00:48.640]  二塞亞書第六章
[00:00:48.640 --> 00:00:51.700]  那個聖殿的場面
[00:00:51.700 --> 00:00:54.260]  今天就重現在你面前
[00:00:55.540 --> 00:01:01.680]  不過很多時候我們就用第三者的態度去看戲,看二塞亞見到什麼
[00:01:01.680 --> 00:01:04.760]  這段經文與我無關
[00:01:04.760 --> 00:01:10.140]  今天我希望大家代入二塞亞,好嗎?
[00:01:10.140 --> 00:01:11.420]  你就是二塞亞
[00:01:11.420 --> 00:01:16.020]  你好像二塞亞那樣,經常去聖殿做禮拜
[00:01:16.020 --> 00:01:19.860]  你這個禮拜又來教會做禮拜
[00:01:19.860 --> 00:01:22.940]  二塞亞去做禮拜,你又來做禮拜
[00:01:23.700 --> 00:01:27.800]  在那一次做禮拜的場合當中
[00:01:27.800 --> 00:01:31.900]  我見到一些他平時見不到的東西
[00:01:31.900 --> 00:01:38.800]  我們常常來做禮拜見到的東西都很平常,例如一樣,經文大概
[00:01:38.800 --> 00:01:40.600]  但是他今天
[00:01:40.600 --> 00:01:41.880]  你今天
[00:01:41.880 --> 00:01:43.420]  是見到一些
[00:01:43.420 --> 00:01:45.460]  與平時不同的東西
[00:01:45.460 --> 00:01:47.000]  你見到一個
[00:01:47.000 --> 00:01:48.780]  放大了的
[00:01:48.780 --> 00:01:50.840]  顯大了的上主
[00:01:51.340 --> 00:01:54.400]  說他高高在上
[00:01:54.400 --> 00:01:57.220]  高高在上
[00:01:57.220 --> 00:02:00.560]  他腳踏若貴
[00:02:00.560 --> 00:02:06.700]  衣裳的下擺充滿了整個聖殿
[00:02:06.700 --> 00:02:10.280]  施班極共贊就說他的榮光
[00:02:10.280 --> 00:02:12.580]  都是充滿聖殿
[00:02:12.580 --> 00:02:14.640]  充滿聖殿
[00:02:15.920 --> 00:02:22.060]  像我們剛才唱的福音詩一樣,在你的恩手裏滿佈雲彩,效法基督愛
[00:02:22.060 --> 00:02:24.620]  眼界變改
[00:02:24.620 --> 00:02:30.760]  在主的聖殿裏面是布滿雲彩
[00:02:30.760 --> 00:02:33.320]  我們看見上主
[00:02:33.320 --> 00:02:35.120]  我們的眼界
[00:02:35.120 --> 00:02:36.660]  變改
[00:02:36.660 --> 00:02:40.240]  現時就要讓我們對於上主的眼界
[00:02:40.240 --> 00:02:41.260]  變改
[00:02:41.260 --> 00:02:44.340]  然後
[00:02:45.360 --> 00:02:46.380]  眼界之外
[00:02:46.380 --> 00:02:48.440]  耳朵還聽見些什麼
[00:02:48.440 --> 00:02:49.720]  聽見什麼
[00:02:49.720 --> 00:02:53.800]  聽見
[00:02:53.800 --> 00:02:56.360]  有大喇叭
[00:02:56.360 --> 00:02:57.900]  有薩拉弗
[00:02:57.900 --> 00:02:59.700]  各有六個翅膀
[00:02:59.700 --> 00:03:03.800]  兩個翅膀遮臉兩個翅膀遮腳兩個翅膀是飛翔
[00:03:03.800 --> 00:03:06.860]  彼此呼喊和應
[00:03:06.860 --> 00:03:10.440]  承載承載承載萬鈞之夜和話
[00:03:10.440 --> 00:03:13.520]  他的榮光遍滿全地
[00:03:13.780 --> 00:03:19.420]  我們聖餐的時候都有三疊聖災頌
[00:03:19.420 --> 00:03:23.260]  聖災聖災聖災源於這一道
[00:03:23.260 --> 00:03:26.060]  不過這個聖災頌和平時不同
[00:03:26.060 --> 00:03:27.860]  大喇叭很響
[00:03:27.860 --> 00:03:34.520]  令到門檻的地基震動
[00:03:34.520 --> 00:03:37.080]  聖殿都充滿了煙雲
[00:03:37.080 --> 00:03:39.120]  有沒有去過一些
[00:03:39.120 --> 00:03:42.960]  音樂會那些炒耳那些
[00:03:43.220 --> 00:03:46.040]  那些音樂會有去過嗎
[00:03:46.040 --> 00:03:48.600]  有去過就知道了
[00:03:48.600 --> 00:03:51.660]  那些震動的聲音是從哪裏來的
[00:03:51.660 --> 00:03:55.240]  當然是抗音器喇叭震動
[00:03:55.240 --> 00:04:00.360]  但是叫全場都震動包括地都震動是靠什麼
[00:04:00.360 --> 00:04:01.660]  是靠
[00:04:01.660 --> 00:04:03.180]  不是高音
[00:04:03.180 --> 00:04:04.720]  如果靠高音
[00:04:04.720 --> 00:04:08.560]  筆都聽不到了
[00:04:08.560 --> 00:04:09.340]  是靠什麼
[00:04:09.840 --> 00:04:15.980]  低音
[00:04:15.980 --> 00:04:18.300]  那些抗音器
[00:04:18.300 --> 00:04:19.820]  買過那些
