
[00:00:00.000 --> 00:00:05.320]  於是約拿的大鱷招來耶和華的大怒
[00:00:05.320 --> 00:00:07.320]  不知道大家看不看得到
[00:00:07.320 --> 00:00:09.320]  在約拿書裏面有很多東西都是很大的
[00:00:09.320 --> 00:00:11.320]  甚麼最重要是大
[00:00:11.320 --> 00:00:16.720]  大城 大風大雨 大雨 大鱷
[00:00:16.720 --> 00:00:20.720]  甚麼都是大的 耶和華是很偉大的神
[00:00:20.720 --> 00:00:24.320]  耶和華在海上刮起大風
[00:00:24.320 --> 00:00:28.320]  海就狂風大作 船幾乎破裂
[00:00:28.320 --> 00:00:32.320]  水手都懼怕國人哀求自己的神明
[00:00:32.320 --> 00:00:37.320]  要知道這些水手是經驗老到的航海員
[00:00:37.320 --> 00:00:42.320]  要他們在這個時候突然跪在裏面覺得沒有其他希望
[00:00:42.320 --> 00:00:47.320]  一定代表這個風是多麼厲害的一件事
[00:00:47.320 --> 00:00:51.320]  他們不單止懼怕哀求他們的神明
[00:00:51.320 --> 00:00:57.320]  他們更加把船上的貨物拋進海裏
[00:00:57.320 --> 00:01:03.320]  這個風浪一定是非常之可怕巨大
[00:01:03.320 --> 00:01:06.320]  以致他們連那些貨物都不要了
[00:01:06.320 --> 00:01:09.320]  你要知道當時的貨物是沒有保險的
[00:01:09.320 --> 00:01:11.320]  你今天遇到大風就扔掉吧
[00:01:11.320 --> 00:01:13.320]  不要緊 保險公司會賠償的
[00:01:13.320 --> 00:01:15.320]  你當時有沒有賠償的
[00:01:15.320 --> 00:01:17.320]  沒有 誰要負責
[00:01:17.320 --> 00:01:19.320]  水手
[00:01:19.320 --> 00:01:22.320]  所以他們把那些東西都扔進海裏
[00:01:22.320 --> 00:01:27.320]  就算他們只剩下一條命 他們都會破產的
[00:01:27.320 --> 00:01:32.320]  但是他們知道除非他們扔掉那些貨物
[00:01:32.320 --> 00:01:37.320]  否則他們根本沒有機會可以撿回一條命
[00:01:37.320 --> 00:01:41.320]  於是貨物是少 生命是大
[00:01:41.320 --> 00:01:44.320]  那些水手珍惜他們自己的生命
[00:01:44.320 --> 00:01:49.320]  他們也珍惜船上男女老幼的生命
[00:01:49.320 --> 00:01:52.320]  你一聽到這個就想到什麼
[00:01:52.320 --> 00:01:54.320]  你想到在整個約拿書裏面
[00:01:54.320 --> 00:01:56.320]  最不珍惜生命的是誰
[00:01:56.320 --> 00:01:58.320]  是約拿
[00:01:58.320 --> 00:01:59.320]  他不珍惜自己的生命
[00:01:59.320 --> 00:02:01.320]  他也不珍惜其他人的生命
[00:02:01.320 --> 00:02:04.320]  但是你看到這些水手
[00:02:04.320 --> 00:02:07.320]  儘管他們是拜賈神的水手
[00:02:07.320 --> 00:02:11.320]  他們珍惜船上所有人的生命
[00:02:11.320 --> 00:02:14.320]  在眾人都在忙亂的時候
[00:02:14.320 --> 00:02:15.320]  約拿在做什麼呢
[00:02:15.320 --> 00:02:20.320]  約拿卻下到倉底躺臥睡覺
[00:02:20.320 --> 00:02:22.320]  為什麼他還可以睡得著覺呢
[00:02:22.320 --> 00:02:24.320]  是不是因為他很有信心
[00:02:24.320 --> 00:02:27.320]  是不是因為他很有平安
[00:02:27.320 --> 00:02:28.320]  不是
