
[00:00:00.000 --> 00:00:03.000]  今日這段經文對我來說很有意思
[00:00:03.000 --> 00:00:05.000]  特別做牧師
[00:00:05.000 --> 00:00:07.000]  很多時候都和弟兄姐妹
[00:00:07.000 --> 00:00:10.000]  講到我們怎樣在人生路上
[00:00:10.000 --> 00:00:12.000]  能夠不斷地重新得力
[00:00:12.000 --> 00:00:14.000]  很需要學習的功課
[00:00:14.000 --> 00:00:17.000]  我自己也是在牧會裏重新得力
[00:00:17.000 --> 00:00:18.000]  求主帶領
[00:00:18.000 --> 00:00:20.000]  我們一起有個禱告
[00:00:20.000 --> 00:00:22.000]  天父我們感謝你
[00:00:22.000 --> 00:00:25.000]  讓我們一起在你的話語裏學習
[00:00:25.000 --> 00:00:27.000]  在我們人生路上
[00:00:27.000 --> 00:00:28.000]  我們怎樣重新得力
[00:00:28.000 --> 00:00:30.000]  無論我們什麼年紀
[00:00:30.000 --> 00:00:32.000]  無論我們遇到什麼際遇
[00:00:32.000 --> 00:00:33.000]  求主你幫助
[00:00:33.000 --> 00:00:35.000]  這句話都是給予我們每一位的
[00:00:35.000 --> 00:00:38.000]  我們這樣祈禱奉主耶穌基督的名
[00:00:38.000 --> 00:00:39.000]  阿們
[00:00:39.000 --> 00:00:43.000]  人生是一個長跑
[00:00:43.000 --> 00:00:46.000]  我記得我以前在美國
[00:00:46.000 --> 00:00:48.000]  有一段時間我在美國讀書
[00:00:48.000 --> 00:00:55.000]  從一個西部去到中西部的地方
[00:00:55.000 --> 00:00:57.000]  我去俄州那裏讀書
[00:00:57.000 --> 00:00:59.000]  我記得那裏的天氣很不同
[00:00:59.000 --> 00:01:01.000]  經常會下雪
[00:01:01.000 --> 00:01:03.000]  我開始的時候看到雪下
[00:01:03.000 --> 00:01:04.000]  挺有趣的
[00:01:04.000 --> 00:01:06.000]  張開嘴巴
[00:01:06.000 --> 00:01:08.000]  看看那些雪有什麼味道
[00:01:08.000 --> 00:01:11.000]  但是我發覺不容易
[00:01:11.000 --> 00:01:14.000]  這麼寒冷的天氣
[00:01:14.000 --> 00:01:16.000]  有一次我記得很冷
[00:01:16.000 --> 00:01:17.000]  有些雪一直飄
[00:01:17.000 --> 00:01:19.000]  我穿著一件大外套
[00:01:19.000 --> 00:01:23.000]  看到那些很粗壯的樹
[00:01:23.000 --> 00:01:25.000]  我之前有一個很奇怪
[00:01:25.000 --> 00:01:26.000]  我是讀電影的
[00:01:26.000 --> 00:01:29.000]  所以經常會聯想一些很詩意的東西
[00:01:29.000 --> 00:01:32.000]  這棵樹給我一個很好的榜樣
[00:01:32.000 --> 00:01:37.000]  如果我經歷過人生的風風雨雨
[00:01:37.000 --> 00:01:39.000]  特別來到這個陌生的環境
[00:01:39.000 --> 00:01:41.000]  我要告訴自己
[00:01:41.000 --> 00:01:44.000]  我要像棵樹一樣這麼堅硬
[00:01:44.000 --> 00:01:49.000]  我就能夠抵擋這些風雪
[00:01:49.000 --> 00:01:51.000]  我有這樣的心智
