
[00:00:00.000 --> 00:00:02.000]  弟兄姐妹們主內平安
[00:00:02.000 --> 00:00:05.000]  弟兄姊妹們大家主內平安
[00:00:05.000 --> 00:00:10.000]  上個星期牧師有跟大家講
[00:00:10.000 --> 00:00:16.000]  十六章裡彼得承認耶穌是基督的那一段
[00:00:16.000 --> 00:00:19.000]  在上個星期牧師有跟大家講了
[00:00:19.000 --> 00:00:26.000]  第十六章那一段彼得承認耶穌是基督的那一段
[00:00:26.000 --> 00:00:28.000]  今天我們繼續往下看
[00:00:28.000 --> 00:00:31.000]  今日我們繼續看下面的章節
[00:00:31.000 --> 00:00:35.000]  不知道你們小時候有沒有這種經歷
[00:00:35.000 --> 00:00:39.000]  不知道大家小時候有沒有這樣的經歷呢
[00:00:39.000 --> 00:00:44.000]  比如說你的爸爸媽媽剛剛誇過你幾句
[00:00:44.000 --> 00:00:46.000]  沒過一會兒就又說了你一頓
[00:00:46.000 --> 00:00:51.000]  比如說你的爸爸媽媽剛剛稱讚你
[00:00:51.000 --> 00:00:56.000]  說你很乖但是過了沒多久就又批評了你
[00:00:56.000 --> 00:00:59.000]  或者你的老師有這種情況
[00:00:59.000 --> 00:01:02.000]  一開始誇獎過你
[00:01:02.000 --> 00:01:05.000]  過了幾分鐘又批評了你
[00:01:05.000 --> 00:01:08.000]  或者你的老師也有這樣的情況
[00:01:08.000 --> 00:01:10.000]  剛剛稱讚了你
[00:01:10.000 --> 00:01:13.000]  但是過了幾分鐘之後又批評你
[00:01:13.000 --> 00:01:16.000]  我小時候就有這種經歷
[00:01:16.000 --> 00:01:19.000]  我在小時候就有這樣的經歷
[00:01:19.000 --> 00:01:22.000]  那個落差感覺特別大
[00:01:22.000 --> 00:01:25.000]  這個落差感非常之大
[00:01:25.000 --> 00:01:30.000]  彼得在這裡就出現了類似的情況
[00:01:30.000 --> 00:01:33.000]  彼得在這裡就出現了類似的情況
[00:01:33.000 --> 00:01:39.000]  16章的21節
[00:01:39.000 --> 00:01:41.000]  16章的21節
[00:01:41.000 --> 00:01:44.000]  到17章的27節
[00:01:44.000 --> 00:01:47.000]  到17章的27節
[00:01:47.000 --> 00:01:52.000]  可以歸納說他在講耶穌的使命
[00:01:52.000 --> 00:01:57.000]  可以歸納說他在講耶穌的使命
[00:01:57.000 --> 00:02:03.000]  彼得在之前受聖靈感動
[00:02:03.000 --> 00:02:05.000]  承認耶穌是基督
[00:02:05.000 --> 00:02:07.000]  就是永生上帝的兒子
[00:02:07.000 --> 00:02:09.000]  彼得在之前受聖靈感動
[00:02:09.000 --> 00:02:13.000]  承認耶穌就是那位永生神的兒子
[00:02:13.000 --> 00:02:17.000]  彼得說你就是彌賽亞
[00:02:17.000 --> 00:02:20.000]  彼得說你就是彌賽亞
[00:02:20.000 --> 00:02:22.000]  你就是救主
[00:02:22.000 --> 00:02:24.000]  你就是救主
[00:02:24.000 --> 00:02:31.000]  但是他之所以下一句話就被耶穌批評了
[00:02:31.000 --> 00:02:36.000]  但是他之所以下一句話就被耶穌批評了
[00:02:36.000 --> 00:02:38.000]  而且是當眾的
[00:02:38.000 --> 00:02:40.000]  而且是當眾的
[00:02:40.000 --> 00:02:42.000]  話說得也很嚴厲
[00:02:42.000 --> 00:02:45.000]  話語也說得很嚴厲
[00:02:45.000 --> 00:02:47.000]  那是為什麼呢?
[00:02:47.000 --> 00:02:49.000]  那是為什麼呢?
[00:02:49.000 --> 00:02:55.000]  我覺得那是因為彼得他不知道自己說出來的那些詞句
[00:02:55.000 --> 00:02:58.000]  有什麼深刻的內涵
[00:02:58.000 --> 00:03:03.000]  我覺得那是因為彼得說出來的那些語句
[00:03:03.000 --> 00:03:08.000]  他不知道裡面有什麼深刻的內涵
[00:03:08.000 --> 00:03:15.000]  所以耶穌要當眾很正式的來告誡大家
[00:03:15.000 --> 00:03:18.000]  他這樣的態度是錯的
[00:03:18.000 --> 00:03:23.000]  所以耶穌要很正式的當眾告訴大家
[00:03:23.000 --> 00:03:25.000]  他這個態度是錯的
[00:03:25.000 --> 00:03:28.000]  所以你看彼得說什麼
[00:03:28.000 --> 00:03:31.000]  所以你看彼得說什麼呢?
[00:03:31.000 --> 00:03:36.000]  彼得在耶穌說自己要受害、要死
[00:03:36.000 --> 00:03:39.000]  這樣的話之後
[00:03:39.000 --> 00:03:44.000]  彼得在耶穌說自己要死、要受害的這些話語之後
[00:03:44.000 --> 00:03:48.000]  他就真情流露
