
[00:00:00.000 --> 00:00:03.240]  人生的答案和出路
[00:00:03.240 --> 00:00:06.200]  通通都和神有關
[00:00:06.200 --> 00:00:07.940]  讀完這一季的傳道書
[00:00:07.940 --> 00:00:10.080]  大概你已經認識到
[00:00:10.080 --> 00:00:11.320]  是的
[00:00:11.320 --> 00:00:14.780]  我所經歷的一生福和禍
[00:00:14.780 --> 00:00:16.580]  是神定的
[00:00:16.580 --> 00:00:20.520]  我們不單可以用過去救贖的神學角度看人生
[00:00:20.520 --> 00:00:21.880]  當然我們理解
[00:00:21.880 --> 00:00:26.640]  有些事情是我們做事的對錯和抉擇的後果
[00:00:26.640 --> 00:00:29.380]  有沒有得罪神是有關的
[00:00:29.380 --> 00:00:31.580]  不過在這一季我們認識到
[00:00:31.580 --> 00:00:34.240]  福和禍就連虛空
[00:00:34.240 --> 00:00:36.020]  都是與神有關的
[00:00:36.020 --> 00:00:38.040]  人生有怎樣的際遇
[00:00:38.040 --> 00:00:39.320]  結果等等
[00:00:39.320 --> 00:00:42.180]  都是神所定的一份禮物
[00:00:42.180 --> 00:00:45.060]  是祂所定的物質秩序
[00:00:45.060 --> 00:00:45.900]  在這個世界
[00:00:45.900 --> 00:00:47.940]  在這個日光之下的生活當中
[00:00:47.940 --> 00:00:51.060]  祂分派給你和隔離和另外一些人
[00:00:51.060 --> 00:00:55.660]  有不同的一份福、樂和職責
[00:00:55.660 --> 00:00:58.600]  各位姐妹今天我們已經讀到傳道書最後了
[00:00:58.600 --> 00:01:02.060]  我們會看五大段證文的最後一個段落
[00:01:02.060 --> 00:01:08.580]  並且在這五大段之後的一個傳書的總結和後記
[00:01:08.580 --> 00:01:11.140]  上星期你應該聽過一句
[00:01:11.140 --> 00:01:16.200]  人生和世情其實有很多的「不知道」
[00:01:16.200 --> 00:01:20.800]  在這些未知當中我們怎樣去前行呢?
[00:01:20.800 --> 00:01:23.500]  傳道者有什麼可以教導我們呢?
[00:01:23.500 --> 00:01:27.900]  我們再一次把這段時間先交託給主
[00:01:27.900 --> 00:01:30.220]  神呀 求祢的靈引導我們
[00:01:30.220 --> 00:01:31.740]  當我們打開你的話語
[00:01:31.740 --> 00:01:34.900]  讀上螢幕的經文、金句
[00:01:34.900 --> 00:01:36.920]  讓我們不單看見是字眼
[00:01:36.920 --> 00:01:39.240]  卻是讀到當中的精義
[00:01:39.240 --> 00:01:42.500]  讓祢的靈活化我們的內心
[00:01:42.500 --> 00:01:44.940]  從我們領受到出去教會
[00:01:44.940 --> 00:01:48.180]  能夠在生活中的點滴前行
[00:01:48.180 --> 00:01:49.980]  求主幫助我們
