
[00:00:00.000 --> 00:00:05.000]  今晚又回來當中跟大家分享
[00:00:05.000 --> 00:00:10.000]  今晚我們繼續一個系列
[00:00:10.000 --> 00:00:13.000]  就是回應時代的呼聲
[00:00:13.000 --> 00:00:17.000]  我想跟大家說一個聖經裡的女性
[00:00:17.000 --> 00:00:19.000]  好像還沒說過
[00:00:19.000 --> 00:00:21.000]  不關上個星期的母親事事
[00:00:21.000 --> 00:00:23.000]  是這麼巧的
[00:00:23.000 --> 00:00:26.000]  在《史詩記》
[00:00:26.000 --> 00:00:31.000]  大家如果有看過都知道那個時代是很黑暗很混亂的
[00:00:31.000 --> 00:00:34.000]  人人都是想怎樣就怎樣
[00:00:34.000 --> 00:00:38.000]  聖經說他們是任意而行
[00:00:38.000 --> 00:00:43.000]  所以當時上帝就興起了一位女士司
[00:00:43.000 --> 00:00:45.000]  大家知不知道是誰
[00:00:45.000 --> 00:00:47.000]  知道的
[00:00:47.000 --> 00:00:48.000]  底波拉
[00:00:48.000 --> 00:00:50.000]  她是來拯救以色列人
[00:00:50.000 --> 00:00:53.000]  所以今天我的題目是
[00:00:53.000 --> 00:00:58.000]  《起來,你要升呢》
[00:00:58.000 --> 00:01:00.000]  講什麼呢
[00:01:00.000 --> 00:01:03.000]  我不知道大家是不是這個年代
[00:01:03.000 --> 00:01:05.000]  講升呢
[00:01:05.000 --> 00:01:08.000]  講打機就不是了
[00:01:08.000 --> 00:01:11.000]  其實我是想講底波拉的故事
[00:01:11.000 --> 00:01:13.000]  其實我們作為基督徒
[00:01:13.000 --> 00:01:17.000]  怎樣可以一起學習追求基督去升級
[00:01:17.000 --> 00:01:20.000]  成為神喜悅的領袖
[00:01:20.000 --> 00:01:22.000]  其實大家出來工作
[00:01:22.000 --> 00:01:24.000]  最少有幾年
[00:01:24.000 --> 00:01:26.000]  有些就不要數多少年
[00:01:26.000 --> 00:01:28.000]  可能多一點
[00:01:28.000 --> 00:01:31.000]  職場確實真的有很多衝擊
[00:01:31.000 --> 00:01:33.000]  還有很多時候
[00:01:33.000 --> 00:01:35.000]  我們第一次講的時候
[00:01:35.000 --> 00:01:37.000]  形容都有點像戰場
[00:01:37.000 --> 00:01:39.000]  因為始終當中
