
[00:00:00.000 --> 00:00:03.920]  轉眼又年底了,新一年又來了
[00:00:03.920 --> 00:00:07.680]  我相信大家都在想下一年要做什麼
[00:00:07.680 --> 00:00:13.120]  計劃一下,有沒有想轉一下工作,讀書,去旅行
[00:00:13.120 --> 00:00:15.120]  總有很多計劃的
[00:00:15.120 --> 00:00:20.240]  不過不知道我們有沒有想過為神去做一些事呢
[00:00:20.240 --> 00:00:22.240]  就是侍奉
[00:00:22.240 --> 00:00:25.920]  每個信徒都總要想一下這條問題
[00:00:25.920 --> 00:00:29.040]  究竟為上帝可以做些什麼呢
[00:00:29.040 --> 00:00:32.800]  想起侍奉我都想分享很多東西
[00:00:32.800 --> 00:00:36.640]  因為我都侍奉了一段很長時間
[00:00:36.640 --> 00:00:39.920]  總是有很多東西想分享,提醒
[00:00:39.920 --> 00:00:43.040]  今天就選了二賽亞書49章
[00:00:43.040 --> 00:00:45.040]  跟大家分享一個題目叫做
[00:00:45.040 --> 00:00:47.040]  無忘上帝的侍奉
[00:00:47.040 --> 00:00:50.000]  侍奉最重要不能忘記什麼呢
[00:00:50.000 --> 00:00:52.000]  我們常常說無忘初衷
[00:00:52.000 --> 00:00:54.000]  有些事是不能忘記的
[00:00:54.000 --> 00:00:57.120]  侍奉就不能忘記誰呢
[00:00:57.120 --> 00:00:59.120]  就是上帝自己
[00:00:59.120 --> 00:01:01.120]  所以從這段經文
[00:01:01.120 --> 00:01:04.000]  我想有三個方向
[00:01:04.000 --> 00:01:06.000]  無忘上帝是什麼呢
[00:01:06.000 --> 00:01:08.000]  我就從這個進路出發
[00:01:08.000 --> 00:01:10.000]  第一至三節
[00:01:10.000 --> 00:01:14.400]  首先我們去侍奉其實是無忘上帝的簡選
[00:01:14.400 --> 00:01:19.040]  很多人以為侍奉是什麼時候開始的
[00:01:19.040 --> 00:01:21.760]  就是我們信主的時候要開始的
[00:01:21.760 --> 00:01:27.440]  有些人以為侍奉就是你信了主之後有些個人之處
[00:01:27.440 --> 00:01:31.920]  與眾不同,或者有些特殊的才華
[00:01:31.920 --> 00:01:33.920]  有人賞識了你
[00:01:33.920 --> 00:01:35.920]  那一刻就開始侍奉了
[00:01:35.920 --> 00:01:38.560]  我聽過有些學生是這樣侍奉的
[00:01:38.560 --> 00:01:41.520]  他走過,因為教會沒有人
[00:01:41.520 --> 00:01:43.520]  那個傳道人就說
[00:01:43.520 --> 00:01:46.480]  誰誰,你是不是會彈結他的
[00:01:46.480 --> 00:01:48.480]  你過來一下
[00:01:48.480 --> 00:01:51.760]  那個學生就分享他侍奉的開始
[00:01:51.760 --> 00:01:53.760]  因為他是誰誰會彈結他
[00:01:53.760 --> 00:01:55.760]  所以就進入了
[00:01:55.760 --> 00:02:00.160]  很模糊,很不知怎樣的狀態就進入了侍奉
[00:02:00.160 --> 00:02:03.280]  聖經在第一至三節說
[00:02:03.280 --> 00:02:07.440]  侍奉的開始不是我剛才說的三個情況
[00:02:07.440 --> 00:02:09.440]  侍奉的開始是什麼時候呢
[00:02:09.440 --> 00:02:11.440]  今天很好
[00:02:11.440 --> 00:02:15.920]  領師姐姐,其中有個領師姐姐有了新記
[00:02:15.920 --> 00:02:18.880]  第二節說什麼
[00:02:18.880 --> 00:02:20.880]  侍奉什麼時候開始
[00:02:20.880 --> 00:02:22.880]  就是在沒有福的時候
[00:02:22.880 --> 00:02:25.760]  上帝已經揀選了你
[00:02:25.760 --> 00:02:27.760]  在你沒有福的時候
[00:02:27.760 --> 00:02:31.280]  在你沒有福的時候,還未成形
[00:02:31.280 --> 00:02:34.160]  五官未齊,仍然一團糟的時候
