
[00:00:00.000 --> 00:00:03.800]  所以今天能夠一起崇拜很感恩
[00:00:03.800 --> 00:00:05.640]  頂姐妹過往的日子裏面
[00:00:05.640 --> 00:00:09.000]  我不知道你買一些物品
[00:00:09.000 --> 00:00:15.360]  或者你在裏面有一些DIY的工具買回來的時間
[00:00:15.360 --> 00:00:17.080]  我不知道你會不會看說明書
[00:00:17.080 --> 00:00:22.400]  有多少頂姐妹會看完說明書然後去工作
[00:00:22.400 --> 00:00:24.440]  看完沒有多少
[00:00:24.440 --> 00:00:29.000]  看就有些 看完我馬上縮下來
[00:00:29.000 --> 00:00:30.840]  我和太太有很大分別
[00:00:30.840 --> 00:00:33.640]  通常我就看說明書
[00:00:33.640 --> 00:00:35.160]  我太太就不看說明書
[00:00:35.160 --> 00:00:38.280]  憑感覺不用看 大概都是猜的
[00:00:38.280 --> 00:00:42.560]  但你又發覺有很多那些物品DIY那些
[00:00:42.560 --> 00:00:44.360]  尤其是你不看說明書
[00:00:44.360 --> 00:00:46.440]  差一點點就是差一點點
[00:00:46.440 --> 00:00:50.000]  我和太太一個很好的配搭是怎樣呢
[00:00:50.000 --> 00:00:52.400]  每次她已經拆開箱子
[00:00:52.400 --> 00:00:55.240]  說看一看 不用了看什麼
[00:00:55.240 --> 00:00:59.040]  她就次次安排去處理
[00:00:59.040 --> 00:01:02.800]  次次她都是做 每一次都是搞不定
[00:01:02.800 --> 00:01:04.320]  當她搞不定放棄的時候
[00:01:04.320 --> 00:01:07.680]  搞不定就搞了 搞不定就交給你
[00:01:07.680 --> 00:01:11.120]  次次我都是最後搞得定 為什麼呢
[00:01:11.120 --> 00:01:12.280]  因為我看了說明書
[00:01:12.280 --> 00:01:14.080]  你應該做漏了哪個步驟
[00:01:14.080 --> 00:01:15.600]  所以我就幫你做那個步驟
[00:01:15.600 --> 00:01:18.880]  次次都是這樣在裏面安排
[00:01:18.880 --> 00:01:20.280]  返校會久了的時候
[00:01:20.280 --> 00:01:21.600]  很多頂姐妹都會問
[00:01:21.600 --> 00:01:25.760]  可能我們經歷有不同的頂姐妹
[00:01:25.760 --> 00:01:28.120]  為什麼返了教會一段時間
[00:01:28.120 --> 00:01:32.960]  好像我們見到頂姐妹生命都沒什麼改變呢
[00:01:32.960 --> 00:01:36.480]  尤其是我們不知在哪裏又見到一些新聞
[00:01:36.480 --> 00:01:38.600]  見到一些報導 見到一些傳媒
[00:01:38.600 --> 00:01:40.680]  見到一些藝人
[00:01:40.680 --> 00:01:41.880]  她說她是基督徒來的
[00:01:41.880 --> 00:01:45.680]  為什麼好像生命沒什麼改變呢
[00:01:45.680 --> 00:01:48.280]  我發覺其實我今期目寫的話
[00:01:48.280 --> 00:01:51.600]  即是剛剛目寫心聲我都寫了
[00:01:51.600 --> 00:01:56.480]  我大概觀察基督徒有三個類型
[00:01:56.480 --> 00:02:00.400]  第一類型的基督徒可能在種種的情況下
[00:02:00.400 --> 00:02:03.760]  無論在報道會 在散佈 在不同的場合
[00:02:03.760 --> 00:02:05.440]  有人帶她信耶穌
[00:02:05.440 --> 00:02:07.040]  我舉手我決志信耶穌
[00:02:07.040 --> 00:02:10.960]  我願意跟隨上帝
[00:02:10.960 --> 00:02:13.920]  有些基督徒當她信完耶穌的時候
[00:02:13.920 --> 00:02:17.040]  你見到她從來都不看聖經
[00:02:17.040 --> 00:02:19.480]  所以她雖然說她信了耶穌
[00:02:19.480 --> 00:02:21.600]  在不同的渠道裏面信耶穌
[00:02:21.600 --> 00:02:23.160]  那她繼續怎樣生活呢
[00:02:23.160 --> 00:02:25.000]  過往我怎樣生活就這樣生活
[00:02:25.000 --> 00:02:26.680]  我過往的意識形態是怎樣
[00:02:26.680 --> 00:02:28.600]  我的價值觀 我的世界觀
[00:02:28.600 --> 00:02:30.480]  我的人生觀 我的表達
[00:02:30.480 --> 00:02:32.400]  我以前怎樣生活
[00:02:32.400 --> 00:02:35.320]  信耶穌我雖然說我信耶穌
[00:02:35.320 --> 00:02:36.680]  我都是繼續這樣生活的
[00:02:36.680 --> 00:02:40.040]  因為沒有新的一些進口進入她生命裏面
[00:02:40.040 --> 00:02:42.760]  來來去去都是活現自己
[00:02:42.760 --> 00:02:44.360]  所以你們說為什麼那些人信耶穌
[00:02:44.360 --> 00:02:46.680]  見不到她生命有什麼改變呢
[00:02:46.680 --> 00:02:49.760]  我見到那些基督徒不太看聖經
[00:02:49.760 --> 00:02:53.000]  第二類型的基督徒
[00:02:53.000 --> 00:02:54.920]  我見到她信了耶穌的時候
[00:02:54.920 --> 00:02:57.160]  她都落實去看聖經
[00:02:57.160 --> 00:02:58.640]  甚至會參加主日學
[00:02:58.640 --> 00:02:59.880]  自己讀聖經
