
[00:00:00.000 --> 00:00:04.960]  今天我們要從《箴言》跟《詩篇》
[00:00:04.960 --> 00:00:10.200]  來看看《倚靠神》這件大的事情
[00:00:10.200 --> 00:00:18.040]  我們知道在這個沒有信祖的人呢
[00:00:18.040 --> 00:00:21.280]  就要專心以來也要華
[00:00:21.280 --> 00:00:23.880]  《箴言書》第三章第五節就說
[00:00:23.880 --> 00:00:27.400]  你要專心以來也要華
[00:00:27.400 --> 00:00:33.920]  那就是我們現在看這個"倚靠神"
[00:00:33.920 --> 00:00:35.880]  沒有信祖的人呢
[00:00:35.880 --> 00:00:42.080]  他就不會也不會想到要來"倚靠神"的
[00:00:42.080 --> 00:00:45.880]  他們只是會到這個緊急的關頭
[00:00:45.880 --> 00:00:48.080]  有生命危險的時候
[00:00:48.080 --> 00:00:51.000]  他才會來呼求神
[00:00:51.000 --> 00:00:52.840]  雖然他對神不認識
[00:00:52.840 --> 00:00:55.480]  到那個逼得沒有辦法的時候呢
[00:00:55.480 --> 00:00:58.560]  他就會來呼求神
[00:00:58.560 --> 00:00:59.920]  有一次的話
[00:00:59.920 --> 00:01:04.680]  有一個吳生潤的很出名的人
[00:01:04.680 --> 00:01:06.680]  他在演講
[00:01:06.680 --> 00:01:08.440]  在一個大會上演講
[00:01:08.440 --> 00:01:11.960]  說怎麼沒有神怎麼說沒有神
[00:01:11.960 --> 00:01:14.240]  說完以後
[00:01:14.240 --> 00:01:20.680]  有一個年紀大的一個婦女就站了起來
[00:01:20.680 --> 00:01:26.120]  她說剛才這位先生講到很多的證據
[00:01:26.120 --> 00:01:30.080]  很多的理由是沒有神
[00:01:30.080 --> 00:01:33.560]  但是我剛才在樹林裡頭
[00:01:33.560 --> 00:01:37.120]  在河旁邊就看見有一個人
[00:01:37.120 --> 00:01:38.880]  他掉到河裡頭了
[00:01:38.880 --> 00:01:41.000]  快要被淹死了
[00:01:41.000 --> 00:01:42.560]  他就拼命地呼叫
[00:01:42.560 --> 00:01:45.280]  神啊你救我你救我
[00:01:45.280 --> 00:01:46.200]  這個人誰呢
[00:01:46.200 --> 00:01:49.200]  就剛才站在講台上講話那個人
[00:01:49.200 --> 00:01:50.760]  他掉到水里他沒有辦法
[00:01:50.760 --> 00:01:52.360]  他就叫到神了
[00:01:52.360 --> 00:01:53.480]  可是好了以後呢
[00:01:53.480 --> 00:01:55.600]  他又說沒有神
[00:01:55.600 --> 00:01:57.680]  所以到就是他吳生潤
[00:01:57.680 --> 00:01:59.200]  他到緊急的時候
[00:01:59.200 --> 00:02:02.200]  他還會說神啊你幫助我
[00:02:02.200 --> 00:02:03.720]  我們中國人也常說
[00:02:03.720 --> 00:02:05.520]  天啊你要來救我
[00:02:05.520 --> 00:02:07.360]  天啊怎麼會這樣
[00:02:07.360 --> 00:02:09.560]  雖然他不知道真神
[00:02:09.560 --> 00:02:12.080]  可是他裡頭呢總有一個
[00:02:12.080 --> 00:02:14.000]  有個神的感覺
[00:02:14.000 --> 00:02:16.320]  就是他平時好的時候
[00:02:16.320 --> 00:02:19.360]  他就不想到有神
[00:02:19.360 --> 00:02:22.040]  他就也不會來依靠神
[00:02:22.040 --> 00:02:24.880]  但是呢為什麼呢
[00:02:24.880 --> 00:02:27.080]  因為他不相信神
[00:02:27.080 --> 00:02:30.080]  他不相信神他就不會依靠神
[00:02:30.080 --> 00:02:34.640]  他對神沒有信心
[00:02:34.640 --> 00:02:36.520]  他對神沒有信心
[00:02:36.520 --> 00:02:38.800]  他也不信任神
[00:02:38.800 --> 00:02:40.320]  神離開我那麼遠
[00:02:40.320 --> 00:02:42.320]  到底還有沒有
[00:02:42.320 --> 00:02:44.720]  我怎麼就靠一位看不見
[00:02:44.720 --> 00:02:46.680]  摸不到的一位神呢
[00:02:46.680 --> 00:02:48.440]  所以就是為什麼
[00:02:48.440 --> 00:02:50.960]  他不會依靠神呢
[00:02:50.960 --> 00:02:54.720]  他就因為他對神沒有信心
[00:02:54.720 --> 00:02:57.960]  他不信任神
[00:02:57.960 --> 00:03:00.080]  所以最重要的
[00:03:00.080 --> 00:03:02.760]  也就是要信任一個人
[00:03:02.760 --> 00:03:06.120]  你才會來依靠他
[00:03:06.120 --> 00:03:08.000]  有一次有個小孩子
[00:03:08.000 --> 00:03:09.760]  他很頑皮
[00:03:09.760 --> 00:03:11.080]  五六歲的孩子
[00:03:11.080 --> 00:03:14.280]  就爬到一個山坡的地方
[00:03:14.280 --> 00:03:16.120]  就爬上去了
[00:03:16.120 --> 00:03:19.280]  爬上去以後他就下不來了
[00:03:19.280 --> 00:03:20.040]  怎麼叫他
[00:03:20.040 --> 00:03:21.480]  底下有很多人說
[00:03:21.480 --> 00:03:23.360]  不要緊你就跳下來吧
[00:03:23.360 --> 00:03:25.520]  我們在下面可以接著你
[00:03:25.520 --> 00:03:26.600]  他就不敢
[00:03:26.600 --> 00:03:28.080]  他一直不敢
[00:03:28.080 --> 00:03:29.680]  後來他爸爸來了
[00:03:29.680 --> 00:03:31.440]  說孩子你跳下來吧
[00:03:31.440 --> 00:03:32.920]  爸爸在下面
[00:03:32.920 --> 00:03:37.040]  孩子就一下就跳下來
[00:03:37.040 --> 00:03:39.120]  爸爸就把他接住了
[00:03:39.120 --> 00:03:42.160]  因為別人為什麼叫了半天
[00:03:42.160 --> 00:03:44.280]  他不敢跳下來呢
[00:03:44.280 --> 00:03:47.240]  因為他不信任其他的人
[00:03:47.240 --> 00:03:49.120]  但他爸爸一來的話
[00:03:49.120 --> 00:03:50.760]  他爸爸一說
[00:03:50.760 --> 00:03:52.160]  他就敢了
[00:03:52.160 --> 00:03:54.640]  因為他信靠他的神
[00:03:54.640 --> 00:03:56.040]  信靠他的爸爸
[00:03:56.040 --> 00:03:58.080]  他依靠他的爸爸
[00:03:58.080 --> 00:04:02.040]  所以這個就是我們要有信任
[00:04:02.040 --> 00:04:04.000]  對神有信心
[00:04:04.000 --> 00:04:07.360]  我們才會依靠神
[00:04:07.360 --> 00:04:10.720]  那依靠神呢
[00:04:10.720 --> 00:04:15.320]  可以說是基督徒信主以後
[00:04:15.320 --> 00:04:19.280]  第一門要學習的功課
[00:04:19.280 --> 00:04:22.560]  就是要學習的功課
[00:04:22.560 --> 00:04:27.720]  這個也是我們這個蒙古的路
[00:04:27.720 --> 00:04:31.200]  我們基督徒信了主以後
[00:04:31.200 --> 00:04:33.680]  為什麼我們心裡會比較定一點呢
[00:04:33.680 --> 00:04:36.080]  因為我們有神可以依靠
[00:04:36.080 --> 00:04:38.360]  我們每天向神禱告
[00:04:38.360 --> 00:04:42.000]  我們遇到事情也會向神禱告
[00:04:42.000 --> 00:04:46.360]  這就是叫我們得到很多的福氣
[00:04:46.360 --> 00:04:48.960]  這也是在一生中間
[00:04:48.960 --> 00:04:53.320]  從信主以後就開始來學習
[00:04:53.320 --> 00:04:54.680]  一直學習
[00:04:54.680 --> 00:04:57.320]  直到我們有一天要離開世界以前
[00:04:57.320 --> 00:05:01.840]  我們還是在學習怎麼樣能夠來依靠神
[00:05:01.840 --> 00:05:04.280]  所以可以說依靠神
[00:05:04.280 --> 00:05:09.040]  是我們基督徒信主以後的第一門課
[00:05:09.040 --> 00:05:11.400]  這門是必修課
[00:05:11.400 --> 00:05:16.240]  你作為基督徒必須來學習怎麼來依靠神
[00:05:16.240 --> 00:05:18.680]  那這個是很重要的
[00:05:18.680 --> 00:05:21.320]  也是我們很蒙古的
[00:05:21.320 --> 00:05:23.880]  你若是你能夠依靠神
[00:05:23.880 --> 00:05:26.960]  你就看見在好多的情況當中
[00:05:26.960 --> 00:05:29.240]  你心裡頭就有平安
